wavelength,intensity
178.76,1666.5
179.14,1666.5
179.52,1666.5
179.9,1701.6
180.28,10685
180.66,6167.3
181.04,8306.6
181.42,7255.7
181.8,6282
182.18,11003
182.55,5809.2
182.93,7328.2
183.31,7258
183.69,7847.8
184.07,8353.4
184.45,7059.1
184.83,7152.7
185.21,6588.6
185.59,6855.4
185.97,16063
186.35,11991
186.72,7075.4
187.1,7040.3
187.48,11602
187.86,9132.8
188.24,6605
188.62,6319.4
189,10956
189.38,7918
189.75,7377.4
190.13,8037.4
190.51,6312.4
190.89,14958
191.27,21116
191.65,7023.9
192.03,7794
192.4,10287
192.78,7517.8
193.16,8482.1
193.54,12215
193.92,10795
194.3,6605
194.67,9411.3
195.05,8386.1
195.43,7363.3
195.81,6897.6
196.19,10514
196.56,7730.8
196.94,7377.4
197.32,11501
197.7,6684.6
198.08,8615.5
198.45,6801.6
198.83,7655.9
199.21,6773.5
199.59,12342
199.97,8194.2
200.34,5916.9
200.72,6806.3
201.1,13940
201.48,9949.6
201.85,6303.1
202.23,6771.2
202.61,6878.8
202.99,40480
203.36,6820.3
203.74,9261.5
204.12,7084.8
204.49,6455.2
204.87,8734.9
205.25,7082.5
205.63,5755.4
206,6502
206.38,7751.9
206.76,9579.8
207.14,6539.5
207.51,5959
207.89,10846
208.27,6279.7
208.64,5399.6
209.02,6750.1
209.4,7049.7
209.77,5715.6
210.15,14830
210.53,5851.3
210.9,11246
211.28,6195.4
211.66,11998
212.03,6466.9
212.41,5947.3
212.79,7211.2
213.16,5991.8
213.54,7667.6
213.92,7985.9
214.29,5652.4
214.67,6616.7
215.05,6916.3
215.42,9327
215.8,6916.3
216.17,6651.8
216.55,7845.5
216.93,5757.7
217.3,8882.3
217.68,6427.1
218.05,6740.7
218.43,6574.6
218.81,6808.6
219.18,11089
219.56,6764.1
219.93,6420.1
220.31,6401.4
220.69,5858.4
221.06,6146.3
221.44,7559.9
221.81,6310.1
222.19,5692.2
222.56,6136.9
222.94,6782.9
223.32,7616.1
223.69,6335.8
224.07,9008.7
224.44,12555
224.82,7461.6
225.19,8533.6
225.57,7461.6
225.94,6766.5
226.32,7304.8
226.69,12103
227.07,8580.4
227.44,6850.8
227.82,8009.3
228.19,7000.5
228.57,8847.2
228.94,11721
229.32,9624.3
229.69,9025.1
230.07,6764.1
230.44,6055
230.82,10788
231.19,9425.3
231.57,5661.8
231.94,5776.4
232.32,8936.2
232.69,7084.8
233.07,7634.8
233.44,8224.6
233.82,6949.1
234.19,7400.8
234.57,9863
234.94,6520.7
235.31,6768.8
235.69,7103.5
236.06,7442.9
236.44,8594.5
236.81,5762.4
237.19,7927.4
237.56,11717
237.93,6321.8
238.31,7684
238.68,6970.1
239.06,7620.8
239.43,8744.2
239.81,8259.8
240.18,6001.1
240.55,6300.7
240.93,12857
241.3,7693.3
241.67,7080.1
242.05,8770
242.42,9420.7
242.8,5956.7
243.17,7644.2
243.54,7618.4
243.92,9324.7
244.29,7066.1
244.66,7632.5
245.04,9980
245.41,16117
245.78,5942.6
246.16,6867.1
246.53,8933.8
246.9,7108.2
247.28,12873
247.65,7185.4
248.02,7091.8
248.4,9823.2
248.77,7482.7
249.14,8624.9
249.52,6942
249.89,8482.1
250.26,6232.9
250.64,7506.1
251.01,15338
251.38,5842
251.75,7478
252.13,6768.8
252.5,8903.4
252.87,13264
253.25,5947.3
253.62,8014
253.99,5699.2
254.36,9359.8
254.74,6717.3
255.11,6129.9
255.48,5736.6
255.85,14104
256.23,5753
256.6,5458.1
256.97,6904.6
257.34,8271.5
257.71,7531.8
258.09,6703.3
258.46,7702.7
258.83,11160
259.2,9774.1
259.58,7157.4
259.95,7351.6
260.32,9399.6
260.69,5891.1
261.06,10825
261.44,6291.4
261.81,13109
262.18,7932.1
262.55,6504.4
262.92,7309.5
263.29,6630.7
263.67,5713.3
264.04,6555.8
264.41,6909.3
264.78,6567.5
265.15,10329
265.52,12454
265.9,7431.2
266.27,6579.3
266.64,5785.8
267.01,5455.8
267.38,8091.2
267.75,6244.6
268.12,5392.6
268.5,6921
268.87,6249.2
269.24,6218.8
269.61,7744.8
269.98,8241
270.35,8110
270.72,6333.5
271.09,7084.8
271.46,6677.6
271.83,7964.8
272.21,9303.6
272.58,6141.6
272.95,6464.6
273.32,7351.6
273.69,7321.2
274.06,5804.5
274.43,6382.6
274.8,7180.8
275.17,8100.6
275.54,17158
275.91,7548.2
276.28,7447.6
276.65,7754.2
277.02,11185
277.39,6338.2
277.76,6368.6
278.13,8599.1
278.5,8727.9
278.87,10593
279.24,9359.8
279.61,8587.4
279.98,9877.1
280.35,6452.9
280.72,7574
281.09,7162
281.46,7449.9
281.83,6340.5
282.2,8105.3
282.57,6794.6
282.94,8222.3
283.31,6656.5
283.68,7857.2
284.05,5879.4
284.42,5500.3
284.79,7787
285.16,8788.7
285.53,7468.6
285.9,7595
286.27,15036
286.64,5870.1
287.01,6492.6
287.38,8734.9
287.75,58619
288.12,8667
288.49,16747
288.86,6216.5
289.23,6396.7
289.59,6504.4
289.96,6253.9
290.33,6698.6
290.7,6995.9
291.07,8568.7
291.44,8074.9
291.81,6232.9
292.18,7499.1
292.55,6897.6
292.91,12814
293.28,8514.9
293.65,10982
294.02,8161.4
294.39,5753
294.76,7091.8
295.13,7653.6
295.5,7229.9
295.86,7293.1
296.23,6834.4
296.6,6099.4
296.97,6722
297.34,7346.9
297.71,9139.8
298.07,7529.5
298.44,5528.4
298.81,8021
299.18,7677
299.55,10769
299.91,7122.3
300.28,7564.6
300.65,5682.8
301.02,7735.5
301.39,8442.3
301.75,13542
302.12,8475.1
302.49,7351.6
302.86,10708
303.23,7620.8
303.59,6165
303.96,17364
304.33,9827.9
304.7,15096
305.06,6939.7
305.43,10331
305.8,8543
306.17,9156.2
306.53,6693.9
306.9,9865.4
307.27,7574
307.64,10865
308,6780.5
308.37,6761.8
308.74,12386
309.11,9200.6
309.47,6633.1
309.84,5914.5
310.21,7267.4
310.57,7749.5
310.94,6722
311.31,7517.8
311.67,7990.6
312.04,5713.3
312.41,9966
312.77,8259.8
313.14,6626.1
313.51,7180.8
313.87,6799.3
314.24,6740.7
314.61,6588.6
314.97,6834.4
315.34,7379.7
315.71,5839.6
316.07,9247.5
316.44,6197.7
316.81,8798.1
317.17,6260.9
317.54,15536
317.91,6633.1
318.27,5521.3
318.64,7031
319,9011.1
319.37,5785.8
319.74,9586.8
320.1,9633.6
320.47,6878.8
320.83,10996
321.2,7159.7
321.57,6026.9
321.93,6658.8
322.3,7578.6
322.66,6492.6
323.03,8809.8
323.4,8257.4
323.76,6612
324.13,6511.4
324.49,5589.2
324.86,18764
325.22,7510.8
325.59,7047.4
325.95,8014
326.32,9636
326.68,9313
327.05,7042.7
327.42,6277.3
327.78,6602.6
328.15,9472.1
328.51,6595.6
328.88,8732.5
329.24,11221
329.61,7464
329.97,8777
330.34,6459.9
330.7,7311.8
331.07,10916
331.43,8807.4
331.8,13383
332.16,10371
332.52,6162.6
332.89,8194.2
333.25,5565.8
333.62,12550
333.98,6993.5
334.35,6911.6
334.71,7407.8
335.08,5963.7
335.44,11904
335.81,11822
336.17,10156
336.53,7098.8
336.9,6111.1
337.26,8500.8
337.63,9497.9
337.99,7583.3
338.36,5923.9
338.72,9043.8
339.08,7524.8
339.45,5865.4
339.81,9500.2
340.18,6839.1
340.54,10259
340.9,6380.3
341.27,7012.2
341.63,8346.4
341.99,5317.7
342.36,10425
342.72,5968.4
343.09,10235
343.45,6417.8
343.81,10717
344.18,5678.1
344.54,7063.7
344.9,7866.5
345.27,7400.8
345.63,7101.2
345.99,8973.6
346.36,7297.8
346.72,5998.8
347.08,6015.2
347.45,5579.8
347.81,9909.8
348.17,7620.8
348.54,5776.4
348.9,8866
349.26,9565.8
349.62,10607
349.99,5465.1
350.35,5287.3
350.71,7810.4
351.08,7246.3
351.44,5348.1
351.8,13463
352.16,11661
352.53,6153.3
352.89,8320.6
353.25,10853
353.61,6705.6
353.98,8964.3
354.34,10142
354.7,6431.8
355.06,5348.1
355.43,7225.2
355.79,6684.6
356.15,6541.8
356.51,6087.7
356.88,6083.1
357.24,6876.5
357.6,5582.2
357.96,5359.8
358.32,15300
358.69,5514.3
359.05,7831.4
359.41,7552.9
359.77,5879.4
360.13,6242.2
360.49,6078.4
360.86,8786.4
361.22,11183
361.58,7744.8
361.94,11001
362.3,5891.1
362.66,8594.5
363.03,5322.4
363.39,5100
363.75,6228.2
364.11,9996.4
364.47,6401.4
364.83,10706
365.19,7583.3
365.56,8793.4
365.92,5486.2
366.28,8543
366.64,9839.6
367,5526
367.36,5474.5
367.72,9860.7
368.08,9306
368.44,6448.2
368.8,8142.7
369.17,6534.8
369.53,6827.3
369.89,5989.4
370.25,6005.8
370.61,6272.6
370.97,10661
371.33,6448.2
371.69,12695
372.05,8266.8
372.41,5806.9
372.77,6623.7
373.13,7466.3
373.49,5100
373.85,8049.1
374.21,7468.6
374.57,5776.4
374.93,8332.3
375.29,8912.8
375.65,7480.4
376.01,7227.6
376.37,10020
376.73,8442.3
377.09,5835
377.45,9846.6
377.81,6836.7
378.17,5923.9
378.53,5196
378.89,8381.5
379.25,10869
379.61,14139
379.97,9301.3
380.33,6401.4
380.69,6055
381.05,5671.1
381.41,8910.4
381.77,7265
382.13,8454
382.49,14844
382.85,7325.9
383.21,8851.9
383.57,5497.9
383.93,10245
384.28,5261.5
384.64,6455.2
385,7536.5
385.36,7187.8
385.72,9013.4
386.08,6073.7
386.44,8683.4
386.8,8961.9
387.16,12550
387.52,9596.2
387.87,13776
388.23,7990.6
388.59,6354.6
388.95,5607.9
389.31,6752.4
389.67,6661.2
390.03,6277.3
390.38,6375.6
390.74,4884.7
