wavelength,intensity
178.76,35.11
179.14,35.11
179.52,35.11
179.9,63.195
180.28,30.43
180.66,81.92
181.04,78.405
181.42,133.4
181.8,122.87
182.18,50.325
182.55,-40.96
182.93,-45.645
183.31,-69.05
183.69,16.385
184.07,155.65
184.45,-159.15
184.83,115.85
185.21,-86.605
185.59,-43.3
185.97,265.65
186.35,84.26
186.72,66.705
187.1,23.41
187.48,-63.195
187.86,225.86
188.24,-84.26
188.62,-198.94
189,-5.85
189.38,66.7
189.75,-18.73
190.13,165
190.51,79.58
190.89,-55.005
191.27,-107.66
191.65,131.07
192.03,-104.15
192.4,-107.66
192.78,132.24
193.16,-36.28
193.54,106.49
193.92,83.09
194.3,-63.195
194.67,-138.1
195.05,-11.7
195.43,-52.665
195.81,95.965
196.19,-145.11
196.56,-46.815
196.94,-28.085
197.32,-14.045
197.7,47.985
198.08,-110.01
198.45,4.685
198.83,-87.77
199.21,50.32
199.59,99.475
199.97,-18.725
200.34,42.13
200.72,-51.495
201.1,-99.475
201.48,-39.785
201.85,-57.34
202.23,-60.855
202.61,-55.005
202.99,-17.555
203.36,15.22
203.74,-47.985
204.12,102.98
204.49,58.515
204.87,12.87
205.25,77.245
205.63,-4.685
206,-40.965
206.38,35.115
206.76,-93.625
207.14,-51.49
207.51,-153.31
207.89,-15.215
208.27,-80.755
208.64,-83.09
209.02,169.69
209.4,-83.095
209.77,198.95
210.15,326.51
210.53,-101.81
210.9,-216.51
211.28,-21.065
211.66,78.415
212.03,-149.8
212.41,-202.46
212.79,284.38
213.16,81.92
213.54,-63.19
213.92,67.875
214.29,63.2
214.67,-14.045
215.05,-4.68
215.42,66.7
215.8,-76.07
216.17,246.93
216.55,125.21
216.93,-81.92
217.3,18.725
217.68,77.235
218.05,-8.19
218.43,-4.685
218.81,-60.85
219.18,-76.07
219.56,80.745
219.93,25.745
220.31,-54.995
220.69,-69.045
221.06,147.46
221.44,-110.01
221.81,-181.4
222.19,106.5
222.56,18.725
222.94,35.11
223.32,95.965
223.69,45.64
224.07,76.07
224.44,-200.12
224.82,-177.88
225.19,-1.165
225.57,-92.445
225.94,-22.235
226.32,99.475
226.69,-9.365
227.07,-142.78
227.44,-86.6
227.82,-99.475
228.19,63.195
228.57,-25.745
228.94,91.285
229.32,-14.04
229.69,-57.345
230.07,65.53
230.44,-62.025
230.82,189.58
231.19,235.22
231.57,-8.19
231.94,-3.51
232.32,-153.31
232.69,-122.88
233.07,-143.94
233.44,-7.025
233.82,-93.62
234.19,-80.75
234.57,138.09
234.94,-26.92
235.31,97.135
235.69,-80.745
236.06,134.58
236.44,149.8
236.81,-51.495
237.19,-19.9
237.56,-212.99
237.93,90.115
238.31,203.63
238.68,-22.235
239.06,186.07
239.43,-120.54
239.81,210.65
240.18,-87.77
240.55,65.535
240.93,121.7
241.3,88.945
241.67,-94.795
242.05,-43.305
242.42,-32.765
242.8,-4.685
243.17,-87.77
243.54,-39.785
243.92,-129.9
244.29,58.515
244.66,97.135
245.04,-19.89
245.41,67.875
245.78,25.75
246.16,202.46
246.53,-10.53
246.9,66.705
247.28,74.9
247.65,-31.595
248.02,-90.11
248.4,-30.43
248.77,24.57
249.14,28.085
249.52,179.05
249.89,31.59
250.26,47.98
250.64,-88.945
251.01,-24.575
251.38,142.77
251.75,110.01
252.13,43.305
252.5,-19.9
252.87,321.83
253.25,189.59
253.62,65.535
253.99,139.27
254.36,-121.71
254.74,125.22
255.11,104.15
255.48,115.86
255.85,67.88
256.23,44.465
256.6,58.515
256.97,-2.345
257.34,162.67
257.71,97.135
258.09,-255.11
258.46,-12.87
258.83,50.325
259.2,131.07
259.58,8.195
259.95,49.15
260.32,-102.99
260.69,-3.51
261.06,66.7
261.44,64.365
261.81,-59.685
262.18,201.29
262.55,142.77
262.92,19.895
263.29,-65.535
263.67,-17.555
264.04,136.92
264.41,69.04
264.78,26.92
265.15,102.98
265.52,113.51
265.9,50.325
266.27,98.3
266.64,-9.36
267.01,231.71
267.38,-63.2
267.75,16.39
268.12,-1.165
268.5,84.26
268.87,93.62
269.24,24.58
269.61,38.62
269.98,-2.345
270.35,90.11
270.72,275.01
271.09,273.84
271.46,93.62
271.83,122.88
272.21,119.37
272.58,136.92
272.95,217.66
273.32,-5.855
273.69,107.66
274.06,248.1
274.43,196.6
274.8,157.99
275.17,-24.57
275.54,1519
275.91,264.48
276.28,-62.02
276.65,189.58
277.02,227.03
277.39,215.33
277.76,83.09
278.13,100.65
278.5,95.96
278.87,166.17
279.24,308.95
279.61,157.99
279.98,304.27
280.35,210.65
280.72,204.79
281.09,204.8
281.46,303.09
281.83,115.86
282.2,475.13
282.57,101.82
282.94,122.88
283.31,143.94
283.68,236.39
284.05,349.91
284.42,306.6
284.79,140.43
285.16,210.65
285.53,314.8
285.9,246.94
286.27,135.75
286.64,334.69
287.01,366.3
287.38,217.67
287.75,22.235
288.12,292.57
288.49,18.725
288.86,313.62
289.23,300.76
289.59,303.09
289.96,121.7
290.33,333.52
290.7,273.84
291.07,365.13
291.44,291.4
291.81,256.29
292.18,250.44
292.55,237.56
292.91,119.36
293.28,190.76
293.65,296.08
294.02,265.64
294.39,341.72
294.76,378
295.13,332.36
295.5,372.15
295.86,216.49
296.23,347.57
296.6,255.12
296.97,340.55
297.34,310.11
297.71,359.27
298.07,280.86
298.44,301.93
298.81,382.69
299.18,388.53
299.55,196.6
299.91,331.18
300.28,287.88
300.65,276.18
301.02,223.52
301.39,324.17
301.75,306.61
302.12,406.08
302.49,202.46
