wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,-0
202.99,-0
203.36,0
203.74,-0
204.12,0
204.49,-0
204.87,-0
205.25,-0
205.63,0
206,0
206.38,-0
206.76,0
207.14,-0
207.51,0
207.89,0
208.27,-0
208.64,0
209.02,-0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,-8.113e+10
212.03,-6.9149e+11
212.41,1.5175e+12
212.79,1.5175e+12
213.16,1.5175e+12
213.54,-2.159e+11
213.92,-2.159e+11
214.29,-2.311e+11
214.67,-2.311e+11
215.05,-2.311e+11
215.42,-2.311e+11
215.8,-2.311e+11
216.17,-2.311e+11
216.55,-9.6328e+10
216.93,-2.311e+11
217.3,-1.2412e+11
217.68,-1.2412e+11
218.05,-2.2229e+11
218.43,-2.2229e+11
218.81,5.9747e+10
219.18,1.2105e+12
219.56,3.2166e+12
219.93,2.1811e+12
220.31,2.0658e+12
220.69,2.0658e+12
221.06,3.2276e+12
221.44,1.6665e+12
221.81,1.6665e+12
222.19,4.6503e+11
222.56,4.6503e+11
222.94,-2.3816e+11
223.32,-4.4486e+11
223.69,-2.3816e+11
224.07,-2.3816e+11
224.44,-2.3816e+11
224.82,-4.4486e+11
225.19,-6.1401e+11
225.57,-6.1401e+11
225.94,-4.4486e+11
226.32,-4.4486e+11
226.69,-4.2789e+11
227.07,-1.722e+11
227.44,-4.936e+11
227.82,-4.936e+11
228.19,-1.722e+11
228.57,-1.8457e+10
228.94,-1.8457e+10
229.32,-1.722e+11
229.69,-3.2647e+11
230.07,-7.94e+11
230.44,-7.94e+11
230.82,-9.8758e+11
231.19,-1.3328e+12
231.57,-8.0961e+11
231.94,-1.0722e+12
232.32,-1.4018e+12
232.69,-1.4018e+12
233.07,-1.4018e+12
233.44,-1.0722e+12
233.82,-1.4531e+12
234.19,-1.4531e+12
234.57,-9.6531e+11
234.94,-9.6531e+11
235.31,-9.6531e+11
