wavelength,intensity
178.76,1723.8
179.14,1723.8
179.52,1723.8
179.9,1672.3
180.28,11328
180.66,6235.2
181.04,8486.8
181.42,7661.7
181.8,6378
182.18,11288
182.55,5962.5
182.93,7568.1
183.31,7282.6
183.69,8092.4
184.07,8455.2
184.45,7235.8
184.83,7521.3
185.21,6732.6
185.59,6959.6
185.97,17091
186.35,12350
186.72,7231.1
187.1,7407.8
187.48,11912
187.86,9243.9
188.24,6925.6
188.62,6465.7
189,11324
189.38,8260.9
189.75,7685.1
190.13,8215.3
190.51,6516.1
190.89,15646
191.27,21670
191.65,7125.8
192.03,8007
192.4,10685
192.78,7756.5
193.16,8976
193.54,12651
193.92,11260
194.3,6901.1
194.67,9842
195.05,8573.4
195.43,7475.7
195.81,7227.6
196.19,11096
196.56,7833.8
196.94,7478
197.32,11847
197.7,6763
198.08,8887
198.45,6897.6
198.83,7877.1
199.21,6959.6
199.59,12514
199.97,8380.3
200.34,6111.1
200.72,6753.6
201.1,14325
201.48,10287
201.85,6588.6
202.23,6984.2
202.61,7060.2
202.99,42319
203.36,6963.1
203.74,9375
204.12,7185.4
204.49,6640.1
204.87,9076.6
205.25,7405.5
205.63,5892.3
206,6571.1
206.38,8110
206.76,9791.6
207.14,6670.5
207.51,6049.1
207.89,11231
208.27,6469.2
208.64,5485
209.02,6759.5
209.4,7220.6
209.77,5849
210.15,15833
210.53,6011.7
210.9,11460
211.28,6242.2
211.66,12541
212.03,6642.4
212.41,5902.8
212.79,7361
213.16,6142.7
213.54,7978.9
213.92,8026.9
214.29,5726.1
214.67,6712.7
215.05,6972.5
215.42,9655.9
215.8,6980.6
216.17,6909.3
216.55,8105.3
216.93,6073.7
217.3,9300.1
217.68,6534.8
218.05,6847.2
218.43,6664.7
218.81,7125.8
219.18,11606
219.56,6908.1
219.93,6727.9
220.31,6528.9
220.69,6080.7
221.06,6263.3
221.44,7802.2
221.81,6385
222.19,5817.4
222.56,6305.4
222.94,7087.1
223.32,7802.2
223.69,6532.4
224.07,9152.7
224.44,13041
224.82,7799.8
225.19,8761.8
225.57,7739
225.94,6815.6
226.32,7556.4
226.69,12597
227.07,8892.9
227.44,6911.6
227.82,8177.8
228.19,7045
228.57,9001.7
228.94,12095
229.32,9840.8
229.69,9210
230.07,6935
230.44,6276.1
230.82,11205
231.19,9687.5
231.57,5750.7
231.94,5982.4
232.32,9304.8
232.69,7280.2
233.07,7671.1
233.44,8552.3
233.82,7160.9
234.19,7575.1
234.57,10305
234.94,6606.2
235.31,6744.3
235.69,7404.3
236.06,7721.4
236.44,8738.4
236.81,6015.2
237.19,8101.8
237.56,11844
237.93,6679.9
238.31,7947.3
238.68,6988.8
239.06,7760
239.43,8929.1
239.81,8270.3
240.18,6124
240.55,6381.5
240.93,13211
241.3,7921.5
241.67,7308.3
242.05,8889.4
242.42,9792.8
242.8,6001.1
243.17,8053.8
243.54,7976.5
243.92,9662.9
244.29,7308.3
244.66,7805.7
245.04,10498
245.41,16589
245.78,6132.2
246.16,6949.1
246.53,9188.9
246.9,7329.4
247.28,13356
247.65,7125.8
248.02,7308.3
248.4,10214
248.77,7727.3
249.14,8550
249.52,7110.5
249.89,8720.8
250.26,6332.3
250.64,7778.8
251.01,15795
251.38,5856
251.75,7571.6
252.13,6990
252.5,9304.8
252.87,13758
253.25,6132.2
253.62,8105.3
253.99,5898.1
254.36,9550.6
254.74,6650.6
255.11,6315.9
255.48,5751.9
255.85,14723
256.23,5802.2
256.6,5494.4
256.97,7141
257.34,8438.8
257.71,7810.4
258.09,7057.9
258.46,7930.9
258.83,11453
259.2,9943.8
259.58,7249.8
259.95,7441.7
260.32,9554.1
260.69,6159.1
261.06,11122
261.44,6369.8
261.81,13567
262.18,8044.4
262.55,6468.1
262.92,7476.8
263.29,6641.3
263.67,5830.3
264.04,6736.1
264.41,7123.4
264.78,6689.3
265.15,10601
265.52,12752
265.9,7668.8
266.27,6582.8
266.64,5937.9
267.01,5524.8
267.38,8180.2
267.75,6314.8
268.12,5341.1
268.5,7153.9
268.87,6523.1
269.24,6353.4
269.61,7909.8
269.98,8379.1
270.35,8065.5
270.72,6289
271.09,7124.6
271.46,6805.1
271.83,8174.3
272.21,9309.5
272.58,6094.8
272.95,6506.7
273.32,7406.6
273.69,7466.3
274.06,5660.6
274.43,6321.8
274.8,7268.5
275.17,7960.2
275.54,15774
275.91,7597.4
276.28,7462.8
276.65,7783.4
277.02,11426
277.39,6339.3
277.76,6380.3
278.13,8510.2
278.5,8911.6
278.87,10587
279.24,9280.2
279.61,8483.3
279.98,10042
280.35,6486.8
280.72,7741.3
281.09,7165.6
281.46,7513.1
281.83,6237.5
282.2,8059.6
282.57,6571.1
282.94,8258.6
283.31,6662.3
283.68,7874.7
284.05,5751.9
284.42,5351.6
284.79,7789.3
285.16,8610.8
285.53,7323.5
285.9,7280.2
286.27,15155
286.64,5596.2
287.01,6386.1
287.38,8627.2
287.75,59618
288.12,8669.3
288.49,16965
288.86,6017.5
289.23,6155.6
289.59,6358.1
289.96,6039.8
290.33,6497.3
290.7,6667
291.07,8466.9
291.44,7943.8
291.81,5987.1
292.18,7356.3
292.55,6766.5
292.91,12912
293.28,8422.4
293.65,11119
294.02,7888.8
294.39,5671.1
294.76,7056.7
295.13,7508.4
295.5,7045
295.86,7138.6
296.23,6608.5
296.6,5843.1
296.97,6520.7
297.34,7159.7
297.71,8968.9
298.07,7446.4
298.44,5362.2
298.81,8016.3
299.18,7637.2
299.55,10741
299.91,7174.9
300.28,7542.4
300.65,5490.9
301.02,7689.8
301.39,8331.1
301.75,13637
302.12,8404.9
302.49,7137.5
302.86,10765
303.23,7383.2
303.59,6015.2
303.96,17587
304.33,9791.6
304.7,15308
305.06,6569.9
305.43,10466
305.8,8525.4
306.17,9323.5
306.53,6457.5
306.9,9731.9
307.27,7420.7
307.64,10745
308,6613.2
308.37,6369.8
308.74,12194
309.11,9128.1
309.47,6420.1
309.84,5677
310.21,7226.4
310.57,7585.7
310.94,6860.1
311.31,7327
311.67,7921.5
312.04,5581
312.41,10017
312.77,8246.9
313.14,6380.3
313.51,7082.5
313.87,6569.9
314.24,6552.3
314.61,6437.6
314.97,6634.3
315.34,7386.7
315.71,5689.8
316.07,9126.9
316.44,5877.1
316.81,8889.4
317.17,6252.7
317.54,15767
317.91,6543
318.27,5499.1
318.64,6916.3
319,8899.9
319.37,5638.4
319.74,9569.3
320.1,9801
320.47,6730.2
320.83,11153
321.2,7118.7
321.57,5998.8
321.93,6547.6
322.3,7636
322.66,6362.7
323.03,8885.8
323.4,8052.6
323.76,6645.9
324.13,6574.6
324.49,5589.2
324.86,19155
325.22,7595
325.59,7198.3
325.95,7970.7
326.32,9666.4
326.68,9365.7
327.05,7105.9
327.42,6198.9
327.78,6594.5
328.15,9710.9
328.51,6470.4
328.88,8761.8
329.24,11436
329.61,7341.1
329.97,8820.3
330.34,6605
330.7,7441.7
331.07,10895
331.43,8770
331.8,13617
332.16,10475
332.52,6231.7
332.89,8370.9
333.25,5638.4
333.62,12881
333.98,7533
334.35,7063.7
334.71,7520.1
335.08,5899.3
335.44,12205
335.81,12274
336.17,10350
336.53,7272
336.9,6050.3
337.26,8697.4
337.63,9547
337.99,7796.3
338.36,5961.3
338.72,9205.3
339.08,7596.2
339.45,6015.2
339.81,9676.9
340.18,6821.5
340.54,10576
340.9,6440
341.27,7149.2
341.63,8479.8
341.99,5411.3
342.36,10729
342.72,5971.9
343.09,10844
343.45,6475.1
343.81,11061
344.18,5702.7
344.54,7214.7
344.9,7939.1
345.27,7478
345.63,7108.2
345.99,9064.9
346.36,7503.8
346.72,6055
347.08,6095.9
347.45,5612.6
347.81,10096
348.17,7744.8
348.54,5845.5
348.9,9196
349.26,9884.1
349.62,11046
349.99,5452.3
350.35,5311.8
350.71,7991.8
351.08,7251
351.44,5372.7
351.8,13686
352.16,11737
352.53,6188.4
352.89,8610.8
353.25,11439
353.61,6760.6
353.98,8870.6
354.34,10420
354.7,6579.2
355.06,5386.7
355.43,7487.4
355.79,6844.9
356.15,6786.4
356.51,6037.4
356.88,6170.8
357.24,6935
357.6,5547.1
357.96,5384.4
358.32,15704
358.69,5614.9
359.05,8228.2
359.41,7564.6
359.77,5996.4
360.13,6311.3
360.49,6182.5
360.86,9220.5
361.22,11471
361.58,7930.9
361.94,11160
362.3,5918
362.66,8649.5
363.03,5393.8
363.39,5299
363.75,6430.6
364.11,10305
364.47,6491.5
364.83,10979
365.19,7804.5
365.56,9155
365.92,5458.1
366.28,8871.8
366.64,10205
367,5593.9
367.36,5494.4
367.72,10111
368.08,9612.6
368.44,6692.8
368.8,8483.3
369.17,6674
369.53,7019.3
369.89,6175.5
370.25,6093.6
370.61,6464.6
370.97,11079
371.33,6524.2
371.69,13119
372.05,8553.5
372.41,6063.2
372.77,6664.7
373.13,7734.3
373.49,5214.7
373.85,8201.2
374.21,7611.4
374.57,5805.7
374.93,8933.8
375.29,9483.9
375.65,7665.3
376.01,7419.5
376.37,10511
376.73,8825
377.09,5946.1
377.45,10183
377.81,7000.5
378.17,5998.8
378.53,5294.3
378.89,8671.7
379.25,11263
379.61,14656
379.97,9577.5
380.33,6569.9
380.69,6337
381.05,5757.7
381.41,9386.7
381.77,7446.4
382.13,8380.3
382.49,15374
382.85,7611.4
383.21,9135.1
383.57,5536.5
383.93,10926
384.28,5313
384.64,6706.8
385,7804.5
385.36,7495.6
385.72,9180.8
386.08,6086.6
386.44,9152.7
386.8,9210
387.16,12728
387.52,9921.5
387.87,13959
388.23,8243.4
388.59,6292.5
388.95,5713.3
389.31,6987.7
389.67,6974.8
390.03,6418.9
390.38,6712.7
390.74,5197.2
391.1,9637.2
391.46,7695.7
391.82,6190.7
392.18,8557
392.54,4966.6
392.89,5794
393.25,8607.3
393.61,5788.1
393.97,5617.3
394.33,8028
394.68,7217
395.04,5674.6
395.4,7479.2
395.76,9582.2
396.12,7707.4
396.47,5957.8
396.83,7119.9
397.19,5679.3
397.55,5946.1
397.9,7535.4
398.26,7483.9
398.62,5772.9
398.98,4976
399.33,6972.5
399.69,25462
400.05,8471.6
400.41,5923.9
400.76,9061.4
401.12,10339
401.48,8037.4
401.84,6117
402.19,6552.3
402.55,7879.4
402.91,7425.4
403.26,5503.8
403.62,8553.5
403.98,7301.3
404.34,4969
404.69,7145.7
405.05,9365.6
405.41,14572
405.76,6053.8
406.12,6195.4
406.48,6984.2
406.83,6236.4
407.19,8605
407.55,8135.7
407.9,14512
408.26,8751.3
408.62,9434.7
408.97,7211.2
409.33,5523.7
409.68,5888.8
410.04,7810.4
410.4,6191.9
410.75,8360.4
411.11,5937.9
411.47,7719.1
411.82,6689.3
412.18,7376.2
412.53,6929.2
412.89,6387.3
413.25,6937.4
413.6,7369.2
413.96,5300.1
414.31,6527.8
414.67,7581
415.03,5372.7
415.38,5844.3
415.74,6612
416.09,6732.6
416.45,8767.6
416.8,6039.8
417.16,8641.3
417.51,6960.8
417.87,6598
418.23,7998.8
418.58,8404.9
418.94,5043.9
419.29,6182.5
419.65,7772.9
420,8995.9
420.36,8108.8
420.71,8416.6
421.07,5609.1
421.42,7241.6
421.78,9339.9
422.13,6806.3
422.49,5740.2
422.84,7576.3
423.2,5451.1
423.55,5671.1
423.91,5577.5
424.26,14390
424.61,8459.9
424.97,11746
425.32,6143.9
425.68,6774.7
426.03,7834.9
426.39,10359
426.74,10179
427.1,9682.8
427.45,6284.3
427.8,7806.9
428.16,7136.3
428.51,7077.8
428.87,7943.8
429.22,9700.3
429.58,10461
429.93,10304
430.28,6264.4
430.64,6266.8
430.99,5373.9
431.35,7715.6
431.7,6686.9
432.05,6932.7
432.41,8422.4
432.76,7980.1
433.11,8131
433.47,7960.2
433.82,10825
434.17,8355.7
434.53,7963.7
434.88,14571
435.24,7962.5
435.59,7460.5
435.94,5694.5
436.3,8491.5
436.65,6620.2
437,9801
437.35,16638
437.71,6795.7
438.06,6335.8
438.41,6328.8
438.77,8050.3
439.12,5369.2
439.47,4848.4
439.83,7904
440.18,5292
440.53,6599.1
440.88,12594
441.24,8815.6
441.59,5787
441.94,6747.8
442.3,8497.3
442.65,12921
443,7131.6
443.35,10748
443.71,6919.8
444.06,9659.4
444.41,8238.7
444.76,11634
445.11,7233.4
445.47,10539
445.82,9356.3
446.17,6067.8
446.52,10502
446.88,7405.5
447.23,5335.3
447.58,8080.7
447.93,6202.4
448.28,30600
448.63,11214
448.99,7069.6
