wavelength,intensity
178.76,1709.8
179.14,1709.8
179.52,1709.8
179.9,1708.6
180.28,10748
180.66,6157.9
181.04,8337
181.42,7318.9
181.8,6279.7
182.18,11059
182.55,5783.5
182.93,7427.7
183.31,7022.8
183.69,7790.5
184.07,8102.9
184.45,6958.4
184.83,7317.7
185.21,6607.3
185.59,6740.7
185.97,16166
186.35,11996
186.72,7056.7
187.1,7205.3
187.48,11602
187.86,8913.9
188.24,6629.6
188.62,6227
189,11026
189.38,7946.1
189.75,7419.5
190.13,7838.5
190.51,6286.7
190.89,15029
191.27,20944
191.65,7036.8
192.03,7734.3
192.4,10274
192.78,7600.9
193.16,8610.8
193.54,12269
193.92,10940
194.3,6734.9
194.67,9466.3
195.05,8393.2
195.43,7329.4
195.81,7025.1
196.19,10779
196.56,7655.9
196.94,7294.3
197.32,11540
197.7,6552.3
198.08,8560.5
198.45,6780.5
198.83,7513.1
199.21,6717.3
199.59,12216
199.97,8101.8
200.34,5751.9
200.72,6586.3
201.1,13938
201.48,10112
201.85,6311.3
202.23,6863.6
202.61,6482.1
202.99,15933
203.36,6485.6
203.74,8968.9
204.12,7150.3
204.49,6606.2
204.87,8883.5
205.25,7215.9
205.63,5741.3
206,6416.6
206.38,7906.3
206.76,9576.3
207.14,6496.2
207.51,5925.1
207.89,10777
208.27,6355.7
208.64,5424.2
209.02,6596.8
209.4,6896.4
209.77,5694.5
210.15,15123
210.53,5808
210.9,11462
211.28,6183.7
211.66,12032
212.03,6646
212.41,5815.1
212.79,7107
213.16,6065.5
213.54,7688.7
213.92,7830.3
214.29,5582.2
214.67,6572.2
215.05,6807.4
215.42,9343.4
215.8,6896.4
216.17,6679.9
216.55,7817.4
216.93,5753
217.3,8959.6
217.68,6324.1
218.05,6699.8
218.43,6612
218.81,6841.4
219.18,11059
219.56,6784
219.93,6640.1
220.31,6517.2
220.69,5887.6
221.06,6228.2
221.44,7611.4
221.81,6273.8
222.19,5732
222.56,6046.8
222.94,6839
223.32,7644.2
223.69,6333.5
224.07,8928
224.44,12647
224.82,7613.8
225.19,8572.2
225.57,7534.2
225.94,6710.3
226.32,7430
226.69,12260
227.07,8571
227.44,6802.8
227.82,8012.8
228.19,7169.1
228.57,8815.6
228.94,11803
229.32,9668.8
229.69,9054.4
230.07,6960.8
230.44,6378
230.82,11084
231.19,9700.4
231.57,5682.8
231.94,5854.9
232.32,9325.9
232.69,6966.6
233.07,7592.7
233.44,8479.8
233.82,7186.6
234.19,7772.9
234.57,10240
234.94,6567.5
235.31,7016.9
235.69,7494.4
236.06,7785.8
236.44,8936.2
236.81,6162.6
237.19,8169.6
237.56,11962
237.93,6628.4
238.31,7971.9
238.68,7211.2
239.06,7822.1
239.43,9155
239.81,8379.1
240.18,6289
240.55,6558.2
240.93,13094
241.3,8083
241.67,7401.9
242.05,8866
242.42,10008
242.8,6195.4
243.17,8169.6
243.54,7990.6
243.92,9577.5
244.29,7369.2
244.66,7889.9
245.04,10490
245.41,16379
245.78,6263.3
246.16,7236.9
246.53,9265
246.9,7492.1
247.28,13222
247.65,7338.8
248.02,7419.5
248.4,10172
248.77,7783.5
249.14,8799.2
249.52,7259.2
249.89,8792.2
250.26,6521.9
250.64,7762.4
251.01,15580
251.38,6095.9
251.75,7660.6
252.13,7082.5
252.5,9338.7
252.87,13594
253.25,6312.4
253.62,8221.1
253.99,6122.8
254.36,9753
254.74,6896.4
255.11,6483.3
255.48,5893.5
255.85,14521
256.23,6038.6
256.6,5626.6
256.97,7239.3
257.34,8473.9
257.71,7846.6
258.09,6789.9
258.46,8030.4
258.83,11581
259.2,10003
259.58,7302.5
259.95,7530.7
260.32,9719.1
260.69,6381.5
261.06,11038
261.44,6520.7
261.81,13501
262.18,8250.4
262.55,6733.7
262.92,7672.3
263.29,6733.7
263.67,6099.4
264.04,7043.8
264.41,7426.5
264.78,6930.3
265.15,10734
265.52,12898
265.9,7884.1
266.27,6846.1
266.64,6182.5
267.01,6000
267.38,8561.7
267.75,6675.2
268.12,5805.7
268.5,7556.4
268.87,6901.1
269.24,6795.7
269.61,8207.1
269.98,8702.1
270.35,8660
270.72,6857.8
271.09,7523.6
271.46,7234.6
271.83,8603.8
272.21,9815
272.58,6799.3
272.95,7129.3
273.32,8118.1
273.69,8108.8
274.06,6425.9
274.43,7049.7
274.8,8065.5
275.17,8676.4
275.54,16842
275.91,8267.9
276.28,8348.7
276.65,8616.7
277.02,12142
277.39,7234.6
277.76,7323.5
278.13,9517.8
278.5,9892.3
278.87,11573
279.24,10454
279.61,9526
279.98,10947
280.35,7531.8
280.72,8620.2
281.09,8301.9
281.46,8545.3
281.83,7434.7
282.2,9164.4
282.57,7982.4
282.94,9407.8
283.31,7856
283.68,9233.4
284.05,7006.4
