wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,-0
206,-0
206.38,-0
206.76,-0
207.14,0
207.51,-0
207.89,-0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,-6.4406e+10
212.03,-1.2633e+12
212.41,6.3644e+11
212.79,6.3644e+11
213.16,6.3644e+11
213.54,1.4878e+12
213.92,1.4878e+12
214.29,1.4878e+12
214.67,1.4878e+12
215.05,-5.1247e+11
215.42,1.4878e+12
215.8,1.4878e+12
216.17,1.3445e+12
216.55,1.3445e+12
216.93,4.6363e+11
217.3,-1.3072e+12
217.68,4.6363e+11
218.05,4.6363e+11
218.43,-2.9919e+11
218.81,-2.9919e+11
219.18,-2.9919e+11
219.56,-5.7503e+11
219.93,-1.0498e+12
220.31,-2.0843e+12
220.69,-1.0498e+12
221.06,-5.7503e+11
221.44,-5.7503e+11
221.81,-4.4355e+11
222.19,1.887e+12
222.56,3.9433e+12
222.94,1.887e+12
223.32,3.7175e+12
223.69,4.3379e+12
224.07,4.3379e+12
224.44,7.5673e+12
224.82,7.5673e+12
225.19,7.5673e+12
225.57,6.4378e+12
225.94,6.508e+12
226.32,4.5217e+12
226.69,4.5217e+12
227.07,4.5217e+12
227.44,4.1961e+12
227.82,4.569e+12
228.19,4.569e+12
228.57,4.569e+12
228.94,4.569e+12
229.32,4.1818e+12
229.69,3.7444e+12
230.07,4.1818e+12
230.44,4.4359e+12
230.82,4.4359e+12
231.19,5.3535e+12
231.57,5.3535e+12
231.94,5.3535e+12
232.32,6.9895e+12
232.69,6.867e+12
233.07,7.9759e+12
233.44,9.5167e+12
233.82,9.5167e+12
234.19,8.3567e+12
234.57,8.7205e+12
234.94,8.7205e+12
235.31,8.6401e+12
235.69,8.7205e+12
236.06,8.8606e+12
236.44,9.4429e+12
