wavelength,intensity
178.76,1.17
179.14,1.17
179.52,1.17
179.9,-10.535
180.28,-28.085
180.66,-29.26
181.04,-50.325
181.42,60.855
181.8,-69.05
182.18,-136.92
182.55,114.68
182.93,24.575
183.31,-24.575
183.69,128.73
184.07,131.07
184.45,-8.185
184.83,-43.3
185.21,9.36
185.59,64.365
185.97,145.11
186.35,32.77
186.72,23.4
187.1,31.6
187.48,-127.56
187.86,149.79
188.24,-18.73
188.62,40.96
189,-94.795
189.38,-25.745
189.75,-4.68
190.13,210.65
190.51,112.34
190.89,-95.96
191.27,-11.705
191.65,-51.49
192.03,28.085
192.4,-62.02
192.78,-93.625
193.16,225.86
193.54,-51.49
193.92,-119.36
194.3,-111.18
194.67,86.6
195.05,-62.02
195.43,38.62
195.81,-62.03
196.19,-124.04
196.56,90.11
196.94,135.75
197.32,1.17
197.7,-18.725
198.08,-15.215
198.45,-106.49
198.83,63.19
199.21,16.38
199.59,25.75
199.97,2.34
200.34,168.52
200.72,26.92
201.1,-44.47
201.48,-157.99
201.85,31.6
202.23,39.79
202.61,77.235
202.99,46.81
203.36,33.935
203.74,-11.705
204.12,-66.71
204.49,-57.34
204.87,-121.7
205.25,19.9
205.63,-47.98
206,-57.345
206.38,-10.535
206.76,-23.4
207.14,25.745
207.51,-10.53
207.89,-22.235
208.27,28.085
208.64,-9.36
209.02,5.85
209.4,30.43
209.77,-38.615
210.15,-674.07
210.53,49.15
210.9,15.215
211.28,-19.895
211.66,-1.17
212.03,-224.69
212.41,36.275
212.79,70.215
213.16,-63.19
213.54,-63.195
213.92,14.045
214.29,52.66
214.67,16.385
215.05,57.345
215.42,-26.915
215.8,-140.43
216.17,71.385
216.55,-42.13
216.93,155.64
217.3,-2.34
217.68,14.045
218.05,57.345
218.43,-146.28
218.81,-37.445
219.18,102.98
219.56,-5.85
219.93,-10.53
220.31,-40.96
220.69,58.515
221.06,-66.705
221.44,-21.065
221.81,-78.41
222.19,-2.34
222.56,64.365
222.94,182.56
223.32,207.13
223.69,79.58
224.07,177.88
224.44,-14.04
224.82,62.025
225.19,232.89
225.57,55
225.94,238.73
226.32,77.24
226.69,207.14
227.07,159.15
227.44,94.795
227.82,67.875
228.19,57.345
228.57,62.03
228.94,87.77
229.32,142.77
229.69,132.24
230.07,90.11
230.44,132.24
230.82,59.685
231.19,17.555
231.57,106.5
231.94,277.35
232.32,86.6
232.69,307.78
233.07,333.53
233.44,190.75
233.82,197.78
234.19,143.94
234.57,277.35
234.94,276.18
235.31,173.19
235.69,223.52
236.06,223.52
236.44,235.22
236.81,229.38
237.19,263.31
237.56,277.35
237.93,344.06
238.31,271.5
238.68,267.99
239.06,479.81
239.43,313.63
239.81,297.25
240.18,287.89
240.55,328.84
240.93,351.08
241.3,475.13
241.67,427.15
242.05,355.76
242.42,369.8
242.8,358.1
243.17,368.63
243.54,385.01
243.92,360.45
244.29,450.55
244.66,326.51
245.04,324.16
245.41,374.49
245.78,367.47
246.16,138.09
246.53,125.22
246.9,393.21
247.28,369.8
247.65,280.86
248.02,373.32
248.4,454.06
248.77,413.1
249.14,264.48
249.52,470.45
249.89,465.77
250.26,388.53
250.64,402.57
251.01,382.68
251.38,403.75
251.75,392.04
252.13,330.02
252.5,411.93
252.87,365.13
253.25,200.12
253.62,284.37
253.99,307.78
254.36,188.41
254.74,361.61
255.11,227.03
255.48,292.57
255.85,326.5
256.23,256.28
256.6,411.93
256.97,209.48
257.34,333.52
257.71,376.82
258.09,181.39
258.46,348.74
258.83,334.69
259.2,232.88
259.58,387.36
259.95,230.54
260.32,270.33
260.69,246.93
261.06,422.47
261.44,452.89
261.81,389.69
262.18,356.93
262.55,353.43
262.92,327.68
263.29,649.5
263.67,420.13
264.04,454.06
264.41,279.69
264.78,301.93
265.15,447.05
265.52,477.47
265.9,418.95
266.27,444.7
266.64,455.24
267.01,435.34
267.38,484.49
267.75,518.43
268.12,555.89
268.5,594.5
268.87,564.07
269.24,587.47
269.61,650.68
269.98,603.86
270.35,456.4
270.72,558.22
271.09,738.44
271.46,638.96
271.83,689.29
272.21,894.08
272.58,657.68
272.95,691.63
273.32,716.2
273.69,736.1
274.06,795.78
274.43,788.76
274.8,883.55
275.17,1032.2
275.54,1355.2
275.91,903.45
276.28,951.43
276.65,926.85
277.02,939.73
277.39,944.41
277.76,980.69
278.13,983.02
278.5,1167.9
278.87,1199.5
279.24,956.1
279.61,1198.4
279.98,1289.6
280.35,1302.5
280.72,1380.9
281.09,1249.8
281.46,1303.7
281.83,1379.7
282.2,1405.5
282.57,1252.2
282.94,1395
283.31,1547.1
283.68,1404.3
284.05,1417.2
284.42,1386.8
284.79,1439.4
285.16,1473.4
285.53,1582.2
285.9,1586.9
286.27,1641.9
286.64,1508.5
287.01,1529.5
287.38,1630.2
287.75,863.65
288.12,1414.9
288.49,1537.7
288.86,1395
289.23,1636
289.59,1492.1
289.96,1555.3
290.33,1609.1
290.7,1631.3
291.07,1679.3
291.44,1445.3
291.81,1636
292.18,1581
292.55,1557.6
292.91,1486.2
293.28,1631.3
293.65,1674.7
294.02,1596.2
294.39,1596.2
294.76,1611.5
295.13,1583.4
295.5,1406.7
295.86,1485.1
296.23,1600.9
296.6,1524.9
296.97,1537.7
297.34,1384.4
297.71,1471
298.07,1433.6
298.44,1391.5
298.81,1599.8
299.18,1418.4
299.55,1519
299.91,1285
300.28,1455.8
300.65,1483.9
301.02,1425.4
301.39,1578.7
301.75,1432.4
302.12,1268.6
302.49,1228.8
302.86,1266.2
303.23,1269.7
303.59,1303.7
303.96,1390.3
304.33,1213.6
304.7,1358.7
305.06,1396.1
305.43,1316.6
305.8,1387.9
306.17,1377.4
306.53,1252.2
306.9,1392.6
307.27,1295.5
307.64,1644.2
308,1248.7
308.37,1301.3
308.74,1261.5
309.11,1296.7
309.47,1354
309.84,1331.8
310.21,1165.6
310.57,1304.9
310.94,1224.1
311.31,1115.3
311.67,1189
312.04,1167.9
312.41,1156.2
312.77,1187.8
313.14,1215.9
313.51,1324.7
313.87,1262.7
314.24,1069.6
314.61,1047.4
314.97,992.39
315.34,1013.4
315.71,1082.5
316.07,1054.4
316.44,1110.6
316.81,1091.9
317.17,1000.6
317.54,1148
317.91,931.53
318.27,978.35
318.64,933.87
319,894.08
319.37,930.36
319.74,967.81
320.1,1015.8
320.47,825.03
320.83,1220.6
321.2,918.66
321.57,903.45
321.93,964.31
322.3,1087.2
322.66,904.61
323.03,1089.5
323.4,1067.3
323.76,940.89
324.13,885.89
324.49,1150.4
324.86,922.17
325.22,1022.8
325.59,994.73
325.95,970.16
326.32,1028.7
326.68,1087.2
327.05,950.26
327.42,909.3
327.78,782.91
328.15,968.98
328.51,608.54
328.88,695.14
329.24,1002.9
329.61,785.25
329.97,649.5
330.34,847.27
330.7,747.8
331.07,1000.6
331.43,857.81
331.8,708.02
332.16,734.93
332.52,942.07
332.89,1013.5
333.25,892.91
333.62,953.77
333.98,623.76
334.35,874.19
334.71,1035.7
335.08,953.77
335.44,1018.1
335.81,765.35
336.17,1156.2
336.53,911.64
336.9,806.31
337.26,874.19
337.63,843.77
337.99,846.1
338.36,811
338.72,865.99
339.08,653
339.45,895.25
339.81,784.08
340.18,717.37
340.54,662.36
340.9,619.07
341.27,871.85
341.63,631.94
341.99,495.02
342.36,592.16
342.72,610.88
343.09,650.67
343.45,747.8
343.81,527.79
344.18,504.38
344.54,434.17
344.9,574.6
345.27,602.69
345.63,730.25
345.99,734.93
346.36,526.62
346.72,380.34
347.08,544.17
347.45,510.23
347.81,692.8
348.17,598.01
348.54,532.47
348.9,562.9
349.26,601.51
349.62,699.81
349.99,507.9
350.35,630.77
350.71,521.94
351.08,700.99
351.44,534.81
351.8,698.65
352.16,693.97
352.53,657.69
352.89,667.06
353.25,620.25
353.61,560.56
353.98,590.99
354.34,644.81
354.7,654.18
355.06,518.43
355.43,657.69
355.79,612.05
356.15,844.94
356.51,443.53
356.88,560.56
357.24,719.72
357.6,455.24
357.96,534.81
358.32,551.19
358.69,571.09
359.05,523.11
359.41,409.6
359.77,415.45
360.13,507.9
360.49,277.35
360.86,347.57
361.22,380.33
361.58,378
361.94,488
362.3,378
362.66,292.57
363.03,486.83
363.39,378
363.75,358.11
364.11,567.59
364.47,429.49
364.83,507.9
365.19,328.85
365.56,507.9
365.92,493.86
366.28,444.7
366.64,366.29
367,491.51
367.36,497.36
367.72,532.47
368.08,387.36
368.44,396.72
368.8,507.9
369.17,495.03
369.53,472.79
369.89,557.05
370.25,507.9
370.61,495.02
370.97,452.9
371.33,365.13
371.69,372.15
372.05,630.77
372.41,339.38
372.77,585.13
373.13,379.16
373.49,417.78
373.85,449.38
374.21,445.87
374.57,415.44
374.93,283.21
375.29,347.57
375.65,344.06
376.01,523.11
376.37,414.28
376.73,410.76
377.09,421.3
377.45,459.92
377.81,421.3
378.17,382.68
378.53,417.78
378.89,471.62
379.25,496.19
379.61,623.75
379.97,543.01
380.33,470.44
380.69,543
381.05,462.26
381.41,492.68
381.77,477.47
382.13,544.17
382.49,409.59
382.85,362.78
383.21,411.93
383.57,380.34
383.93,319.48
384.28,373.31
384.64,366.29
385,445.88
385.36,214.16
385.72,312.47
386.08,403.75
386.44,360.44
386.8,345.22
387.16,328.85
387.52,189.58
387.87,513.75
388.23,266.82
388.59,331.18
388.95,382.67
389.31,333.52
389.67,503.22
390.03,346.4
390.38,513.75
390.74,238.74
391.1,282.03
391.46,438.85
391.82,305.44
392.18,410.76
392.54,418.96
392.89,280.87
393.25,535.98
393.61,447.04
393.97,381.51
394.33,373.32
394.68,547.69
395.04,435.34
395.4,346.39
395.76,568.75
396.12,452.89
396.47,328.85
396.83,458.74
397.19,438.85
397.55,296.07
397.9,377.99
398.26,470.45
398.62,503.21
398.98,466.93
399.33,451.73
399.69,223.52
400.05,372.14
400.41,324.16
400.76,448.22
401.12,303.1
401.48,479.81
401.84,360.45
402.19,296.07
402.55,432.99
402.91,198.94
403.26,385.02
403.62,402.58
403.98,340.55
404.34,352.25
404.69,414.27
405.05,449.39
405.41,205.97
405.76,406.09
406.12,354.59
406.48,370.97
406.83,458.74
407.19,372.14
407.55,251.61
407.9,291.39
408.26,368.64
408.62,280.87
408.97,389.7
409.33,291.39
409.68,352.25
410.04,381.5
410.4,177.89
410.75,280.86
411.11,433
411.47,217.67
411.82,459.91
412.18,198.94
412.53,322.99
412.89,359.27
413.25,558.22
413.6,155.64
413.96,328.85
414.31,338.21
414.67,284.38
415.03,207.15
415.38,196.6
415.74,387.36
416.09,321.83
416.45,303.1
416.8,243.42
417.16,285.55
417.51,342.89
417.87,165.01
418.23,307.78
418.58,141.6
418.94,304.27
419.29,194.27
419.65,275.01
420,323
420.36,220.01
420.71,252.78
421.07,258.63
421.42,258.63
421.78,248.1
422.13,311.29
422.49,374.48
422.84,252.78
423.2,148.62
423.55,187.24
423.91,313.63
424.26,286.71
424.61,179.06
424.97,104.16
