wavelength,intensity
178.76,1710.9
179.14,1710.9
179.52,1710.9
179.9,1698.1
180.28,10720
180.66,6128.7
181.04,8286.7
181.42,7379.7
181.8,6210.6
182.18,10922
182.55,5898.1
182.93,7452.3
183.31,6998.2
183.69,7919.2
184.07,8234
184.45,6950.2
184.83,7274.4
185.21,6616.7
185.59,6805.1
185.97,16311
186.35,12029
186.72,7080.1
187.1,7236.9
187.48,11474
187.86,9063.7
188.24,6610.8
188.62,6268
189,10931
189.38,7920.4
189.75,7414.8
190.13,8049.1
190.51,6399
190.89,14933
191.27,20933
191.65,6985.3
192.03,7762.4
192.4,10212
192.78,7507.3
193.16,8836.7
193.54,12218
193.92,10820
194.3,6623.7
194.67,9552.9
195.05,8331.1
195.43,7368
195.81,6963.1
196.19,10655
196.56,7746
196.94,7430
197.32,11541
197.7,6533.6
198.08,8545.3
198.45,6674
198.83,7576.3
199.21,6733.7
199.59,12242
199.97,8104.1
200.34,5920.4
200.72,6613.2
201.1,13893
201.48,9954.3
201.85,6342.9
202.23,6903.4
202.61,6559.4
202.99,15980
203.36,6519.6
203.74,8957.2
204.12,7083.6
204.49,6548.8
204.87,8761.8
205.25,7235.8
205.63,5693.4
206,6359.2
206.38,7895.8
206.76,9552.9
207.14,6521.9
207.51,5914.5
207.89,10755
208.27,6383.8
208.64,5414.8
209.02,6602.6
209.4,6926.8
209.77,5655.9
210.15,14449
210.53,5857.2
210.9,11477
211.28,6163.8
211.66,12030
212.03,6421.3
212.41,5851.3
212.79,7177.3
213.16,6002.3
213.54,7625.5
213.92,7844.3
214.29,5634.8
214.67,6588.6
215.05,6864.8
215.42,9316.5
215.8,6756
216.17,6751.3
216.55,7775.3
216.93,5908.7
217.3,8957.2
217.68,6338.2
218.05,6757.1
218.43,6465.7
218.81,6803.9
219.18,11162
219.56,6778.2
219.93,6629.6
220.31,6476.3
220.69,5946.1
221.06,6161.5
221.44,7590.4
221.81,6195.4
222.19,5729.6
222.56,6111.1
222.94,7021.6
223.32,7851.3
223.69,6413.1
224.07,9105.9
224.44,12633
224.82,7675.8
225.19,8805.1
225.57,7589.2
225.94,6949
226.32,7507.3
226.69,12467
227.07,8730.2
227.44,6897.6
227.82,8080.7
228.19,7226.4
228.57,8877.7
228.94,11891
229.32,9811.5
229.69,9186.6
230.07,7050.9
230.44,6510.2
230.82,11143
231.19,9717.9
231.57,5789.3
231.94,6132.2
232.32,9412.5
232.69,7274.4
233.07,7926.2
233.44,8670.5
233.82,7384.4
234.19,7916.9
234.57,10517
234.94,6843.7
235.31,7190.1
235.69,7717.9
236.06,8009.3
236.44,9171.4
236.81,6392
237.19,8433
237.56,12240
237.93,6972.5
238.31,8243.4
238.68,7479.2
239.06,8301.9
239.43,9468.6
239.81,8676.4
240.18,6576.9
240.55,6887
240.93,13445
241.3,8558.2
241.67,7829.1
242.05,9221.7
242.42,10378
242.8,6553.5
243.17,8538.3
243.54,8375.6
243.92,9937.9
244.29,7819.7
244.66,8216.5
245.04,10814
245.41,16754
245.78,6630.7
246.16,7375
246.53,9390.2
246.9,7885.3
247.28,13591
247.65,7619.6
248.02,7792.8
248.4,10626
248.77,8196.6
249.14,9063.7
249.52,7729.6
249.89,9258
250.26,6910.4
250.64,8165
251.01,15962
251.38,6499.7
251.75,8052.6
252.13,7412.5
252.5,9750.7
252.87,13959
253.25,6512.5
253.62,8505.5
253.99,6430.6
254.36,9941.4
254.74,7258
255.11,6710.3
255.48,6186
255.85,14847
256.23,6294.9
256.6,6038.6
256.97,7448.8
257.34,8807.4
257.71,8223.5
258.09,6971.3
258.46,8379.1
258.83,11916
259.2,10236
259.58,7689.8
259.95,7761.2
260.32,9989.4
260.69,6628.4
261.06,11460
261.44,6973.6
261.81,13891
262.18,8607.3
262.55,7087.1
262.92,7999.9
263.29,7383.2
263.67,6519.6
264.04,7497.9
264.41,7706.2
264.78,7232.3
265.15,11181
265.52,13375
265.9,8303
266.27,7290.8
266.64,6637.8
267.01,6435.3
267.38,9046.2
267.75,7193.6
268.12,6361.6
268.5,8150.9
268.87,7465.1
269.24,7383.2
269.61,8857.8
269.98,9306
270.35,9116.4
270.72,7416
271.09,8262.1
271.46,7873.6
271.83,9293.1
272.21,10709
272.58,7456.9
272.95,7820.9
273.32,8834.3
273.69,8844.9
274.06,7221.7
274.43,7838.4
274.8,8949
275.17,9708.5
275.54,18198
275.91,9171.4
276.28,9300.1
276.65,9543.5
277.02,13081
277.39,8179
277.76,8304.2
278.13,10501
278.5,11060
278.87,12772
279.24,11410
279.61,10724
279.98,12236
280.35,8834.4
280.72,10001
281.09,9551.7
281.46,9849
281.83,8814.5
282.2,10570
282.57,9234.6
282.94,10803
283.31,9403.1
283.68,10638
284.05,8423.6
284.42,8097.1
284.79,10524
285.16,11456
285.53,10188
285.9,10288
286.27,17780
286.64,8468.1
287.01,9287.2
287.38,11606
287.75,60104
288.12,11370
288.49,19582
288.86,8926.8
289.23,9198.3
289.59,9155
289.96,8964.3
290.33,9418.3
290.7,9794
291.07,11608
291.44,10850
291.81,9000.5
292.18,10431
292.55,9900.5
292.91,15580
293.28,11379
293.65,13965
294.02,10926
294.39,8699.8
294.76,10055
295.13,10395
295.5,9851.3
295.86,10014
296.23,9519
296.6,8798.1
296.97,9349.3
297.34,9799.8
297.71,11693
298.07,10188
298.44,8184.9
298.81,11003
299.18,10351
299.55,13487
299.91,9783.4
300.28,10233
300.65,8251.6
301.02,10406
301.39,11022
301.75,16132
302.12,10793
302.49,9726.1
302.86,13244
303.23,9939.1
303.59,8550
303.96,19882
304.33,12282
304.7,17608
305.06,9238.1
305.43,12861
305.8,10963
306.17,11582
306.53,8873
306.9,12161
307.27,9794
307.64,13272
308,8880
308.37,8855.4
308.74,14579
309.11,11419
309.47,8842.5
309.84,8124
310.21,9447.6
310.57,9911
310.94,9153.8
311.31,9607.9
311.67,10190
312.04,7787
312.41,12199
312.77,10441
313.14,8539.4
313.51,9339.9
313.87,8842.5
314.24,8661.2
314.61,8540.6
314.97,8690.4
315.34,9378.5
315.71,7680.5
316.07,11115
316.44,7948.5
316.81,10929
317.17,8252.7
317.54,17572
317.91,8362.7
318.27,7392.6
318.64,8679.9
319,10525
319.37,7366.8
319.74,11176
320.1,11373
320.47,8360.4
320.83,12769
321.2,8745.4
321.57,7732
321.93,8299.5
322.3,9390.2
322.66,8052.6
323.03,10645
323.4,9826.7
323.76,8265.6
324.13,8147.4
324.49,7485
324.86,20538
325.22,9291.9
325.59,8857.8
325.95,9693.3
326.32,11334
326.68,10996
327.05,8788.7
327.42,7861.9
327.78,8059.6
328.15,11199
328.51,7863
328.88,10168
329.24,12837
329.61,8813.3
329.97,10197
330.34,8015.2
330.7,8809.8
331.07,12431
331.43,10005
331.8,14954
332.16,11974
332.52,7867.7
332.89,10087
333.25,7269.7
333.62,14201
333.98,8939.7
334.35,8670.5
334.71,9192.5
335.08,7575.1
335.44,13864
335.81,13520
336.17,11981
336.53,8810.9
336.9,7611.4
337.26,10152
337.63,10921
337.99,9226.4
338.36,7489.7
338.72,10552
339.08,8836.7
339.45,7391.4
339.81,10930
340.18,8065.5
340.54,11700
340.9,7565.8
341.27,8311.2
341.63,9479.2
341.99,6387.3
342.36,11622
342.72,7089.5
343.09,11677
343.45,7578.7
343.81,11700
344.18,6657.7
344.54,8077.2
344.9,8822.6
345.27,8415.4
345.63,8118.1
345.99,10095
346.36,8443.5
346.72,6943.2
347.08,7184.3
347.45,6574.6
347.81,11063
348.17,8691.6
348.54,6750.1
348.9,10131
349.26,10766
349.62,11806
349.99,6414.2
350.35,6360.4
350.71,8866
351.08,8390.8
351.44,6269.1
351.8,14603
352.16,12699
352.53,7293.1
352.89,9597.4
353.25,12173
353.61,7736.6
353.98,9822.1
354.34,11328
354.7,7637.2
355.06,6367.4
355.43,8349.9
355.79,7927.4
356.15,7871.2
356.51,6946.7
356.88,7143.3
357.24,8008.1
357.6,6677.5
357.96,6310.1
358.32,16467
358.69,6448.2
359.05,9000.5
359.41,8458.7
359.77,6759.5
360.13,7139.8
360.49,6905.8
360.86,9726.1
361.22,11985
361.58,8532.4
361.94,11916
362.3,6572.2
362.66,9117.6
363.03,6113.5
363.39,6051.5
363.75,7023.9
364.11,10894
364.47,7069.6
364.83,11548
365.19,8279.6
365.56,9731.9
365.92,6157.9
366.28,9416
366.64,10647
367,6299.5
367.36,6325.3
367.72,10752
368.08,10230
368.44,7409
368.8,9152.7
369.17,7435.9
369.53,7716.7
369.89,6992.4
370.25,6931.5
370.61,7157.4
370.97,11806
371.33,7303.6
371.69,13607
372.05,9339.9
372.41,6715
372.77,7485
373.13,8425.9
373.49,6037.4
373.85,8936.2
374.21,8387.3
374.57,6623.7
374.93,9454.6
375.29,9892.3
375.65,8355.7
376.01,8146.2
376.37,11113
376.73,9442.9
377.09,6663.5
377.45,10740
377.81,7658.2
378.17,6795.7
378.53,6010.5
378.89,9318.8
379.25,11789
379.61,15231
379.97,10295
380.33,7362.2
380.69,7114.1
381.05,6594.5
381.41,9999.9
381.77,8198.9
382.13,9541.2
382.49,15779
382.85,8200.1
383.21,9591.5
383.57,6087.7
383.93,11270
384.28,6023.4
384.64,7310.7
385,8354.5
385.36,7919.2
385.72,9721.4
386.08,6653
386.44,9506.1
386.8,9639.5
387.16,11287
387.52,10094
387.87,14696
388.23,8628.4
388.59,6846.1
388.95,6237.5
389.31,7412.5
389.67,7497.9
390.03,7033.3
390.38,7339.9
390.74,5719.1
391.1,10072
391.46,8356.9
391.82,6643.6
392.18,9105.9
392.54,5763.6
392.89,6442.3
393.25,9240.4
393.61,6569.9
393.97,6368.6
394.33,8662.3
394.68,7681.6
395.04,6410.7
395.4,8140.4
395.76,10068
396.12,8273.8
396.47,6535.9
396.83,7716.7
397.19,6355.7
397.55,6514.9
397.9,8081.9
398.26,8060.8
398.62,6520.7
398.98,5772.9
399.33,7493.2
399.69,25659
400.05,8884.7
400.41,6534.8
400.76,9502.6
401.12,10796
401.48,8600.3
401.84,6734.9
402.19,7082.5
402.55,8425.9
402.91,7801
403.26,5991.8
403.62,9082.5
403.98,7744.8
404.34,5489.7
404.69,7661.7
405.05,9829.1
405.41,14717
405.76,6565.2
406.12,6636.6
406.48,7502.6
406.83,6798.1
407.19,9084.8
407.55,8468.1
407.9,14824
408.26,9089.5
408.62,9867.7
408.97,7788.1
409.33,6100.6
