wavelength,intensity
178.76,1914.6
179.14,1914.6
179.52,1914.6
179.9,1813.9
180.28,10188
180.66,5842
181.04,7850.2
181.42,7119.9
181.8,6094.8
182.18,10160
182.55,5600.9
182.93,6937.4
183.31,6745.4
183.69,7492.1
184.07,7787
184.45,6621.4
184.83,6995.9
185.21,6375.6
185.59,6485.6
185.97,14853
186.35,11223
186.72,6761.8
187.1,6846.1
187.48,10874
187.86,8627.2
188.24,6441.1
188.62,6045.6
189,10380
189.38,7658.2
189.75,7054.4
190.13,7632.5
190.51,6127.5
190.89,13926
191.27,19429
191.65,6792.2
192.03,7510.8
192.4,9554.1
192.78,7279.1
193.16,8241
193.54,11473
193.92,10277
194.3,6539.5
194.67,8973.6
195.05,7889.9
195.43,7082.5
195.81,6562.9
196.19,10097
196.56,7255.7
196.94,7059.1
197.32,10851
197.7,6340.5
198.08,8322.9
198.45,6532.4
198.83,7309.5
199.21,6509
199.59,11518
199.97,7763.6
200.34,5762.4
200.72,6445.8
201.1,13212
201.48,9523.6
201.85,6106.5
202.23,6637.8
202.61,6633.1
202.99,37825
203.36,6658.8
203.74,8596.8
204.12,6691.6
204.49,6385
204.87,8311.2
205.25,6808.6
205.63,5558.8
206,6244.6
206.38,7679.3
206.76,9114
207.14,6345.2
207.51,5710.9
207.89,10277
208.27,6204.8
208.64,5313
209.02,6473.9
209.4,6780.5
209.77,5556.4
210.15,13730
210.53,5739
210.9,10584
211.28,5975.4
211.66,11328
212.03,6361.6
212.41,5689.8
212.79,6974.8
213.16,5746
213.54,7328.2
213.92,7606.7
214.29,5444.1
214.67,6415.4
215.05,6562.9
215.42,8983
215.8,6422.4
216.17,6534.8
216.55,7566.9
216.93,5746
217.3,8575.7
217.68,6260.9
218.05,6574.6
218.43,6359.2
218.81,6469.2
219.18,10254
219.56,6408.4
219.93,6471.6
220.31,6256.3
220.69,5680.5
221.06,5994.1
221.44,7311.8
221.81,6031.6
222.19,5474.5
222.56,5907.5
222.94,6579.3
223.32,7328.2
223.69,6162.6
224.07,8491.5
224.44,11761
224.82,7251
225.19,7962.5
225.57,7173.7
225.94,6448.2
226.32,6972.5
226.69,11675
227.07,8205.9
227.44,6499.7
227.82,7588
228.19,6796.9
228.57,8306.6
228.94,10692
229.32,9149.1
229.69,8454
230.07,6607.3
230.44,5952
230.82,10142
231.19,8770
231.57,5507.3
231.94,5673.5
232.32,8580.4
232.69,6700.9
233.07,7232.3
233.44,7899.3
233.82,6668.2
234.19,7255.7
234.57,9540
234.94,6356.9
235.31,6525.4
235.69,6869.5
236.06,7215.9
236.44,8152.1
236.81,5825.6
237.19,7590.4
237.56,11104
237.93,6188.4
238.31,7503.8
238.68,6747.8
239.06,7377.4
239.43,8362.7
239.81,7768.2
240.18,5767.1
240.55,6076
240.93,11962
241.3,7412.5
241.67,6956.1
242.05,8236.4
242.42,9032.1
242.8,5743.7
243.17,7471
243.54,7669.9
243.92,8814.5
244.29,6848.4
244.66,7232.3
245.04,9397.3
245.41,15103
245.78,5753
246.16,6544.1
246.53,8294.9
246.9,6829.7
247.28,12014
247.65,6829.7
248.02,6902.2
248.4,9739
248.77,7236.9
249.14,8166.1
249.52,6708
249.89,8138
250.26,6162.6
250.64,7155
251.01,14481
251.38,5678.1
