wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,0
202.99,0
203.36,-0
203.74,0
204.12,0
204.49,-0
204.87,0
205.25,0
205.63,-0
206,0
206.38,-0
206.76,0
207.14,0
207.51,0
207.89,-0
208.27,-0
208.64,-0
209.02,-0
209.4,0
209.77,-0
210.15,-0
210.53,-0
210.9,-1.1722e+12
211.28,-3.7041e+12
211.66,-3.7478e+12
212.03,-4.3962e+12
212.41,-4.3962e+12
212.79,-3.0801e+12
213.16,-3.0801e+12
213.54,-3.0801e+12
213.92,-3.1121e+12
214.29,-2.4637e+12
214.67,-3.1121e+12
215.05,-2.4637e+12
215.42,-3.1121e+12
215.8,-4.0242e+12
216.17,-3.1704e+12
216.55,-4.699e+12
216.93,-3.1704e+12
217.3,-3.1704e+12
217.68,-2.7346e+12
218.05,-2.7346e+12
218.43,-2.7346e+12
218.81,-2.7346e+12
219.18,2.2278e+12
219.56,4.5572e+12
219.93,4.5572e+12
220.31,5.3002e+12
220.69,6.2213e+12
221.06,6.742e+12
221.44,6.742e+12
221.81,6.1673e+12
222.19,6.1673e+12
222.56,5.407e+12
222.94,5.407e+12
223.32,6.6597e+12
223.69,7.8534e+12
224.07,9.0809e+12
224.44,9.0809e+12
224.82,1.0503e+13
225.19,1.0885e+13
225.57,1.2052e+13
225.94,1.3047e+13
226.32,1.3268e+13
226.69,1.3268e+13
227.07,1.3268e+13
227.44,1.391e+13
227.82,1.4865e+13
228.19,1.5355e+13
228.57,1.6278e+13
228.94,1.7105e+13
229.32,1.7188e+13
229.69,1.8198e+13
230.07,1.9381e+13
230.44,1.9646e+13
230.82,2.1785e+13
231.19,2.1785e+13
231.57,2.4975e+13
231.94,2.4975e+13
232.32,2.6199e+13
232.69,2.6199e+13
233.07,2.7677e+13
233.44,2.5135e+13
233.82,2.6164e+13
234.19,2.7677e+13
234.57,2.7677e+13
234.94,2.7677e+13
235.31,2.7482e+13
