wavelength,intensity
178.76,-84.26
179.14,-84.26
179.52,-84.26
179.9,-37.45
180.28,-132.24
180.66,-17.56
181.04,28.085
181.42,-149.8
181.8,-24.58
182.18,100.64
182.55,-25.74
182.93,-23.405
183.31,-49.15
183.69,3.515
184.07,-1.165
184.45,38.615
184.83,-39.785
185.21,-78.41
185.59,-63.19
185.97,374.48
186.35,-29.26
186.72,7.015
187.1,11.7
187.48,-120.54
187.86,-18.72
188.24,4.685
188.62,7.025
189,-166.19
189.38,-60.855
189.75,1.175
190.13,-100.64
190.51,-30.425
190.89,63.19
191.27,155.64
191.65,-112.34
192.03,-209.48
192.4,38.615
192.78,-50.325
193.16,-5.855
193.54,-110.01
193.92,-57.34
194.3,-44.47
194.67,58.515
195.05,56.17
195.43,-105.32
195.81,107.66
196.19,-7.02
196.56,175.55
196.94,-83.095
197.32,-21.06
197.7,-56.17
198.08,-73.725
198.45,-88.945
198.83,-58.515
199.21,33.94
199.59,101.81
199.97,2.34
200.34,-143.94
200.72,25.74
201.1,-85.425
201.48,-74.9
201.85,78.41
202.23,-84.26
202.61,-3.515
202.99,285.54
203.36,-45.635
203.74,-79.58
204.12,170.86
204.49,-180.22
204.87,37.45
205.25,12.87
205.63,-28.08
206,-124.05
206.38,-133.41
206.76,-67.88
207.14,-86.6
207.51,9.36
207.89,-64.365
208.27,-65.535
208.64,-23.41
209.02,-118.19
209.4,-83.085
209.77,-1.17
210.15,-272.67
210.53,-129.9
210.9,-52.66
211.28,17.55
211.66,26.92
212.03,-55.005
212.41,-25.74
212.79,-90.115
213.16,-28.095
213.54,-43.305
213.92,-81.92
214.29,7.015
214.67,-85.43
215.05,49.15
215.42,-32.77
215.8,166.18
216.17,-99.475
216.55,-2.335
216.93,-88.945
217.3,-81.915
217.68,-57.34
218.05,-104.15
218.43,-25.755
218.81,95.965
219.18,191.92
219.56,142.77
219.93,-74.895
220.31,121.71
220.69,111.18
221.06,53.835
221.44,38.62
221.81,83.09
222.19,193.09
222.56,142.77
222.94,159.15
223.32,117.02
223.69,95.96
224.07,3.515
224.44,300.76
224.82,306.61
225.19,278.53
