wavelength,intensity
178.76,1830.3
179.14,1830.3
179.52,1830.3
179.9,1776.5
180.28,10056
180.66,5824.4
181.04,7878.2
181.42,6970.1
181.8,6070.2
182.18,10261
182.55,5575.2
182.93,6913.9
183.31,6696.3
183.69,7495.6
184.07,7785.8
184.45,6660
184.83,6956.1
185.21,6297.2
185.59,6422.4
185.97,15228
186.35,11194
186.72,6768.8
187.1,6857.8
187.48,10754
187.86,8608.5
188.24,6445.8
188.62,6052.6
189,10214
189.38,7597.4
189.75,7055.5
190.13,7531.8
190.51,6097.1
190.89,13989
191.27,19584
191.65,6679.9
192.03,7301.3
192.4,9592.7
192.78,7228.7
193.16,8235.2
193.54,11363
193.92,10220
194.3,6495
194.67,9032.1
195.05,7946.1
195.43,6977.1
195.81,6670.5
196.19,10090
196.56,7431.2
196.94,6976
197.32,10830
197.7,6284.3
198.08,8249.2
198.45,6443.5
198.83,7251
199.21,6543
199.59,11620
199.97,7765.9
200.34,5618.5
200.72,6471.6
201.1,13127
201.48,9448.7
201.85,6184.9
202.23,6553.5
202.61,6629.6
202.99,38111
203.36,6613.2
203.74,8517.2
204.12,6862.5
204.49,6204.8
204.87,8348.7
205.25,6821.5
205.63,5530.7
206,6120.5
206.38,7545.9
206.76,9046.2
207.14,6258.6
207.51,5720.3
207.89,10213
208.27,6139.2
208.64,5289.6
209.02,6355.7
209.4,6697.4
209.77,5555.3
210.15,13457
210.53,5609.1
210.9,10531
211.28,5992.9
211.66,11355
212.03,6306.6
212.41,5664.1
212.79,6884.7
213.16,5717.9
213.54,7284.9
213.92,7524.8
214.29,5451.1
214.67,6330
215.05,6612
215.42,8950.2
215.8,6588.6
216.17,6435.3
216.55,7564.6
216.93,5657.1
217.3,8493.8
217.68,6203.6
218.05,6470.4
218.43,6333.5
218.81,6565.2
219.18,10446
219.56,6551.2
219.93,6396.7
220.31,6378
220.69,5791.7
221.06,6047.9
221.44,7350.5
221.81,6114.6
222.19,5667.6
222.56,6050.3
222.94,6738.4
223.32,7445.2
223.69,6258.6
224.07,8495
224.44,12062
224.82,7557.6
225.19,8241
225.57,7385.6
225.94,6695.1
226.32,7256.8
226.69,11913
227.07,8541.8
227.44,6891.7
227.82,7906.3
228.19,7164.4
228.57,8723.2
228.94,11496
229.32,9526
229.69,8953.7
230.07,7054.4
230.44,6444.7
230.82,10817
231.19,9559.9
231.57,6042.1
231.94,6319.4
232.32,9412.5
232.69,7568.1
233.07,7971.9
233.44,8558.2
233.82,7562.3
234.19,7949.6
234.57,10400
234.94,7057.9
235.31,7316.5
235.69,7918
236.06,8124
236.44,9272
236.81,6641.3
237.19,8450.5
237.56,11979
237.93,7186.6
238.31,8321.8
238.68,7720.3
239.06,8386.1
239.43,9541.2
239.81,8959.6
240.18,6842.6
240.55,7241.6
240.93,13376
241.3,8535.9
241.67,8077.2
242.05,9449.9
242.42,10274
242.8,6869.5
243.17,8729
243.54,8579.2
243.92,9974.2
244.29,8085.4
244.66,8497.3
245.04,10779
245.41,16462
245.78,7013.4
246.16,7868.9
246.53,9767.1
246.9,8106.4
247.28,13417
247.65,7943.8
248.02,8085.4
248.4,10676
248.77,8368.6
249.14,9277.9
249.52,7795.2
249.89,9324.7
250.26,7207.7
250.64,8338.2
251.01,15745
251.38,6722
251.75,8400.2
252.13,7612.6
252.5,9762.4
252.87,13744
253.25,6991.2
253.62,8709.1
253.99,6794.6
254.36,9971.9
254.74,7514.3
255.11,7049.7
255.48,6557
255.85,14427
256.23,6705.6
256.6,6436.5
256.97,7603.2
257.34,8932.7
257.71,8456.4
258.09,7348.1
258.46,8541.8
258.83,11909
259.2,10331
259.58,8017.5
259.95,8361.6
260.32,10094
260.69,7073.1
261.06,11309
261.44,7252.1
261.81,13563
262.18,8805.1
262.55,7462.8
262.92,8401.4
263.29,7583.3
263.67,6946.7
264.04,7771.8
264.41,8163.8
264.78,7734.3
265.15,11161
265.52,13382
265.9,8706.8
266.27,7894.6
266.64,7218.2
267.01,7082.5
267.38,9557.6
267.75,7787
268.12,7069.6
268.5,8689.2
268.87,8146.2
269.24,8181.3
269.61,9514.3
269.98,10027
270.35,9809.2
270.72,8252.7
271.09,8874.1
271.46,8821.5
271.83,9983.6
272.21,11324
272.58,8521.9
272.95,8785.2
273.32,9783.4
273.69,9866.5
274.06,8338.2
274.43,9211.2
274.8,9976.5
275.17,10750
275.54,14765
275.91,10261
276.28,10630
276.65,10876
277.02,14171
277.39,9739
277.76,9840.8
278.13,11987
278.5,12422
278.87,14053
279.24,12926
279.61,12197
279.98,13616
280.35,10744
280.72,11789
281.09,11396
281.46,11813
281.83,10749
282.2,12295
282.57,11243
282.94,12725
283.31,11243
283.68,12534
284.05,10592
284.42,10393
284.79,12394
285.16,13345
285.53,12252
285.9,12469
286.27,19305
286.64,10810
287.01,11446
287.38,13711
287.75,59500
288.12,13270
288.49,21100
288.86,11157
289.23,11411
289.59,11514
289.96,11252
290.33,11621
290.7,11971
291.07,13738
291.44,12986
291.81,11264
292.18,12771
292.55,11988
292.91,17569
293.28,13561
293.65,16007
294.02,12997
294.39,10974
294.76,12330
295.13,12564
295.5,12239
295.86,12215
296.23,11485
296.6,11010
296.97,11479
297.34,12152
297.71,13644
298.07,12247
298.44,10257
298.81,13044
299.18,12398
299.55,15287
299.91,11906
300.28,12335
300.65,10260
301.02,12513
301.39,12982
301.75,17741
302.12,12818
302.49,11638
302.86,15017
303.23,11792
303.59,10407
303.96,20990
304.33,14071
304.7,18912
305.06,10873
305.43,14572
305.8,12560
306.17,13416
306.53,10805
306.9,13749
307.27,11446
307.64,14549
308,10671
308.37,10841
308.74,15911
309.11,12779
309.47,10391
309.84,9705
310.21,11254
310.57,11363
310.94,10661
311.31,11154
311.67,11618
312.04,9406.6
312.41,13418
312.77,11772
313.14,9953.1
313.51,10792
313.87,10297
314.24,9960.2
314.61,9992.9
314.97,10135
315.34,10674
315.71,9136.3
316.07,12483
316.44,9262.7
316.81,12019
317.17,9586.8
317.54,18215
317.91,9517.8
318.27,8614.3
318.64,10026
319,11697
319.37,8784
319.74,12232
320.1,12337
320.47,9658.2
320.83,13569
321.2,9904
321.57,9013.4
321.93,9535.3
322.3,10436
322.66,9358.6
323.03,11496
323.4,10926
323.76,9425.3
324.13,9356.3
324.49,8582.7
324.86,20804
325.22,10276
325.59,9877.1
325.95,10789
326.32,12366
326.68,11923
327.05,9900.5
327.42,8944.4
327.78,9136.3
328.15,12020
328.51,9103.5
328.88,11168
329.24,13546
329.61,9723.8
329.97,11196
330.34,9002.9
330.7,9808
331.07,12862
331.43,10986
331.8,15304
332.16,12491
