wavelength,intensity
178.76,-23.4
179.14,-23.4
179.52,-23.4
179.9,-37.445
180.28,-108.83
180.66,-24.58
181.04,-57.34
181.42,-72.555
181.8,-63.2
182.18,-39.795
182.55,39.785
182.93,95.96
183.31,-205.97
183.69,5.845
184.07,145.11
184.45,145.12
184.83,-78.405
185.21,139.26
185.59,-86.605
185.97,65.54
186.35,-134.58
186.72,117.02
187.1,138.09
187.48,90.11
187.86,-22.235
188.24,46.81
188.62,-31.595
189,63.195
189.38,15.22
189.75,-101.81
190.13,-106.49
190.51,38.625
190.89,79.58
191.27,-51.49
191.65,16.385
192.03,101.81
192.4,147.45
192.78,182.56
193.16,18.725
193.54,125.21
193.92,86.6
194.3,31.595
194.67,-25.75
195.05,-58.515
195.43,100.65
195.81,93.625
196.19,19.895
196.56,44.475
196.94,-44.47
197.32,-76.065
197.7,132.24
198.08,-32.765
198.45,8.19
198.83,301.93
199.21,-22.23
199.59,19.89
199.97,-94.79
200.34,-155.65
200.72,198.94
201.1,95.965
201.48,-132.24
201.85,122.88
202.23,-53.83
202.61,-174.37
202.99,417.79
203.36,0
203.74,-8.195
204.12,16.385
204.49,-47.98
204.87,-32.765
205.25,77.235
205.63,-77.235
206,-50.32
206.38,77.24
206.76,14.045
207.14,57.34
207.51,38.62
207.89,142.78
208.27,-118.2
208.64,100.65
209.02,-66.705
209.4,-40.955
209.77,-135.75
210.15,-57.335
210.53,201.29
210.9,269.16
211.28,14.04
211.66,152.14
212.03,-35.105
212.41,106.49
212.79,3.51
213.16,-24.58
213.54,28.08
213.92,47.985
214.29,-94.795
214.67,37.45
215.05,-7.02
215.42,70.22
215.8,94.79
216.17,161.5
216.55,-60.85
216.93,-90.11
217.3,-40.96
217.68,-51.49
218.05,-156.81
218.43,-0.005
218.81,179.06
219.18,-25.75
219.56,-85.425
219.93,35.11
220.31,46.81
220.69,-15.215
221.06,47.98
221.44,141.6
221.81,108.83
222.19,124.04
222.56,102.98
222.94,-14.045
223.32,232.88
223.69,31.595
224.07,-97.14
224.44,-145.11
224.82,84.26
225.19,102.99
225.57,69.04
225.94,215.34
226.32,132.24
226.69,300.76
227.07,111.17
227.44,14.045
227.82,167.35
228.19,204.8
228.57,255.12
228.94,70.21
229.32,270.33
229.69,232.89
230.07,121.7
230.44,275.01
230.82,207.14
231.19,92.45
231.57,155.64
231.94,209.48
232.32,303.1
232.69,50.325
233.07,225.86
233.44,378
233.82,289.05
234.19,177.89
234.57,345.23
234.94,367.46
235.31,242.24
235.69,392.05
236.06,358.1
236.44,198.94
236.81,344.06
237.19,495.02
