wavelength,intensity
178.76,1803
179.14,1803
179.52,1803
179.9,1744.5
180.28,10356
180.66,5959
181.04,8092
181.42,7315
181.8,6145.5
182.18,10583
182.55,5839.6
182.93,7183.9
183.31,6874.9
183.69,7693.3
184.07,7904.8
184.45,6830.5
184.83,7177.6
185.21,6436.5
185.59,6647.9
185.97,15817
186.35,11608
186.72,6882
187.1,7018.5
187.48,11185
187.86,8880.8
188.24,6544.1
188.62,6165.8
189,10639
189.38,7751.1
189.75,7298.6
190.13,7831.4
190.51,6155.6
190.89,14530
191.27,20341
191.65,6907.7
192.03,7577.9
192.4,10049
192.78,7471
193.16,8580.4
193.54,11931
193.92,10602
194.3,6635.4
194.67,9207.7
195.05,8205.1
195.43,7158.1
195.81,6852.3
196.19,10411
196.56,7526.4
196.94,7247.1
197.32,11266
197.7,6361.6
198.08,8417.3
198.45,6590.2
198.83,7516.2
199.21,6689.3
199.59,11920
199.97,7944.6
200.34,5891.9
200.72,6594.1
201.1,13523
201.48,9803.7
201.85,6264.1
202.23,6670.5
202.61,6464.6
202.99,15515
203.36,6426.3
203.74,8780.9
204.12,6924.9
204.49,6320.2
204.87,8634.2
205.25,7081.7
205.63,5651.6
206,6355.3
206.38,7673.1
206.76,9307.5
207.14,6452.9
207.51,5870.1
207.89,10583
208.27,6292.9
208.64,5329.4
209.02,6452.1
209.4,6885.1
209.77,5593.1
210.15,13418
210.53,5813.9
210.9,11176
211.28,6188.4
211.66,11812
212.03,6420.9
212.41,5822.5
212.79,7069.2
213.16,5908.3
213.54,7502.2
213.92,7784.6
214.29,5550.2
214.67,6521.5
215.05,6766.5
215.42,9114
215.8,6653.4
216.17,6562.9
216.55,7787.7
216.93,5826.4
217.3,8714.6
217.68,6266.4
218.05,6563.6
218.43,6462.2
218.81,6630
219.18,10872
219.56,6619.8
219.93,6555.8
220.31,6459.9
220.69,5835.7
221.06,6188.4
221.44,7552.1
221.81,6241.4
222.19,5754.6
222.56,6172.8
222.94,6889
223.32,7602.1
223.69,6374.8
224.07,8886.2
224.44,12313
224.82,7738.6
225.19,8532.8
225.57,7559.2
225.94,6832
226.32,7407
226.69,12127
227.07,8660.8
227.44,6894.4
227.82,7999.2
228.19,7260.3
228.57,8869.1
228.94,11689
229.32,9838.1
229.69,9213.1
230.07,7064.5
230.44,6563.6
230.82,11174
231.19,9659.4
231.57,6009.7
231.94,6341.3
232.32,9511.2
232.69,7275.2
233.07,8053.8
233.44,8684.9
233.82,7620.8
234.19,8080.3
234.57,10607
234.94,7052.8
235.31,7286.1
235.69,7792.4
236.06,8157.5
236.44,9209.2
236.81,6567.5
237.19,8592.9
237.56,12287
237.93,7154.2
238.31,8452.5
238.68,7784.6
239.06,8348.7
239.43,9573.6
239.81,8880.8
240.18,6884.3
240.55,7200.3
240.93,13489
241.3,8630.3
241.67,8088.9
242.05,9488.5
242.42,10343
242.8,6896
243.17,8745
243.54,8554.7
243.92,10085
244.29,8011.7
244.66,8616.3
245.04,11145
245.41,16907
245.78,6921.7
246.16,7772.9
246.53,9717.1
246.9,8076.4
247.28,13675
247.65,7909.4
248.02,7999.9
248.4,10763
248.77,8534.4
249.14,9367.6
249.52,7866.5
249.89,9310.6
250.26,7180.8
250.64,8283.9
251.01,15959
251.38,6754.8
251.75,8178.6
252.13,7704.3
252.5,9851.3
252.87,13948
253.25,6822.7
253.62,8740.3
253.99,6612
254.36,10187
254.74,7453
255.11,6933.4
255.48,6453.6
255.85,14814
256.23,6607.3
256.6,6331.1
256.97,7783.1
257.34,9007.9
257.71,8463.4
258.09,7439.8
258.46,8591.3
258.83,11946
259.2,10505
259.58,7921.2
259.95,8056.1
260.32,10230
260.69,6892.1
261.06,11570
261.44,7159.7
261.81,13955
262.18,8694.3
262.55,7384.4
262.92,8339.3
263.29,7632.5
263.67,6870.3
264.04,7850.2
264.41,8005.4
264.78,7712.8
265.15,11341
265.52,13491
