wavelength,intensity
178.76,1812.4
179.14,1812.4
179.52,1812.4
179.9,1789.7
180.28,10124
180.66,5913.8
181.04,7850.2
181.42,7011.5
181.8,6030
182.18,10277
182.55,5639.9
182.93,6981
183.31,6715.8
183.69,7485.8
184.07,7768.2
184.45,6746.2
184.83,6921.7
185.21,6209.4
185.59,6587
185.97,15079
186.35,11281
186.72,6760.2
187.1,7002.9
187.48,10840
187.86,8630.3
188.24,6470.8
188.62,6012.8
189,10218
189.38,7532.6
189.75,7111.3
190.13,7575.5
190.51,6079.2
190.89,13896
191.27,19664
191.65,6792.2
192.03,7524.8
192.4,9674.2
192.78,7208.9
193.16,8241.8
193.54,11515
193.92,10135
194.3,6428.7
194.67,8947.9
195.05,7969.5
195.43,6990.4
195.81,6681.4
196.19,9984.7
196.56,7400
196.94,7009.1
197.32,10849
197.7,6342.9
198.08,8119.3
198.45,6403.7
198.83,7169.8
199.21,6594.8
199.59,11396
199.97,7708.9
200.34,5691.4
200.72,6505.9
201.1,13205
201.48,9404.3
201.85,6213.3
202.23,6656.5
202.61,6296.8
202.99,14983
203.36,6242.2
203.74,8581.2
204.12,6845.3
204.49,6236.7
204.87,8327.6
205.25,6808.6
205.63,5571.3
206,6188.4
206.38,7486.6
206.76,9122.6
207.14,6345.2
207.51,5686.7
207.89,10217
208.27,6141.6
208.64,5259.2
209.02,6328
209.4,6749.3
209.77,5536.1
210.15,14318
210.53,5721.8
210.9,10721
211.28,6005.8
211.66,11475
212.03,6340.5
212.41,5632.9
212.79,6884.3
213.16,5749.9
213.54,7310.3
213.92,7511.6
214.29,5426.1
214.67,6307
215.05,6582.4
215.42,8819.1
215.8,6519.2
216.17,6397.5
216.55,7458.5
216.93,5597.8
217.3,8500.8
217.68,6130.6
218.05,6374.1
218.43,6197.7
218.81,6495.8
219.18,10440
219.56,6535.6
219.93,6410.7
220.31,6243
220.69,5711.7
221.06,5927
221.44,7179.2
221.81,6005
222.19,5515.1
222.56,5879.4
222.94,6563.6
223.32,7280.6
223.69,6087
224.07,8420.5
224.44,11773
224.82,7306.4
225.19,8062.4
225.57,7220.6
225.94,6441.9
226.32,6934.2
226.69,11368
227.07,8086.6
227.44,6500.4
227.82,7544.3
228.19,6786
228.57,8243.4
228.94,10844
229.32,9038.4
229.69,8359.6
230.07,6562.1
230.44,5939.5
230.82,10246
231.19,8924.5
231.57,5395.7
231.94,5571.3
232.32,8417.3
232.69,6541.8
233.07,7129.3
233.44,7784.6
233.82,6670.5
234.19,7083.2
234.57,9495.6
234.94,6173.6
235.31,6515.3
235.69,6867.9
236.06,7057.5
236.44,8168.5
236.81,5661.8
237.19,7453.8
237.56,11025
237.93,6216.5
238.31,7270.5
238.68,6568.3
239.06,7258
239.43,8297.2
239.81,7761.2
240.18,5713.2
240.55,6003.5
240.93,11955
241.3,7464.8
241.67,6740.7
242.05,8287.1
242.42,9128.1
242.8,5667.2
243.17,7435.1
243.54,7412.5
243.92,8673.2
244.29,6871.8
244.66,7271.3
245.04,9551.7
245.41,14951
245.78,5795.9
246.16,6528.5
246.53,8383.8
246.9,6825
247.28,12094
247.65,6696.3
248.02,6806.3
248.4,9359.8
248.77,7165.9
249.14,8044.4
249.52,6692.4
249.89,8051.4
250.26,6025.3
250.64,7187.8
251.01,15032
251.38,5654
251.75,7038.8
252.13,6492.6
252.5,8521.9
252.87,12459
253.25,5755.4
253.62,7466.3
253.99,5520.5
254.36,8889.4
254.74,6199.3
255.11,5902.8
255.48,5371.5
255.85,13148
256.23,5616.5
256.6,5230.3
256.97,6655.7
257.34,7742.5
257.71,7179.2
258.09,6175.9
258.46,7407.8
258.83,10470
259.2,9170.2
259.58,6724.4
259.95,6697.1
260.32,8901.8
260.69,5781.9
261.06,10229
261.44,6066.7
261.81,12322
262.18,7540.4
262.55,6138.4
262.92,7020.8
263.29,6228.2
263.67,5617.3
264.04,6382.6
264.41,6609.7
264.78,6211.8
265.15,9697.6
265.52,11659
265.9,7181.5
266.27,6183.7
266.64,5562.7
267.01,5368.4
267.38,7560.7
267.75,5869.3
268.12,5117.2
268.5,6697.8
268.87,6111.1
269.24,6072.9
269.61,7293.9
269.98,7847
270.35,7443.7
270.72,5853.7
271.09,6608.1
271.46,6324.9
271.83,7404.7
272.21,8638.9
272.58,5785.8
272.95,6061.2
273.32,6992
273.69,6945.9
274.06,5430
274.43,5942.6
274.8,6722.8
275.17,7336
275.54,14465
275.91,7045
276.28,6936.6
276.65,7184.7
277.02,10424
277.39,5910.6
277.76,5948.9
278.13,7918.8
278.5,8257.4
278.87,9754.6
279.24,8553.1
279.61,7894.6
279.98,9224
280.35,6113.5
280.72,7152.7
281.09,6747.8
281.46,6996.6
281.83,5820.1
282.2,7433.5
282.57,6250.8
282.94,7635.6
283.31,6244.6
283.68,7358.6
284.05,5395.7
284.42,5170.2
284.79,7207.3
285.16,7973.4
285.53,6821.9
285.9,6839.8
286.27,13586
286.64,5341.9
287.01,6001.9
287.38,8009.3
287.75,56525
288.12,8105.3
288.49,15398
288.86,5737.4
289.23,5836.5
289.59,5898.9
289.96,5671.1
290.33,6041.7
290.7,6259.4
291.07,7962.5
291.44,7353.2
291.81,5632.1
292.18,6921.7
292.55,6321
292.91,11783
293.28,7832.2
293.65,10099
294.02,7439.8
294.39,5368.4
294.76,6548.8
295.13,6991.2
295.5,6610.5
295.86,6537.9
296.23,6087.7
296.6,5585.3
296.97,6145.5
297.34,6577.7
297.71,8394.7
298.07,6918.6
298.44,5153.9
298.81,7442.1
299.18,7045
299.55,9852.1
299.91,6610.4
300.28,7048.9
300.65,5264.6
301.02,7159.7
301.39,7770.6
301.75,12421
302.12,7773.7
302.49,6610.4
302.86,9859.1
303.23,6915.5
303.59,5652.4
303.96,15843
304.33,9002.5
304.7,13751
305.06,6235.2
305.43,9517.4
305.8,7751.9
306.17,8571
306.53,6008.9
306.9,8733.3
307.27,6853.9
307.64,9866.9
308,6134.5
308.37,6090.1
308.74,11265
309.11,8340.9
309.47,5999.6
309.84,5400.4
310.21,6835.9
310.57,7148
310.94,6256.3
311.31,6899.1
311.67,7312.6
312.04,5323.2
312.41,9079.7
312.77,7616.9
313.14,5902.8
313.51,6602.7
313.87,6224.3
314.24,6075.3
314.61,6040.1
314.97,6204.8
315.34,6792.2
315.71,5325.5
316.07,8503.9
316.44,5558
316.81,8189.5
317.17,5987.9
317.54,14292
317.91,6122.8
318.27,5153.9
318.64,6462.2
319,8259
319.37,5263.1
319.74,8750.5
320.1,9015
320.47,6319.4
320.83,10282
321.2,6630
321.57,5673.5
321.93,6252.4
322.3,7079.3
322.66,5974.6
323.03,8173.2
323.4,7471
323.76,6112.7
324.13,6101
324.49,5291.9
324.86,17346
325.22,7016.9
325.59,6614.4
325.95,7382.1
326.32,8794.2
326.68,8440.8
327.05,6596.4
327.42,5844.3
327.78,6154.1
328.15,8816
328.51,6030
328.88,7928.2
329.24,10340
329.61,6838.3
329.97,8085.8
330.34,6081.5
330.7,6867.9
331.07,9943.4
331.43,8064.7
331.8,12381
332.16,9631.3
332.52,5895
332.89,7764.3
333.25,5276.3
333.62,11601
333.98,6518.4
334.35,6571.4
334.71,6954.5
335.08,5681.3
335.44,11077
335.81,11116
336.17,9421.4
336.53,6830.5
336.9,5652.4
337.26,7938.3
337.63,8754.4
337.99,7236.2
338.36,5659.4
338.72,8286.3
339.08,7066.9
339.45,5618.1
339.81,8905
340.18,6365.5
340.54,9819.3
340.9,6048.7
341.27,6563.6
341.63,7852.5
341.99,5141.4
342.36,9637.5
342.72,5625.9
343.09,9760
343.45,6062
343.81,10021
344.18,5380.9
344.54,6656.5
344.9,7382
345.27,6924.9
345.63,6696.3
345.99,8334.6
346.36,6840.6
346.72,5719.5
347.08,5745.2
347.45,5275.6
347.81,9203
348.17,7118.3
348.54,5533
348.9,8461.8
