wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,0
203.36,0
203.74,-0
204.12,-0
204.49,0
204.87,0
205.25,0
205.63,-0
206,-0
206.38,0
206.76,0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,-0
209.02,-0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,-3.6699e+11
211.66,-8.3371e+11
212.03,-2.1147e+12
212.41,-2.3526e+12
212.79,-3.626e+12
213.16,-3.626e+12
213.54,-3.626e+12
213.92,-2.3526e+12
214.29,-1.1713e+12
214.67,-1.1713e+12
215.05,-1.1713e+12
215.42,-1.7963e+11
215.8,-1.7963e+11
216.17,1.6355e+11
216.55,1.2436e+12
216.93,1.4859e+12
217.3,1.7757e+12
217.68,1.7757e+12
218.05,1.1712e+12
218.43,-1.9866e+11
218.81,-1.9866e+11
219.18,-1.9866e+11
219.56,-1.9866e+11
219.93,-2.8385e+10
220.31,-5.7256e+11
220.69,-5.7256e+11
221.06,-7.5606e+11
221.44,-7.5606e+11
221.81,-5.6587e+11
222.19,-1.9112e+11
222.56,-1.9112e+11
222.94,-5.6587e+11
223.32,-5.6587e+11
223.69,-7.5606e+11
224.07,-8.0892e+11
224.44,-8.0892e+11
224.82,-8.2576e+11
225.19,-8.2576e+11
225.57,-8.2576e+11
225.94,-1.4574e+12
226.32,-1.3272e+12
226.69,-1.3272e+12
227.07,-1.1208e+12
227.44,-1.5795e+12
227.82,-1.0781e+12
228.19,-1.0781e+12
228.57,-1.5795e+12
228.94,-1.5795e+12
229.32,-1.5795e+12
229.69,-1.1856e+12
230.07,-2.0414e+11
230.44,7.3039e+11
230.82,8.8466e+11
231.19,8.8466e+11
231.57,8.8466e+11
231.94,7.3039e+11
232.32,8.8466e+11
232.69,8.8466e+11
233.07,8.8466e+11
233.44,8.8466e+11
233.82,5.7176e+11
234.19,-1.8635e+11
234.57,-1.8635e+11
234.94,-1.3716e+11
