wavelength,intensity
178.76,-7.022
179.14,-7.022
179.52,-7.022
179.9,15.446
180.28,144.64
180.66,53.832
181.04,44.468
181.42,29.49
181.8,100.17
182.18,57.114
182.55,36.98
182.93,39.32
183.31,120.3
183.69,-14.98
184.07,15.446
184.45,54.772
184.83,84.258
185.21,92.686
185.59,-10.768
185.97,186.31
186.35,49.62
186.72,51.024
187.1,137.16
187.48,61.322
187.86,52.896
188.24,66.47
188.62,88.002
189,87.536
189.38,98.302
189.75,133.88
190.13,64.13
190.51,15.45
190.89,311.76
191.27,293.97
191.65,27.616
192.03,133.41
192.4,264.48
192.78,17.79
193.16,112.35
193.54,157.75
193.92,73.956
194.3,109.54
194.67,198.48
195.05,81.452
195.43,156.81
195.81,124.99
196.19,199.41
196.56,72.56
196.94,30.43
197.32,47.746
197.7,-42.13
198.08,48.684
198.45,52.428
198.83,56.64
199.21,44.938
199.59,149.33
199.97,24.338
200.34,63.196
200.72,59.446
201.1,220.48
201.48,53.832
201.85,52.43
202.23,60.854
202.61,157.28
202.99,581.86
203.36,30.894
203.74,66.938
204.12,-2.342
204.49,47.744
204.87,70.216
205.25,146.05
205.63,18.724
206,103.45
206.38,7.024
206.76,28.088
207.14,56.644
207.51,69.284
207.89,87.54
208.27,52.896
208.64,62.256
209.02,105.8
209.4,27.62
209.77,18.72
210.15,1057.5
210.53,38.854
210.9,87.536
211.28,37.916
211.66,-26.212
212.03,64.132
212.41,86.134
212.79,21.532
213.16,96.9
213.54,128.73
213.92,125.45
214.29,41.662
214.67,99.708
215.05,10.3
215.42,120.77
215.8,152.14
216.17,66.006
216.55,115.15
216.93,91.282
217.3,92.22
217.68,58.978
218.05,57.578
218.43,0.468
218.81,23.408
219.18,49.15
219.56,125.45
219.93,125.92
220.31,88.94
220.69,86.6
221.06,85.192
221.44,6.556
221.81,-42.6
222.19,77.708
222.56,12.17
222.94,88
223.32,115.15
223.69,32.3
224.07,114.22
224.44,178.35
224.82,93.62
225.19,118.9
225.57,151.67
225.94,133.88
226.32,101.11
226.69,167.58
227.07,144.18
227.44,89.876
227.82,63.194
228.19,66.942
228.57,144.64
228.94,162.43
229.32,61.322
229.69,86.132
230.07,70.216
230.44,-17.788
230.82,216.26
231.19,143.71
231.57,86.13
231.94,0.468
232.32,81.45
232.69,202.69
233.07,57.576
233.44,160.09
233.82,126.86
234.19,102.98
234.57,89.874
234.94,-22.472
235.31,-14.98
235.69,42.13
236.06,145.58
236.44,35.108
236.81,53.834
237.19,119.84
237.56,71.15
237.93,139.96
238.31,51.958
238.68,135.28
239.06,132.01
239.43,134.35
239.81,-27.148
240.18,37.918
240.55,22.938
240.93,198.95
241.3,-3.746
241.67,89.874
242.05,178.82
242.42,124.05
242.8,33.702
243.17,220.48
243.54,57.108
243.92,121.7
244.29,150.27
244.66,43.532
245.04,94.09
245.41,168.99
245.78,55.704
246.16,75.832
246.53,24.806
246.9,111.88
247.28,186.77
247.65,84.26
248.02,7.022
248.4,319.72
248.77,63.662
249.14,83.792
249.52,131.53
249.89,157.75
250.26,50.088
250.64,133.41
251.01,212.52
251.38,4.216
251.75,101.58
252.13,30.892
252.5,111.41
252.87,210.18
253.25,-13.576
253.62,162.9
253.99,92.684
254.36,96.896
254.74,140.43
255.11,61.79
255.48,76.302
255.85,166.18
256.23,-4.678
256.6,180.69
256.97,79.576
257.34,95.492
257.71,161.97
258.09,189.59
258.46,41.192
258.83,101.11
259.2,133.41
259.58,24.34
259.95,50.554
260.32,110.47
260.69,131.54
261.06,192.86
261.44,121.24
261.81,86.132
262.18,80.048
262.55,110.47
262.92,40.256
263.29,165.71
