wavelength,intensity
178.76,1731.1
179.14,1731.1
179.52,1731.1
179.9,1691.7
180.28,10809
180.66,6063.4
181.04,8190.5
181.42,7339
181.8,6218.8
182.18,10853
182.55,5864.9
182.93,7311.8
183.31,6992.6
183.69,7828.6
184.07,8173.1
184.45,6962.6
184.83,7242.6
185.21,6598
185.59,6743.6
185.97,16154
186.35,11833
186.72,7095.6
187.1,7161.1
187.48,11475
187.86,8931.5
188.24,6730
188.62,6210.8
189,10957
189.38,7903.5
189.75,7396.1
190.13,7988.2
190.51,6303.5
190.89,14932
191.27,20863
191.65,6963.1
192.03,7763.1
192.4,10186
192.78,7608.1
193.16,8674.5
193.54,12191
193.92,10819
194.3,6670.5
194.67,9470.7
195.05,8314
195.43,7339
195.81,6959.8
196.19,10611
196.56,7732.2
196.94,7312.8
197.32,11635
197.7,6465.5
198.08,8532.2
198.45,6706.1
198.83,7590.4
199.21,6789.9
199.59,12194
199.97,8154.4
200.34,5938.9
200.72,6643.4
201.1,13951
201.48,9921.1
201.85,6363.4
202.23,6863.9
202.61,6871.8
202.99,40277
203.36,6759.9
203.74,8968.5
204.12,7116.6
204.49,6424.8
204.87,8881.4
205.25,7155
205.63,5790
206,6454.7
206.38,7870.8
206.76,9541.9
207.14,6532
207.51,5874.3
207.89,10855
208.27,6352.2
208.64,5410.9
209.02,6664.4
209.4,6888.7
209.77,5693.1
210.15,14435
210.53,5862.1
210.9,11187
211.28,6165.9
211.66,11994
212.03,6532
212.41,5897.7
212.79,7097
213.16,5937.9
213.54,7731.7
213.92,7875
214.29,5556
214.67,6532
215.05,6834.4
215.42,9221.7
215.8,6745.4
216.17,6692.1
216.55,7874
216.93,5882.7
217.3,8945.1
217.68,6303.1
218.05,6687.4
218.43,6475.3
218.81,6794.1
219.18,11099
219.56,6731.4
219.93,6588.6
220.31,6505.8
220.69,5876.6
221.06,6166.4
221.44,7474.7
221.81,6177.6
222.19,5676.7
222.56,6090.5
222.94,6789.4
223.32,7566.5
223.69,6299.8
224.07,8850.5
224.44,12345
224.82,7584.3
225.19,8442.8
225.57,7489.7
225.94,6756.2
226.32,7214.5
226.69,12176
227.07,8587.9
227.44,6665.4
227.82,7870.8
228.19,6993.5
228.57,8654.8
228.94,11509
229.32,9561.1
229.69,8865.5
230.07,6783.8
230.44,6179.5
230.82,10826
231.19,9356.5
231.57,5630.4
231.94,5737.1
232.32,9027.9
232.69,7115.2
233.07,7510.8
233.44,8145.1
233.82,6996.3
234.19,7450.4
234.57,10015
234.94,6374.7
235.31,6751
235.69,7157.4
236.06,7401.7
236.44,8597.7
236.81,5882.7
237.19,7906.3
237.56,11548
237.93,6373.3
238.31,7655.4
238.68,6962.2
239.06,7573
239.43,8712.9
239.81,8069.2
240.18,5871.5
240.55,6231
240.93,12757
241.3,7729.4
241.67,7096
242.05,8548.1
242.42,9495.1
242.8,5840.1
243.17,7790.7
243.54,7728
243.92,9129
244.29,7153.1
244.66,7600.2
245.04,10053
245.41,16012
245.78,5920.6
246.16,6759.9
246.53,8791.5
246.9,7089.9
247.28,12738
247.65,6975.7
248.02,7055.3
248.4,9941.7
248.77,7487.4
249.14,8335.1
249.52,6885.9
249.89,8392.7
250.26,6173.9
250.64,7482.7
251.01,15315
251.38,5776.9
251.75,7367.1
252.13,6730
252.5,8778.4
252.87,13283
253.25,5923
253.62,7896.5
253.99,5771.3
254.36,9307.8
254.74,6573.6
255.11,6100.8
255.48,5593.9
255.85,14012
256.23,5665.5
256.6,5408
256.97,6858.7
257.34,8160.5
257.71,7567.9
258.09,6451
258.46,7695.7
258.83,11289
259.2,9696.4
259.58,7011.8
259.95,7375.5
260.32,9365
260.69,5976.3
261.06,10703
261.44,6217.9
261.81,12941
262.18,7791.2
262.55,6393.4
262.92,7255.2
263.29,6504.4
263.67,5711.4
264.04,6605
264.41,6866.7
264.78,6481.4
265.15,10186
265.52,12279
265.9,7376
266.27,6417.7
266.64,5730.6
267.01,5477.8
267.38,7978.4
267.75,6163.1
268.12,5309.7
268.5,6958.4
268.87,6319.9
269.24,6238
269.61,7651.7
269.98,8199.8
270.35,7970.9
270.72,6116.3
271.09,6934.1
271.46,6596.6
271.83,7853.9
272.21,9149.6
272.58,5971.6
272.95,6385
273.32,7284.7
273.69,7283.3
274.06,5588.3
274.43,6188.4
