wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,0
202.99,0
203.36,0
203.74,-0
204.12,-0
204.49,0
204.87,0
205.25,-0
205.63,0
206,-0
206.38,0
206.76,0
207.14,-0
207.51,0
207.89,-0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,-0
210.15,0
210.53,0
210.9,-1.61e+12
211.28,-4.6346e+12
211.66,-6.1466e+12
212.03,-6.9335e+12
212.41,-7.6362e+12
212.79,-7.6362e+12
213.16,-7.6362e+12
213.54,-8.1092e+12
213.92,-7.6362e+12
214.29,-6.9469e+12
214.67,-6.1129e+12
215.05,-5.7885e+12
215.42,-5.7885e+12
215.8,-5.5241e+12
216.17,-3.7681e+12
216.55,-3.6382e+12
216.93,-5.5241e+12
217.3,-5.5241e+12
217.68,-5.7441e+12
218.05,-5.9372e+12
218.43,-5.7441e+12
218.81,-6.3125e+12
219.18,-5.6728e+12
219.56,-5.4371e+12
219.93,-5.4371e+12
220.31,-5.4371e+12
220.69,-4.0242e+12
221.06,-4.0242e+12
221.44,-3.4862e+11
221.81,-3.4862e+11
222.19,1.6623e+12
222.56,1.6623e+12
222.94,1.0523e+11
223.32,1.0523e+11
223.69,-2.1648e+12
224.07,-4.2123e+12
224.44,-4.2123e+12
224.82,-2.9199e+12
225.19,-4.2123e+12
225.57,-4.2123e+12
225.94,-4.2123e+12
226.32,-3.8504e+12
226.69,-4.7543e+12
227.07,-4.7543e+12
227.44,-4.7543e+12
227.82,-4.7543e+12
228.19,-4.7543e+12
228.57,-6.8764e+12
228.94,-6.2375e+12
229.32,-4.8402e+12
229.69,-5.5486e+12
230.07,-5.5486e+12
230.44,-4.7641e+12
230.82,-3.9152e+12
231.19,-3.9152e+12
231.57,-3.9152e+12
231.94,-4.232e+12
232.32,-4.232e+12
232.69,-4.5722e+12
233.07,-4.5722e+12
233.44,-4.3001e+12
233.82,-4.5722e+12
234.19,-4.5722e+12
