wavelength,intensity
178.76,1724
179.14,1724
179.52,1724
179.9,1720.8
180.28,10630
180.66,6074.2
181.04,8305.6
181.42,7361.9
181.8,6222.5
182.18,10830
182.55,5845.3
182.93,7292.6
183.31,7041.7
183.69,7841.7
184.07,8074.4
184.45,7003.4
184.83,7281.4
185.21,6524
185.59,6717.8
185.97,16135
186.35,11924
186.72,7005.7
187.1,7204.2
187.48,11515
187.86,8981.6
188.24,6615.3
188.62,6252.5
189,10788
189.38,7899.8
189.75,7440.1
190.13,7886.7
190.51,6313.4
190.89,14839
191.27,20769
191.65,6952.8
192.03,7794
192.4,10237
192.78,7568.8
193.16,8674
193.54,12185
193.92,10832
194.3,6679.9
194.67,9520.4
195.05,8377.2
195.43,7298.3
195.81,6897.1
196.19,10705
196.56,7711.1
196.94,7273.9
197.32,11607
197.7,6554
198.08,8514.9
198.45,6655.1
198.83,7581.5
199.21,6796
199.59,12192
199.97,8133.4
200.34,5902.8
200.72,6592.4
201.1,13924
201.48,9967.4
201.85,6347.1
202.23,6855.4
202.61,6915.3
202.99,40384
203.36,6752.9
203.74,8935.2
204.12,7051.1
204.49,6539
204.87,8799
205.25,7074
205.63,5805
206,6387.3
206.38,7763.1
206.76,9572.8
207.14,6522.6
207.51,5947.3
207.89,10796
208.27,6354.1
208.64,5413.7
209.02,6589.1
209.4,6985.6
209.77,5693.1
210.15,14639
210.53,5849.9
210.9,11164
211.28,6201.5
211.66,11879
212.03,6499.2
212.41,5864.4
212.79,7060
213.16,5909.4
213.54,7644.2
213.92,7797.3
214.29,5545.7
214.67,6523.1
215.05,6754.8
215.42,9288.2
215.8,6828.7
216.17,6659.8
216.55,7843.1
216.93,5821.8
217.3,8913.2
217.68,6367.2
218.05,6698.6
218.43,6438.3
218.81,6729
219.18,11050
219.56,6686.4
219.93,6555.4
220.31,6409.3
220.69,5893
221.06,6144.8
221.44,7522
221.81,6211.3
222.19,5725
222.56,6027.3
222.94,6902.7
223.32,7525.3
223.69,6307.3
224.07,8811.6
224.44,12339
224.82,7523.4
225.19,8412.8
225.57,7419
225.94,6748.2
226.32,7194.8
226.69,12128
227.07,8509.3
227.44,6715
227.82,7831.9
228.19,6914.9
228.57,8573.4
228.94,11536
229.32,9476.4
229.69,8868.8
230.07,6680.4
230.44,6138.8
230.82,10769
231.19,9298.5
231.57,5600
231.94,5838.7
232.32,8986.3
232.69,7097.9
233.07,7461.2
233.44,8092.2
233.82,6888.7
234.19,7389.1
234.57,9923.4
234.94,6326
235.31,6671
235.69,7179.8
236.06,7484.1
236.44,8569.6
236.81,5880.8
237.19,7878.2
237.56,11550
237.93,6385
238.31,7690.1
238.68,6973.4
239.06,7550.1
239.43,8735.8
239.81,8156.3
240.18,5989
240.55,6144.4
240.93,12795
241.3,7721.4
241.67,7127.9
242.05,8549.5
242.42,9494.6
242.8,5835.9
243.17,7731.7
243.54,7704.6
243.92,9169.3
244.29,7039.9
244.66,7516.4
245.04,10066
245.41,16007
245.78,5944.5
246.16,6789.4
246.53,8860.8
246.9,7074.5
247.28,12779
247.65,6970.6
248.02,7072.2
248.4,9852.7
248.77,7493.9
249.14,8299.5
249.52,6889.6
249.89,8405.3
250.26,6188.4
250.64,7365.7
251.01,15100
251.38,5725.9
251.75,7352.6
252.13,6666.8
252.5,8906.7
252.87,13271
253.25,5932.3
253.62,7937.7
253.99,5764.7
254.36,9151
254.74,6573.6
255.11,6017.5
255.48,5553.2
255.85,14060
256.23,5687.5
256.6,5381.8
256.97,6795.5
257.34,8166.1
257.71,7556.7
258.09,6386.9
258.46,7662.4
258.83,11201
259.2,9552.2
259.58,6969.6
259.95,7272
260.32,9352.8
260.69,5921.6
261.06,10724
261.44,6213.7
261.81,12989
262.18,7868.4
262.55,6347.1
262.92,7322.6
263.29,6463.2
263.67,5773.2
264.04,6632.6
264.41,6826.9
264.78,6529.6
265.15,10231
265.52,12253
265.9,7346
266.27,6405.6
266.64,5781.6
267.01,5451.6
267.38,8000.4
267.75,6115.8
268.12,5300.8
268.5,6929.4
268.87,6324.1
269.24,6249.7
269.61,7674.6
269.98,8189.1
270.35,7910.5
270.72,6095.7
271.09,6837.6
271.46,6630.7
271.83,7840.3
272.21,9159.5
272.58,6003
272.95,6412.6
273.32,7331
273.69,7200.9
274.06,5551.3
274.43,6206.2
274.8,7081.5
275.17,7812.7
275.54,16299
275.91,7359.1
276.28,7227.1
276.65,7576.3
277.02,11063
277.39,6195.9
277.76,6217.9
278.13,8379.6
278.5,8674.5
278.87,10349
279.24,9063.5
279.61,8318.7
279.98,9764.7
280.35,6365.8
280.72,7527.2
281.09,7035.2
281.46,7307.6
281.83,6161.2
282.2,7816.9
282.57,6516.1
282.94,8028
283.31,6517
283.68,7736.4
284.05,5682.8
284.42,5295.2
284.79,7671.3
285.16,8448.4
285.53,7160.2
285.9,7240.2
286.27,14595
286.64,5534
287.01,6258.6
287.38,8422.2
287.75,58496
288.12,8486.3
288.49,16427
288.86,6010.5
289.23,6060.1
289.59,6227.2
289.96,5937
290.33,6286.2
290.7,6590.9
291.07,8319.7
291.44,7864.2
291.81,5923.4
292.18,7305.7
292.55,6673.8
292.91,12551
293.28,8291.6
293.65,10800
294.02,7726.6
294.39,5648.6
294.76,7049.2
295.13,7337.1
295.5,7015.5
295.86,6965.4
296.23,6475.8
296.6,5846.2
296.97,6491.7
297.34,7101.2
297.71,8837.9
298.07,7271.6
298.44,5370.1
298.81,7860.5
299.18,7436.8
299.55,10499
299.91,6978.1
300.28,7373.2
300.65,5488.1
301.02,7523
301.39,8144.6
301.75,13163
302.12,8174.6
302.49,6983.7
302.86,10429
303.23,7342.3
303.59,5866.8
303.96,16930
304.33,9577.9
304.7,14662
305.06,6594.2
305.43,10098
305.8,8170.3
306.17,8900.1
306.53,6317.1
306.9,9363.5
307.27,7284.7
307.64,10554
308,6434.6
308.37,6357.4
308.74,11977
309.11,8858
309.47,6282.5
309.84,5610.7
310.21,7119.4
310.57,7449
310.94,6659.8
311.31,7187.8
311.67,7753.3
312.04,5525.5
312.41,9649.1
312.77,8033.2
313.14,6257.7
313.51,6926.6
313.87,6423.4
314.24,6383.6
314.61,6330.2
314.97,6604.1
315.34,7272.5
315.71,5609.3
316.07,8964.3
316.44,5775.5
316.81,8688.5
317.17,6149.1
317.54,15431
317.91,6428
318.27,5422.1
318.64,6795.5
319,8741.4
319.37,5519.5
319.74,9213.8
320.1,9509.1
320.47,6577.4
320.83,10791
321.2,6974.3
321.57,5904.2
321.93,6404.6
322.3,7460.7
322.66,6188.8
323.03,8601.5
323.4,7872.6
323.76,6358.3
324.13,6431.3
324.49,5439.9
324.86,18499
325.22,7493
325.59,6925.2
325.95,7759.3
326.32,9364
326.68,9020
327.05,6994.9
327.42,6054
327.78,6420.1
328.15,9345.8
328.51,6325.5
328.88,8403
329.24,11045
329.61,7127.9
329.97,8528.9
330.34,6289.5
330.7,7191.5
331.07,10577
331.43,8374
331.8,13050
332.16,10128
332.52,6065.7
332.89,8144.6
333.25,5451.1
333.62,12272
333.98,7342.7
334.35,6900.8
334.71,7271.6
335.08,5869.1
335.44,11824
335.81,11781
336.17,9988.9
336.53,7048.3
336.9,5947.3
337.26,8341.7
337.63,9329.8
337.99,7585.2
338.36,5885.5
338.72,8708.2
339.08,7373.2
339.45,5864.4
339.81,9403.8
340.18,6683.6
340.54,10436
340.9,6329.3
341.27,6807.7
341.63,8233.5
341.99,5274.6
342.36,10276
342.72,5803.1
343.09,10392
343.45,6263.7
343.81,10543
344.18,5621
344.54,6943.9
