wavelength,intensity
178.76,1763.6
179.14,1763.6
179.52,1763.6
179.9,1792.8
180.28,10262
180.66,5915.7
181.04,7992.9
181.42,7275.6
181.8,6160.3
182.18,10383
182.55,5726.1
182.93,7013.4
183.31,6818
183.69,7687.5
184.07,7829.1
184.45,6850.7
184.83,7157.4
185.21,6401.4
185.59,6616.7
185.97,15320
186.35,11407
186.72,6774.7
187.1,6953.7
187.48,11075
187.86,8768.8
188.24,6496.2
188.62,6113.5
189,10440
189.38,7583.3
189.75,7197.1
190.13,7734.3
190.51,6202.4
190.89,14127
191.27,19804
191.65,6843.7
192.03,7557.6
192.4,9782.3
192.78,7454.6
193.16,8480.9
193.54,11719
193.92,10277
194.3,6479.8
194.67,9136.3
195.05,8052.6
195.43,7018.1
195.81,6851.9
196.19,10146
196.56,7458.1
196.94,7211.2
197.32,11223
197.7,6423.6
198.08,8285.5
198.45,6499.7
198.83,7314.2
199.21,6520.7
199.59,11726
199.97,7866.5
200.34,5725
200.72,6506.7
201.1,13247
201.48,9548.2
201.85,6189.5
202.23,6612
202.61,6658.8
202.99,39149
203.36,6603.8
203.74,8809.8
204.12,6956.1
204.49,6348.7
204.87,8528.9
205.25,6847.2
205.63,5619.6
206,6216.5
206.38,7733.1
206.76,9233.4
207.14,6348.7
207.51,5844.3
207.89,10401
208.27,6275
208.64,5263.9
209.02,6452.9
209.4,6806.3
209.77,5644.2
210.15,15107
210.53,5729.6
210.9,10740
211.28,6195.4
211.66,11519
212.03,6417.7
212.41,5693.4
212.79,7056.7
213.16,5825.6
213.54,7423
213.92,7724.9
214.29,5540
214.67,6500.8
215.05,6658.8
215.42,9115.2
215.8,6544.1
216.17,6511.4
216.55,7460.5
216.93,5727.3
217.3,8692.8
217.68,6165
218.05,6472.8
218.43,6294.9
218.81,6701
219.18,10687
219.56,6559.4
219.93,6348.7
220.31,6327.6
220.69,5716.8
221.06,6016.3
221.44,7442.9
221.81,6038.6
222.19,5550.6
222.56,5947.3
222.94,6598
223.32,7341.1
223.69,6133.4
224.07,8546.5
224.44,12016
224.82,7428.9
225.19,8196.6
225.57,7286.1
225.94,6489.1
226.32,7128.1
226.69,11659
227.07,8266.8
227.44,6507.9
227.82,7571.6
228.19,6791.1
228.57,8333.5
228.94,11050
229.32,9207.7
229.69,8558.2
230.07,6533.6
230.44,5905.2
230.82,10317
231.19,8959.6
231.57,5563.5
231.94,5581
232.32,8757.1
232.69,6557
233.07,7259.2
233.44,7909.8
233.82,6750.1
234.19,7189
234.57,9674.6
234.94,6306.6
235.31,6461
235.69,6885.9
236.06,7284.9
236.44,8349.9
236.81,5717.9
237.19,7609.1
237.56,11238
237.93,6223.5
238.31,7394.9
238.68,6754.8
239.06,7371.5
239.43,8488
239.81,7669.9
240.18,5780
240.55,5992.9
240.93,12205
241.3,7494.4
241.67,7012.2
242.05,8312.4
242.42,9074.3
242.8,5795.2
243.17,7504.9
243.54,7464
243.92,8923.3
244.29,6850.8
244.66,7403.1
245.04,9699.2
245.41,15151
245.78,5732
246.16,6555.8
246.53,8408.4
246.9,6798.1
247.28,12221
247.65,6759.5
248.02,6881.2
248.4,9551.7
248.77,7222.9
249.14,8122.8
249.52,6615.5
249.89,8193
250.26,6080.7
250.64,7204.2
251.01,14575
251.38,5645.4
251.75,7183.1
252.13,6470.4
252.5,8665.8
252.87,12786
253.25,5808
253.62,7521.3
253.99,5624.3
254.36,9006.4
254.74,6251.6
255.11,5974.2
255.48,5358.7
255.85,13429
256.23,5574
256.6,5251
256.97,6583.9
257.34,7834.9
257.71,7322.4
258.09,6367.4
258.46,7399.6
258.83,10700
259.2,9251
259.58,6771.2
259.95,7068.4
260.32,9031
260.69,5747.2
261.06,10202
261.44,6087.7
261.81,12606
262.18,7482.7
262.55,6133.4
262.92,7055.5
263.29,6355.7
263.67,5496.8
264.04,6400.2
264.41,6661.2
264.78,6265.6
265.15,9751.8
265.52,11874
265.9,7124.6
266.27,6145.1
266.64,5624.3
267.01,5331.7
267.38,7733.1
267.75,5794
268.12,5105.9
268.5,6644.8
268.87,6084.2
269.24,6071.4
269.61,7334.1
269.98,7940.3
270.35,7674.6
270.72,5943.8
271.09,6697.4
271.46,6367.4
271.83,7578.7
272.21,8800.4
272.58,5824.4
272.95,6133.4
273.32,7047.4
273.69,6942
274.06,5458.1
274.43,5987.1
274.8,6841.4
275.17,7501.4
275.54,12259
275.91,6983
276.28,6990
276.65,7339.9
277.02,10689
277.39,5964.9
277.76,5943.8
278.13,8074.8
278.5,8280.8
278.87,9849
279.24,8755.9
279.61,7954.3
279.98,9318.8
280.35,6159.1
280.72,7148
281.09,6835.5
281.46,7101.2
281.83,5948.5
282.2,7497.9
282.57,6380.3
282.94,7630.1
283.31,6370.9
283.68,7439.4
284.05,5541.2
