wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,0
206,0
206.38,0
206.76,-0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,-0
209.4,0
209.77,0
210.15,0
210.53,-0
210.9,2.0989e+11
211.28,2.0989e+11
211.66,2.0989e+11
212.03,-4.379e+11
212.41,-4.379e+11
212.79,-3.2537e+12
213.16,-3.2537e+12
213.54,-3.2537e+12
213.92,-5.7527e+12
214.29,-5.7527e+12
214.67,-5.7527e+12
215.05,-4.2905e+12
215.42,-3.5258e+12
215.8,-3.5258e+12
216.17,-3.5258e+12
216.55,-2.8413e+12
216.93,-2.8413e+12
217.3,-2.8413e+12
217.68,-2.8413e+12
218.05,-2.9979e+12
218.43,-2.9979e+12
218.81,-4.3959e+12
219.18,-3.7113e+12
219.56,-3.6012e+12
219.93,-2.251e+12
220.31,-2.251e+12
220.69,-2.251e+12
221.06,-2.183e+12
221.44,-1.7153e+12
221.81,-1.7153e+12
222.19,-2.183e+12
222.56,-1.7153e+12
222.94,-2.183e+12
223.32,-2.3266e+12
223.69,-1.805e+12
224.07,-1.805e+12
224.44,-4.3062e+11
224.82,-4.8444e+11
225.19,-4.8444e+11
225.57,-4.6223e+11
225.94,4.6504e+11
226.32,3.483e+11
226.69,1.0745e+12
227.07,1.2948e+12
227.44,1.2948e+12
227.82,1.2948e+12
228.19,1.3203e+12
228.57,1.3203e+12
228.94,1.3203e+12
229.32,1.3203e+12
229.69,1.9472e+12
230.07,1.9472e+12
230.44,2.2004e+12
230.82,1.7157e+12
231.19,1.7157e+12
231.57,1.5077e+12
231.94,8.3295e+11
232.32,-3.1635e+11
232.69,-3.1635e+11
233.07,-1.6619e+12
233.44,-1.6619e+12
233.82,-7.4403e+11
234.19,-7.4403e+11
234.57,-7.4403e+11
234.94,-1.4801e+12
235.31,-1.8363e+12
