wavelength,intensity
178.76,1743.7
179.14,1743.7
179.52,1743.7
179.9,1706.3
180.28,10472
180.66,5844.3
181.04,7992.9
181.42,7304.8
181.8,6260.9
182.18,10551
182.55,5614.9
182.93,7218.2
183.31,6878.8
183.69,7653.6
184.07,7772.9
184.45,6848.4
184.83,7126.9
185.21,6314.8
185.59,6614.4
185.97,15675
186.35,11487
186.72,6827.3
187.1,6960.8
187.48,11272
187.86,8807.4
188.24,6518.4
188.62,6186
189,10551
189.38,7777.6
189.75,7297.8
190.13,7758.9
190.51,6230.5
190.89,14284
191.27,20077
191.65,6904.6
192.03,7508.4
192.4,9905.1
192.78,7368
193.16,8552.3
193.54,11698
193.92,10628
194.3,6499.7
194.67,9041.5
195.05,8262.1
195.43,7138.6
195.81,7023.9
196.19,10025
196.56,7597.4
196.94,7035.6
197.32,11258
197.7,6513.7
198.08,8425.9
198.45,6633.1
198.83,7274.4
199.21,6637.8
199.59,11759
199.97,7894.6
200.34,5762.4
200.72,6401.4
201.1,13582
201.48,9584.5
201.85,6111.1
202.23,6656.5
202.61,6745.4
202.99,39124
203.36,6548.8
203.74,8908.1
204.12,6803.9
204.49,6356.9
204.87,8475.1
205.25,7007.6
205.63,5598.6
206,6319.4
206.38,7609.1
206.76,9196
207.14,6576.9
207.51,5778.8
207.89,10708
208.27,6328.8
208.64,5240.5
209.02,6502
209.4,6803.9
209.77,5636
210.15,14935
210.53,5809.2
210.9,10832
211.28,6052.6
211.66,11616
212.03,6387.3
212.41,5706.2
212.79,6832
213.16,5790.5
213.54,7564.6
213.92,7772.9
214.29,5439.4
214.67,6459.9
215.05,6731.4
215.42,9013.4
215.8,6626.1
216.17,6588.6
216.55,7721.4
216.93,5811.6
217.3,8706.8
217.68,6342.9
218.05,6380.3
218.43,6267.9
218.81,6731.4
219.18,10544
219.56,6595.6
219.93,6469.2
220.31,6347.5
220.69,5788.1
221.06,5966
221.44,7288.4
221.81,6055
222.19,5577.5
222.56,5933.3
222.94,6555.8
223.32,7471
223.69,6239.9
224.07,8505.5
224.44,11932
224.82,7332.9
225.19,8081.9
225.57,7213.5
225.94,6600.3
226.32,6937.4
226.69,11850
227.07,8142.7
227.44,6623.7
227.82,7716.8
228.19,6733.7
228.57,8416.6
228.94,11071
229.32,9259.2
229.69,8657.6
230.07,6644.8
230.44,6017.5
230.82,10467
231.19,9022.8
231.57,5425.4
231.94,5654.7
232.32,8683.4
232.69,6710.3
233.07,7316.5
233.44,7925.1
233.82,6612
234.19,7124.6
234.57,9568.1
234.94,6253.9
235.31,6576.9
235.69,7150.3
236.06,7365.7
236.44,8311.2
236.81,5717.9
237.19,7550.6
237.56,11356
237.93,6211.8
238.31,7330.6
238.68,6782.9
239.06,7447.6
239.43,8653
239.81,7957.8
240.18,5900.5
240.55,6272.6
240.93,12171
241.3,7590.4
241.67,6705.6
242.05,8498.5
242.42,9228.7
242.8,5708.6
243.17,7545.9
243.54,7346.9
243.92,9123.4
244.29,7026.3
244.66,7302.5
245.04,9795.1
245.41,15438
245.78,5743.7
246.16,6703.3
246.53,8620.2
246.9,6888.2
247.28,12360
247.65,6815.6
248.02,6906.9
248.4,9629
248.77,7358.6
249.14,8175.5
249.52,6719.7
249.89,8154.4
250.26,6062
250.64,7183.1
251.01,14706
251.38,5584.5
251.75,7183.1
252.13,6525.4
252.5,8844.9
252.87,12887
253.25,5734.3
253.62,7646.5
253.99,5689.8
254.36,9071.9
254.74,6502
255.11,5860.7
255.48,5504.9
255.85,13336
256.23,5685.2
256.6,5219.4
256.97,6780.5
257.34,7861.9
257.71,7424.2
258.09,6125.2
258.46,7503.8
258.83,10923
259.2,9301.3
259.58,6921
259.95,7145.7
260.32,9114
260.69,5813.9
261.06,10294
261.44,6101.8
261.81,12557
262.18,7602.1
262.55,6335.8
262.92,6984.2
263.29,6286.7
263.67,5694.5
264.04,6527.8
