wavelength,intensity
178.76,1803.4
179.14,1803.4
179.52,1803.4
179.9,1748.4
180.28,10435
180.66,6036.2
181.04,8015.2
181.42,7206.5
181.8,6112.3
182.18,10563
182.55,5730.8
182.93,7169.1
183.31,6863.6
183.69,7769.4
184.07,8042.1
184.45,6913.9
184.83,7134
185.21,6445.8
185.59,6617.9
185.97,15752
186.35,11659
186.72,6848.4
187.1,7048.5
187.48,11210
187.86,8738.4
188.24,6533.6
188.62,6149.8
189,10531
189.38,7778.8
189.75,7203
190.13,7809.2
190.51,6264.4
190.89,14473
191.27,20310
191.65,6849.6
192.03,7758.9
192.4,10064
192.78,7516.6
193.16,8345.2
193.54,11930
193.92,10524
194.3,6523.1
194.67,9232.2
195.05,8136.9
195.43,7214.7
195.81,6829.7
196.19,10407
196.56,7588
196.94,7122.3
197.32,11314
197.7,6406
198.08,8276.1
198.45,6565.2
198.83,7356.3
199.21,6647.1
199.59,12080
199.97,7875.9
200.34,5829.1
200.72,6491.5
201.1,13603
201.48,9779.9
201.85,6370.9
202.23,6672.9
202.61,6741.9
202.99,39474
203.36,6668.2
203.74,8794.6
204.12,6947.9
204.49,6317.1
204.87,8656.5
205.25,7068.4
205.63,5567
206,6249.2
206.38,7597.4
206.76,9254.5
207.14,6452.9
207.51,5703.9
207.89,10422
208.27,6284.3
208.64,5290.8
209.02,6521.9
209.4,6913.9
209.77,5519
210.15,14358
210.53,5851.3
210.9,10881
211.28,6142.7
211.66,11639
212.03,6495
212.41,5799.8
212.79,6981.8
213.16,5926.2
213.54,7589.2
213.92,7710.9
214.29,5543.6
214.67,6443.5
215.05,6631.9
215.42,9043.8
215.8,6642.4
216.17,6492.6
216.55,7609.1
216.93,5768.3
217.3,8712.6
217.68,6282
218.05,6671.7
218.43,6469.2
218.81,6630.7
219.18,10692
219.56,6633.1
219.93,6422.4
220.31,6284.3
220.69,5747.2
221.06,5975.4
221.44,7466.3
221.81,6196.6
222.19,5674.6
222.56,6023.4
222.94,6718.5
223.32,7363.3
223.69,6149.8
224.07,8589.8
224.44,12144
224.82,7494.4
225.19,8188.4
225.57,7287.3
225.94,6576.9
226.32,7059.1
226.69,11882
227.07,8500.8
227.44,6624.9
227.82,7698
228.19,6862.4
228.57,8440
228.94,11154
229.32,9254.5
229.69,8875.3
230.07,6600.3
230.44,6023.4
230.82,10508
231.19,9156.2
231.57,5480.4
231.94,5614.9
232.32,8848.4
232.69,6678.7
233.07,7228.7
233.44,8043.3
233.82,6811
234.19,7197.1
234.57,9653.5
234.94,6186
235.31,6593.3
235.69,7064.9
236.06,7299
236.44,8348.7
236.81,5836.1
237.19,7563.4
237.56,11251
237.93,6307.7
238.31,7451.1
238.68,6683.4
239.06,7378.5
239.43,8615.5
239.81,7808
240.18,5887.6
240.55,6060.8
240.93,12225
241.3,7561.1
241.67,6944.4
242.05,8427.1
242.42,9272
242.8,5699.2
243.17,7559.9
243.54,7674.6
243.92,8987.7
244.29,6959.6
244.66,7384.4
245.04,9809.2
245.41,15583
245.78,5919.2
246.16,6622.5
246.53,8538.3
246.9,6866
247.28,12322
247.65,6802.8
248.02,6894
248.4,9624.3
248.77,7308.3
249.14,8070.2
249.52,6705.6
249.89,8260.9
250.26,6091.2
250.64,7286.1
251.01,14977
251.38,5740.2
251.75,7263.9
252.13,6590.9
252.5,8719.7
252.87,12913
