wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,-0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,0
206,0
206.38,0
206.76,-0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,1.5944e+12
212.03,4.5965e+12
212.41,3.4361e+10
212.79,-3.6455e+11
213.16,3.6094e+12
213.54,3.6766e+12
213.92,3.6766e+12
214.29,3.6766e+12
214.67,3.6766e+12
215.05,6.0187e+12
215.42,5.8257e+12
215.8,3.6766e+12
216.17,3.6766e+12
216.55,3.6766e+12
216.93,3.2926e+12
217.3,1.9457e+12
217.68,1.9457e+12
218.05,2.3149e+11
218.43,2.3149e+11
218.81,2.3149e+11
219.18,2.3149e+11
219.56,1.3459e+12
219.93,1.3459e+12
220.31,1.3459e+12
220.69,1.3459e+12
221.06,2.951e+11
221.44,2.951e+11
221.81,1.2213e+12
222.19,1.4501e+12
222.56,-1.0557e+12
222.94,-3.7269e+12
223.32,-3.788e+12
223.69,-3.0417e+12
224.07,-2.5528e+12
224.44,-2.4238e+12
224.82,-9.8773e+11
225.19,-9.8773e+11
225.57,-2.4849e+12
225.94,-2.4849e+12
226.32,-4.9084e+11
226.69,1.6239e+12
227.07,1.6239e+12
227.44,2.0471e+12
227.82,2.0471e+12
228.19,1.6239e+12
228.57,1.6239e+12
228.94,2.0471e+12
229.32,2.0918e+12
229.69,1.9184e+12
230.07,2.1306e+12
230.44,9.3486e+11
230.82,9.3486e+11
231.19,7.7525e+11
231.57,1.5078e+12
231.94,1.5078e+12
232.32,6.3908e+11
232.69,6.3908e+11
233.07,6.3908e+11
233.44,1.4601e+12
233.82,-9.5391e+10
234.19,-1.879e+11
234.57,-1.879e+11
234.94,-1.879e+11
235.31,-1.6026e+12
235.69,4.5405e+10
236.06,1.7126e+12
236.44,4.5405e+10
