wavelength,intensity
178.76,1797.5
179.14,1797.5
179.52,1797.5
179.9,1708.6
180.28,10591
180.66,6055
181.04,8177.8
181.42,7103.5
181.8,6038.6
182.18,10591
182.55,5809.2
182.93,7307.1
183.31,6876.5
183.69,7618.4
184.07,8067.8
184.45,6825
184.83,7035.6
185.21,6516.1
185.59,6736.1
185.97,15630
186.35,11677
186.72,6913.9
187.1,7103.5
187.48,11328
187.86,8697.4
188.24,6476.3
188.62,6071.4
189,10668
189.38,7716.8
189.75,7356.3
190.13,7625.5
190.51,6127.5
190.89,14474
191.27,20098
191.65,6895.2
192.03,7733.1
192.4,9970.7
192.78,7665.3
193.16,8397.8
193.54,11679
193.92,10717
194.3,6518.4
194.67,9128.1
195.05,8184.9
195.43,7133.9
195.81,6796.9
196.19,10418
196.56,7538.9
196.94,7038
197.32,11260
197.7,6476.3
198.08,8351
198.45,6658.8
198.83,7307.1
199.21,6717.3
199.59,11937
199.97,8053.8
200.34,5816.2
200.72,6361.6
201.1,13613
201.48,9813.9
201.85,6354.6
202.23,6836.7
202.61,6768.8
202.99,39703
203.36,6700.9
203.74,8697.4
204.12,6836.7
204.49,6382.6
204.87,8463.4
205.25,6923.3
205.63,5666.4
206,6317.1
206.38,7794
206.76,9088.3
207.14,6553.5
207.51,5923.9
207.89,10663
208.27,6239.9
208.64,5341.1
209.02,6560.5
209.4,6843.7
209.77,5563.4
210.15,15008
210.53,5823.3
210.9,10823
211.28,6106.5
211.66,11700
212.03,6434.1
212.41,5914.5
212.79,7014.6
213.16,6040.9
213.54,7719.1
213.92,7627.8
214.29,5481.5
214.67,6490.3
215.05,6672.9
215.42,9198.3
215.8,6684.6
216.17,6595.6
216.55,7730.8
216.93,5870.1
217.3,8599.1
217.68,6279.7
218.05,6576.9
218.43,6361.6
218.81,6640.1
219.18,10757
219.56,6609.7
219.93,6455.2
220.31,6385
220.69,5923.9
221.06,6017.5
221.44,7379.7
221.81,6010.5
222.19,5586.9
222.56,5977.7
222.94,6764.1
223.32,7370.4
223.69,6284.3
224.07,8491.5
224.44,11862
224.82,7442.9
225.19,8119.3
225.57,7239.3
225.94,6649.5
226.32,7169.1
226.69,11911
227.07,8283.2
227.44,6672.9
227.82,7740.1
228.19,6913.9
228.57,8344
228.94,11314
229.32,9146.8
229.69,8622.5
230.07,6717.3
230.44,6190.7
230.82,10556
231.19,9153.8
231.57,5540.1
231.94,5575.2
232.32,8788.7
232.69,6722
233.07,7265
233.44,7920.4
233.82,6722
234.19,7330.6
234.57,9696.8
234.94,6275
235.31,6373.3
235.69,7014.6
236.06,7225.2
