wavelength,intensity
178.76,-5.855
179.14,-5.855
179.52,-5.855
179.9,-39.79
180.28,155.64
180.66,18.73
181.04,162.66
181.42,-102.97
181.8,-73.73
182.18,28.08
182.55,78.41
182.93,138.09
183.31,12.87
183.69,-150.97
184.07,25.75
184.45,-88.945
184.83,-98.305
185.21,70.215
185.59,118.2
185.97,-121.7
186.35,17.55
186.72,65.53
187.1,55.005
187.48,118.2
187.86,-40.96
188.24,-57.345
188.62,-78.41
189,136.92
189.38,-62.02
189.75,153.3
190.13,-183.72
190.51,-136.92
190.89,1.165
191.27,-211.82
191.65,45.645
192.03,-25.745
192.4,-93.625
192.78,148.61
193.16,52.66
193.54,-250.44
193.92,193.09
194.3,-4.68
194.67,-104.15
195.05,47.98
195.43,-80.75
195.81,-32.76
196.19,10.525
196.56,-49.145
196.94,-84.26
197.32,-53.83
197.7,70.215
198.08,74.895
198.45,93.62
198.83,-49.155
199.21,70.22
199.59,-142.78
199.97,177.88
200.34,-12.875
200.72,-129.9
201.1,9.37
201.48,33.94
201.85,-16.385
202.23,163.83
202.61,26.92
202.99,228.21
203.36,32.76
203.74,-97.13
204.12,-111.18
204.49,65.535
204.87,-193.09
205.25,-145.12
205.63,99.475
206,67.88
206.38,196.6
206.76,-166.18
207.14,100.65
207.51,220.01
207.89,241.08
208.27,-44.47
208.64,50.315
209.02,38.615
209.4,-70.215
209.77,44.465
210.15,649.51
210.53,-28.09
210.9,-58.51
211.28,-36.275
211.66,60.855
212.03,-60.86
212.41,114.68
212.79,32.775
213.16,114.68
213.54,129.9
213.92,-83.085
214.29,-62.03
214.67,46.815
215.05,40.965
215.42,154.48
215.8,42.13
216.17,102.98
216.55,121.71
216.93,101.81
217.3,-113.52
217.68,-2.34
218.05,-94.785
218.43,-107.66
218.81,9.365
219.18,65.53
219.56,-23.405
219.93,32.77
220.31,100.64
220.69,176.72
221.06,42.135
221.44,-86.595
221.81,-186.07
222.19,-87.765
222.56,-45.635
222.94,45.645
223.32,7.025
223.69,134.58
224.07,-98.305
224.44,-282.03
224.82,-51.495
225.19,-69.045
225.57,-47.98
225.94,72.555
226.32,110.01
226.69,29.26
227.07,-217.67
227.44,47.985
227.82,42.13
228.19,51.49
228.57,-95.96
228.94,160.32
229.32,-107.67
229.69,-252.78
230.07,117.03
230.44,167.35
230.82,47.985
231.19,-2.335
231.57,59.685
231.94,-39.785
232.32,-59.685
232.69,43.3
233.07,36.275
233.44,-122.89
233.82,-88.94
234.19,133.41
234.57,43.3
234.94,88.945
235.31,-220.01
235.69,-50.315
236.06,-73.73
236.44,180.22
236.81,-43.295
237.19,132.24
237.56,56.175
237.93,-110.01
238.31,190.76
238.68,76.07
239.06,15.21
239.43,184.9
239.81,81.925
240.18,-5.845
240.55,92.45
240.93,119.37
241.3,-139.26
241.67,7.02
242.05,-8.19
242.42,-10.53
242.8,91.285
243.17,-70.22
243.54,-161.5
243.92,-2.34
244.29,-71.385
244.66,-2.34
245.04,0.005
245.41,46.81
245.78,-156.82
246.16,38.615
246.53,-46.81
246.9,10.53
247.28,59.68
247.65,-24.58
248.02,244.59
248.4,175.53
248.77,-90.11
249.14,121.72
249.52,4.685
249.89,-111.17
250.26,101.82
250.64,42.135
251.01,-182.56
251.38,-66.705
251.75,71.39
252.13,28.09
252.5,104.15
252.87,-187.25
253.25,7.02
253.62,22.24
253.99,51.495
254.36,-52.665
254.74,177.89
255.11,-92.455
255.48,9.365
255.85,-223.52
256.23,-49.15
256.6,80.745
256.97,-9.0949e-13
257.34,-29.255
257.71,-49.155
258.09,-88.94
258.46,94.795
258.83,-4.68
259.2,-106.5
259.58,-30.43
259.95,17.555
260.32,51.485
260.69,110.01
261.06,333.52
261.44,39.79
261.81,-98.305
262.18,121.72
262.55,99.475
262.92,85.43
263.29,125.23
263.67,85.435
264.04,-90.11
264.41,-17.55
264.78,157.99
265.15,24.575
265.52,125.22
265.9,150.96
266.27,79.58
266.64,93.625
267.01,-16.385
267.38,289.05
267.75,-59.685
268.12,120.53
268.5,92.45
268.87,42.13
269.24,168.52
269.61,2.34
269.98,152.14
270.35,73.73
270.72,24.575
271.09,-1.165
271.46,-40.965
271.83,156.81
272.21,180.22
272.58,-91.275
272.95,133.41
273.32,46.81
273.69,262.14
274.06,128.73
274.43,228.19
274.8,169.69
275.17,165.01
275.54,-1763.6
275.91,-19.9
276.28,270.33
276.65,285.54
277.02,17.555
277.39,183.73
277.76,-83.085
278.13,95.97
278.5,10.53
278.87,246.93
279.24,331.18
279.61,248.1
279.98,113.51
280.35,80.75
280.72,45.64
281.09,28.085
281.46,95.955
281.83,152.13
282.2,322.99
282.57,104.15
282.94,232.89
283.31,120.53
283.68,374.49
284.05,220.01
284.42,217.67
284.79,165.01
285.16,201.28
285.53,208.31
285.9,132.24
286.27,258.63
286.64,-102.99
287.01,257.45
287.38,71.39
287.75,64.365
288.12,88.94
288.49,379.17
288.86,169.69
289.23,186.07
289.59,370.98
289.96,167.35
290.33,168.52
290.7,235.22
291.07,396.73
291.44,312.46
291.81,232.88
292.18,296.08
292.55,174.36
292.91,167.35
293.28,243.42
293.65,177.88
294.02,86.6
294.39,296.08
294.76,49.15
295.13,270.33
295.5,271.51
295.86,204.79
296.23,210.65
296.6,204.8
296.97,259.8
297.34,314.81
297.71,172.03
298.07,91.285
298.44,169.69
298.81,117.03
299.18,374.49
299.55,104.15
299.91,241.07
300.28,1757.7
