wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,-0
204.49,-0
204.87,-0
205.25,0
205.63,0
206,-0
206.38,-0
206.76,0
207.14,-0
207.51,-0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,-1.7166e+11
210.9,-1.7166e+11
211.28,-2.8259e+12
211.66,-5.6713e+12
212.03,-7.0469e+12
212.41,-7.0469e+12
212.79,-5.6713e+12
213.16,-5.6713e+12
213.54,-4.3094e+12
213.92,-4.3094e+12
214.29,-4.3094e+12
214.67,-4.3094e+12
215.05,-1.4707e+12
215.42,8.6616e+11
215.8,8.6616e+11
216.17,2.8188e+12
216.55,3.704e+12
216.93,3.704e+12
217.3,3.704e+12
217.68,3.704e+12
218.05,3.704e+12
218.43,1.7513e+12
218.81,5.8296e+11
219.18,-1.9861e+12
219.56,1.2902e+12
219.93,5.4578e+11
220.31,-1.5175e+12
220.69,-1.5175e+12
221.06,-3.8387e+11
221.44,-3.8387e+11
221.81,-3.8387e+11
222.19,1.3208e+12
222.56,1.3208e+12
222.94,1.3208e+12
223.32,-6.2258e+11
223.69,-6.2258e+11
224.07,-3.4777e+11
224.44,-3.4777e+11
224.82,-2.4622e+12
225.19,-5.0135e+12
225.57,-5.2149e+12
225.94,-5.2149e+12
226.32,-3.9193e+12
226.69,-2.9557e+12
227.07,-1.7001e+12
227.44,-2.9557e+12
227.82,-2.9557e+12
228.19,-2.1772e+12
228.57,-2.1772e+12
228.94,-1.2429e+12
229.32,6.6784e+11
229.69,1.8597e+12
230.07,5.7954e+11
230.44,1.8597e+12
230.82,1.8597e+12
231.19,1.8597e+12
231.57,2.2701e+12
231.94,2.2701e+12
232.32,2.2701e+12
232.69,2.0069e+12
233.07,7.2675e+11
233.44,7.2675e+11
233.82,2.2183e+12
234.19,1.506e+12
234.57,1.506e+12
234.94,2.2608e+12
