wavelength,intensity
178.76,-58.515
179.14,-58.515
179.52,-58.515
179.9,60.855
180.28,-67.87
180.66,31.6
181.04,166.18
181.42,-105.32
181.8,-45.635
182.18,46.81
182.55,-1.17
182.93,183.73
183.31,35.11
183.69,-67.88
184.07,136.92
184.45,-113.51
184.83,-2.335
185.21,66.705
185.59,-26.915
185.97,-65.535
186.35,-84.255
186.72,-92.445
187.1,-94.79
187.48,-53.835
187.86,-38.62
188.24,124.05
188.62,58.515
189,134.58
189.38,-39.79
189.75,-4.68
190.13,49.145
190.51,2.345
190.89,29.255
191.27,79.58
191.65,-67.88
192.03,-120.54
192.4,7.02
192.78,-57.35
193.16,51.495
193.54,-175.54
193.92,-161.49
194.3,-67.875
194.67,-31.595
195.05,14.045
195.43,-92.45
195.81,-2.34
196.19,1.819e-12
196.56,-17.55
196.94,60.86
197.32,203.63
197.7,37.455
198.08,110
198.45,-40.955
198.83,46.805
199.21,-90.11
199.59,11.705
199.97,-74.895
200.34,-23.41
200.72,-2.345
201.1,57.345
201.48,321.82
201.85,-65.54
202.23,-59.685
202.61,-11.705
202.99,-92.455
203.36,30.43
203.74,-235.23
204.12,-94.795
204.49,46.815
204.87,-2.345
205.25,35.105
205.63,21.065
206,62.02
206.38,-63.195
206.76,179.05
207.14,0
207.51,47.975
207.89,69.045
208.27,-56.175
208.64,-52.66
209.02,-196.6
209.4,127.56
209.77,162.67
210.15,-1584.6
210.53,37.45
210.9,120.53
211.28,-8.195
211.66,22.23
212.03,-38.615
212.41,9.36
212.79,-119.36
213.16,50.325
213.54,-29.255
213.92,-72.555
214.29,-36.28
214.67,51.495
215.05,31.595
215.42,108.84
215.8,-64.365
216.17,-4.68
216.55,28.085
216.93,11.7
217.3,1.17
217.68,-26.915
218.05,-32.765
218.43,7.02
218.81,15.21
219.18,142.77
219.56,99.475
219.93,22.235
220.31,74.895
220.69,-80.75
221.06,31.6
221.44,65.535
221.81,-92.455
222.19,173.2
222.56,-56.175
222.94,-15.215
223.32,-10.53
223.69,44.47
224.07,-59.685
224.44,-143.94
224.82,47.98
225.19,97.135
225.57,83.085
225.94,71.385
226.32,100.65
226.69,-66.7
227.07,-70.215
227.44,16.39
227.82,-127.56
228.19,-67.875
228.57,-133.42
228.94,-156.82
229.32,-152.14
229.69,112.34
230.07,-58.515
230.44,-57.345
230.82,201.29
231.19,-32.765
231.57,-57.345
231.94,-16.38
232.32,170.86
232.69,67.87
233.07,108.84
233.44,30.425
233.82,-77.24
234.19,201.28
234.57,38.615
234.94,35.11
235.31,-59.68
235.69,135.75
236.06,161.5
236.44,-227.03
236.81,-18.72
237.19,29.25
237.56,37.44
237.93,49.15
238.31,98.305
238.68,115.85
239.06,-51.485
239.43,-2.345
239.81,-88.94
240.18,-11.695
240.55,72.56
240.93,-92.445
241.3,-43.295
241.67,93.62
242.05,0
242.42,-31.6
242.8,-19.89
243.17,117.03
243.54,174.37
243.92,45.64
244.29,-4.68
244.66,101.82
245.04,-65.54
245.41,169.69
245.78,175.55
246.16,35.11
246.53,-97.135
246.9,122.88
247.28,-2.34
247.65,-180.22
248.02,-15.21
248.4,105.32
248.77,-88.94
249.14,-8.19
249.52,256.28
249.89,7.03
250.26,29.255
250.64,180.22
251.01,279.69
251.38,107.66
251.75,-49.15
252.13,-49.155
252.5,107.67
252.87,114.68
253.25,-12.875
253.62,1.17
253.99,-19.89
254.36,-63.19
254.74,91.28
255.11,19.895
255.48,51.49
255.85,132.24
256.23,51.49
256.6,0
256.97,156.82
257.34,126.39
257.71,10.525
258.09,264.48
258.46,121.7
258.83,-153.31
259.2,31.6
259.58,55.01
259.95,74.9
260.32,120.53
260.69,-51.49
261.06,154.48
261.44,94.79
261.81,-43.3
262.18,24.575
262.55,129.89
262.92,-101.81
263.29,201.28
263.67,-44.47
264.04,10.535
264.41,-94.795
264.78,60.85
265.15,62.025
265.52,70.215
265.9,-12.875
266.27,182.56
266.64,-32.765
267.01,102.98
267.38,-5.855
267.75,176.71
268.12,228.21
268.5,-168.52
268.87,26.925
269.24,51.5
269.61,-114.69
269.98,83.09
270.35,-15.215
270.72,93.62
271.09,119.37
271.46,-52.66
271.83,73.725
272.21,149.8
272.58,19.9
272.95,-105.32
273.32,0
273.69,73.73
274.06,-38.625
274.43,136.92
274.8,46.81
275.17,235.22
275.54,-1798.7
275.91,57.345
276.28,172.03
276.65,115.86
277.02,4.685
277.39,36.285
277.76,-147.45
278.13,156.82
278.5,125.23
278.87,-39.785
279.24,305.44
279.61,84.255
279.98,10.535
280.35,-63.195
280.72,133.41
281.09,174.36
281.46,140.43
281.83,60.855
282.2,118.19
282.57,10.53
282.94,174.37
283.31,18.72
283.68,51.495
284.05,232.88
284.42,266.83
284.79,177.89
285.16,15.215
285.53,299.59
285.9,85.425
286.27,156.82
286.64,156.82
287.01,-60.85
287.38,141.6
287.75,354.59
288.12,239.9
288.49,228.2
288.86,44.47
289.23,161.5
289.59,-105.33
289.96,147.45
290.33,0.005
290.7,80.745
291.07,17.555
291.44,246.93
291.81,176.7
292.18,16.385
292.55,60.855
292.91,102.99
293.28,84.26
293.65,238.74
294.02,90.11
294.39,80.75
294.76,133.41
295.13,83.09
295.5,99.47
295.86,148.62
296.23,218.84
296.6,210.65
296.97,235.22
297.34,155.64
297.71,10.535
298.07,14.045
298.44,95.965
298.81,-1.175
299.18,251.61
299.55,190.75
299.91,135.75
300.28,29.255
300.65,172.03
301.02,253.95
301.39,292.56
301.75,191.92
302.12,209.48
302.49,312.46
302.86,231.72
303.23,140.43
303.59,147.45
303.96,462.26
304.33,269.16
304.7,-15.215
305.06,196.61
305.43,-49.155
305.8,-52.66
306.17,-1.165
306.53,57.34
306.9,21.065
307.27,160.33
307.64,59.68
308,202.45
308.37,196.6
308.74,-126.39
309.11,78.405
309.47,-78.41
309.84,33.94
310.21,119.38
310.57,167.35
310.94,114.68
311.31,66.71
311.67,78.405
312.04,174.37
312.41,283.2
312.77,101.81
313.14,-36.28
313.51,243.42
313.87,280.86
314.24,108.84
314.61,200.11
314.97,179.05
315.34,128.73
315.71,110.01
316.07,64.365
316.44,111.18
316.81,115.85
317.17,227.02
317.54,-38.62
317.91,80.745
318.27,113.52
318.64,72.555
319,141.6
319.37,12.87
319.74,159.16
320.1,-3.515
320.47,181.39
320.83,184.9
321.2,110.01
321.57,114.68
321.93,36.275
322.3,44.47
322.66,183.73
323.03,193.1
323.4,125.22
323.76,99.475
324.13,-2.34
324.49,-8.195
324.86,399.06
325.22,104.15
325.59,-58.515
325.95,81.92
326.32,22.23
326.68,-17.555
327.05,44.475
327.42,175.54
327.78,91.285
328.15,287.88
328.51,-88.94
328.88,-39.79
329.24,-97.13
329.61,209.48
329.97,148.63
330.34,-117.03
330.7,85.425
331.07,28.09
331.43,-104.15
331.8,-2.335
332.16,270.33
332.52,72.56
332.89,121.7
333.25,223.52
333.62,104.15
333.98,-165.02
334.35,231.71
334.71,319.48
335.08,154.47
335.44,80.75
335.81,12.875
336.17,252.78
336.53,-7.02
336.9,60.85
337.26,24.575
337.63,69.045
337.99,-10.53
338.36,47.985
338.72,166.18
339.08,90.115
339.45,101.81
339.81,85.425
340.18,263.31
340.54,19.895
340.9,67.875
341.27,220.01
341.63,157.98
341.99,-33.935
342.36,66.705
342.72,16.385
343.09,132.24
343.45,129.9
343.81,23.4
344.18,121.7
344.54,22.24
344.9,-55.005
345.27,188.42
345.63,-97.13
345.99,19.89
346.36,161.5
346.72,62.025
347.08,-35.11
347.45,51.495
347.81,120.53
348.17,56.17
348.54,91.285
348.9,-69.05
349.26,104.15
349.62,49.15
349.99,-38.62
350.35,24.57
350.71,73.725
351.08,117.03
351.44,39.79
351.8,-7.025
352.16,134.58
352.53,-4.68
352.89,12.87
353.25,-85.435
353.61,98.3
353.98,60.85
354.34,-26.91
354.7,-131.07
355.06,167.35
355.43,72.555
355.79,145.12
356.15,53.83
356.51,-11.71
356.88,107.67
357.24,15.21
357.6,-46.81
357.96,135.76
358.32,175.54
358.69,-22.235
359.05,10.53
359.41,8.19
359.77,141.6
360.13,76.065
360.49,-58.515
360.86,38.615
361.22,-325.34
361.58,-23.41
361.94,22.235
362.3,81.925
362.66,-4.685
363.03,40.955
363.39,-29.26
363.75,88.945
364.11,57.345
364.47,-28.08
364.83,187.24
365.19,-24.58
365.56,194.26
365.92,-37.445
366.28,62.025
366.64,5.855
367,59.685
367.36,40.955
367.72,-28.085
368.08,180.22
368.44,94.79
368.8,147.45
369.17,62.03
369.53,119.36
369.89,161.5
370.25,121.7
370.61,42.13
370.97,-170.86
371.33,85.425
371.69,-131.07
372.05,-2.345
372.41,-40.955
372.77,140.43
