wavelength,intensity
178.76,1796.4
179.14,1796.4
179.52,1796.4
179.9,1762.4
180.28,10513
180.66,6093.6
181.04,8015.2
181.42,7143.3
181.8,6007
182.18,10510
182.55,5747.2
182.93,7187.8
183.31,6923.3
183.69,7719.1
184.07,7915.7
184.45,6802.8
184.83,7170.2
185.21,6441.2
185.59,6610.8
185.97,15501
186.35,11560
186.72,6987.7
187.1,7096.5
187.48,11176
187.86,8781.7
188.24,6568.7
188.62,6100.6
189,10638
189.38,7853.7
189.75,7217
190.13,7735.5
190.51,6129.9
190.89,14426
191.27,20244
191.65,6854.3
192.03,7598.6
192.4,9877.1
192.78,7401.9
193.16,8469.2
193.54,11789
193.92,10481
194.3,6566.4
194.67,9268.5
195.05,8124
195.43,7105.9
195.81,6799.3
196.19,10332
196.56,7500.3
196.94,7170.2
197.32,11281
197.7,6361.6
198.08,8348.7
198.45,6532.4
198.83,7390.2
199.21,6635.4
199.59,11783
199.97,7837.3
200.34,5820.9
200.72,6493.8
201.1,13425
201.48,9689.8
201.85,6179
202.23,6671.7
202.61,6272.6
202.99,15602
203.36,6375.6
203.74,8752.4
204.12,6867.1
204.49,6252.7
204.87,8520.7
205.25,7034.5
205.63,5665.3
206,6243.4
206.38,7696.9
206.76,9366.8
207.14,6442.3
207.51,5778.8
207.89,10487
208.27,6239.9
208.64,5385.6
209.02,6436.5
209.4,6802.8
209.77,5598.6
210.15,14660
210.53,5744.8
210.9,10872
211.28,6073.7
211.66,11594
212.03,6381.5
212.41,5863
212.79,6910.4
213.16,5806.9
213.54,7481.5
213.92,7653.6
214.29,5554.1
214.67,6396.7
215.05,6671.7
215.42,8947.9
215.8,6706.8
216.17,6521.9
216.55,7530.7
216.93,5727.3
217.3,8665.8
217.68,6201.3
218.05,6544.1
218.43,6341.7
218.81,6668.2
219.18,10785
219.56,6608.5
219.93,6410.7
220.31,6383.8
220.69,5797.5
221.06,6059.6
221.44,7315.3
221.81,6035.1
222.19,5625.5
222.56,6045.6
222.94,6720.9
223.32,7338.8
223.69,6190.7
224.07,8562.8
224.44,12068
224.82,7364.5
225.19,8181.3
225.57,7314.2
225.94,6520.7
226.32,7162
226.69,11728
227.07,8275
227.44,6537.1
227.82,7751.9
228.19,6897.6
228.57,8368.6
228.94,11266
229.32,9383.2
229.69,8578.1
230.07,6610.8
230.44,6138.1
230.82,10545
231.19,9060.2
231.57,5537.7
231.94,5647.7
232.32,8688.1
232.69,6697.4
233.07,7303.6
233.44,8044.4
233.82,6815.6
234.19,7228.7
234.57,9698
234.94,6200.1
235.31,6514.9
235.69,6998.2
236.06,7396.1
236.44,8427.1
236.81,5775.3
237.19,7713.2
237.56,11335
237.93,6276.1
238.31,7529.5
238.68,6732.5
239.06,7432.4
239.43,8509
239.81,7842
240.18,5817.4
240.55,6005.8
240.93,12301
241.3,7481.5
241.67,6951.4
242.05,8392
242.42,9226.4
242.8,5754.2
243.17,7630.1
243.54,7536.5
243.92,9061.4
244.29,6965.4
244.66,7330.6
245.04,9758.9
245.41,15491
245.78,5850.2
246.16,6635.4
246.53,8572.2
246.9,6894.1
247.28,12461
247.65,6788.7
248.02,6867.1
248.4,9612.6
248.77,7371.5
249.14,8152.1
249.52,6686.9
249.89,8325.3
250.26,6045.6
250.64,7313
251.01,14821
251.38,5646.5
251.75,7150.3
252.13,6488
252.5,8830.8
252.87,12950
253.25,5783.5
253.62,7650
253.99,5655.9
254.36,9066.1
254.74,6427.1
255.11,5994.1
255.48,5462.8
255.85,13570
256.23,5559.9
256.6,5313
256.97,6764.1
257.34,7901.6
257.71,7337.6
258.09,6299.6
258.46,7515.5
258.83,10836
259.2,9368
259.58,6784
259.95,6997
260.32,9117.6
260.69,5840.8
261.06,10296
261.44,6122.8
261.81,12553
262.18,7696.9
262.55,6248.1
262.92,7083.6
263.29,6437.6
263.67,5625.5
264.04,6490.3
264.41,6683.4
264.78,6307.7
265.15,9823.2
265.52,12013
265.9,7190.1
266.27,6198.9
266.64,5593.9
267.01,5421.9
267.38,7810.4
267.75,5939.1
268.12,5245.1
268.5,6792.2
268.87,6162.6
269.24,6086.6
269.61,7355.1
269.98,7939.1
270.35,7694.5
270.72,5857.2
271.09,6726.7
271.46,6480.9
271.83,7611.4
272.21,8801.6
272.58,5849
272.95,6163.8
273.32,7075.4
273.69,7115.2
274.06,5495.6
274.43,6032.7
274.8,6854.3
275.17,7596.2
275.54,17080
275.91,7198.3
276.28,7022.8
276.65,7302.5
277.02,10688
277.39,6124
277.76,6004.6
278.13,8004.6
278.5,8407.2
278.87,10017
279.24,8755.9
279.61,8097.1
279.98,9461.6
280.35,6159.1
280.72,7272
281.09,6795.7
281.46,7090.6
281.83,6043.3
282.2,7490.9
282.57,6325.3
282.94,7820.9
283.31,6287.9
283.68,7506.1
284.05,5568.1
284.42,5200.7
284.79,7488.5
285.16,8032.7
285.53,6902.2
285.9,7048.5
286.27,13972
286.64,5344.6
287.01,6084.2
287.38,8205.9
287.75,57461
288.12,8188.4
288.49,15875
288.86,5852.5
289.23,5956.7
289.59,6019.9
289.96,5729.6
290.33,6157.9
290.7,6298.4
291.07,8139.2
291.44,7564.6
291.81,5787
292.18,7130.4
292.55,6332.3
292.91,12090
293.28,7953.1
293.65,10481
294.02,7529.5
294.39,5492.1
294.76,6748.9
295.13,7052
295.5,6777
295.86,6787.5
296.23,6221.1
296.6,5702.7
296.97,6216.5
297.34,6856.6
297.71,8539.4
298.07,7034.5
298.44,5104.7
298.81,7747.2
299.18,7181.9
299.55,10088
299.91,6763
300.28,7138.6
300.65,5255.7
301.02,7241.6
301.39,7809.2
301.75,12748
302.12,7956.7
302.49,6774.7
302.86,9995.3
303.23,7075.4
303.59,5764.7
303.96,16301
304.33,9310.7
304.7,14289
305.06,6392
305.43,9723.8
305.8,7932.1
306.17,8668.2
306.53,6140.4
306.9,9047.3
307.27,7080.1
307.64,10214
308,6184.9
308.37,6168.5
308.74,11540
309.11,8661.2
309.47,6154.4
309.84,5441.7
310.21,6891.7
310.57,7253.3
310.94,6438.8
311.31,7076.6
311.67,7497.9
312.04,5390.3
312.41,9380.9
312.77,7875.9
313.14,6074.9
313.51,6608.5
313.87,6293.7
314.24,6255.1
314.61,6132.2
314.97,6482.1
315.34,6905.8
315.71,5440.6
316.07,8737.2
316.44,5520.1
316.81,8466.9
317.17,6003.5
317.54,14642
317.91,6262.1
318.27,5322.4
318.64,6510.2
319,8376.8
319.37,5387.9
319.74,8878.8
320.1,9181.9
320.47,6423.6
320.83,10447
321.2,6814.5
321.57,5758.9
321.93,6190.7
322.3,7199.5
322.66,6128.7
323.03,8394.3
323.4,7763.6
323.76,6168.5
324.13,6124
324.49,5329.4
324.86,17835
325.22,7201.8
325.59,6779.4
325.95,7522.5
326.32,9104.7
326.68,8663.5
327.05,6779.4
327.42,5984.8
327.78,6211.8
328.15,9125.8
328.51,6220
328.88,8077.2
329.24,10630
329.61,6979.5
329.97,8225.8
330.34,6222.3
330.7,7136.3
331.07,10274
331.43,8332.3
331.8,12555
332.16,9781.1
332.52,5891.1
332.89,7940.3
333.25,5269.7
333.62,11971
333.98,6743.1
334.35,6698.6
334.71,7063.7
335.08,5702.7
335.44,11455
335.81,11205
336.17,9684
336.53,6929.2
336.9,5851.3
337.26,8155.6
337.63,8916.3
337.99,7481.5
338.36,5706.2
338.72,8580.4
339.08,7192.5
339.45,5742.5
339.81,9057.9
340.18,6496.2
340.54,9947.3
340.9,6131
341.27,6547.6
341.63,8015.2
341.99,5185.5
342.36,9934.4
342.72,5658.2
343.09,9988.2
343.45,6087.7
343.81,10126
344.18,5444.1
344.54,6725.5
344.9,7432.4
345.27,7021.6
345.63,6764.1
345.99,8567.5
346.36,7071.9
346.72,5700.4
347.08,5714.4
347.45,5346.9
347.81,9495.6
348.17,7303.6
348.54,5632.5
348.9,8740.7
349.26,9313
349.62,10321
349.99,5247.5
350.35,5093
350.71,7588
351.08,6923.3
351.44,5103.5
351.8,12838
352.16,11133
352.53,5976.6
352.89,8063.1
353.25,10689
353.61,6367.4
353.98,8346.4
354.34,9662.9
354.7,6292.5
355.06,5125.8
355.43,6939.7
355.79,6536
356.15,6373.3
356.51,5699.2
356.88,5906.3
357.24,6582.8
357.6,5366.9
357.96,5145.7
358.32,14582
358.69,5346.9
359.05,7637.2
359.41,7362.2
359.77,5729.6
360.13,6016.3
360.49,5835
360.86,8587.4
361.22,10674
361.58,7410.1
361.94,10467
362.3,5674.6
362.66,8018.7
363.03,5207.7
363.39,5190.1
363.75,5991.8
364.11,9685.1
364.47,6092.4
364.83,10319
365.19,7240.4
365.56,8484.4
365.92,5214.7
366.28,8317.1
366.64,9393.7
367,5351.6
367.36,5300.1
367.72,9499.1
368.08,8965.4
368.44,6250.4
368.8,8032.7
369.17,6235.2
369.53,6497.3
369.89,5720.3
370.25,5762.4
370.61,5881.8
370.97,10242
371.33,6181.4
371.69,12220
372.05,7967.2
372.41,5669.9
372.77,6300.7
373.13,7441.7
373.49,4992.4
373.85,7569.3
374.21,7129.3
374.57,5543.6
374.93,8204.8
375.29,8830.8
375.65,7157.4
376.01,7019.3
376.37,9788.1
376.73,8165
377.09,5604.4
377.45,9410.1
377.81,6616.7
378.17,5750.7
378.53,5079
378.89,8189.5
379.25,10514
379.61,13577
379.97,8999.4
380.33,6234
380.69,5949.6
381.05,5489.7
381.41,8712.6
381.77,7066.1
382.13,8293.7
382.49,14545
382.85,7118.7
383.21,8411.9
383.57,5190.1
383.93,9988.2
384.28,5102.4
384.64,6294.9
385,7247.5
385.36,7219.4
385.72,8759.5
386.08,5847.8
386.44,8429.4
386.8,8601.5
387.16,10331
387.52,9109.4
387.87,13231
388.23,7715.6
388.59,5982.4
388.95,5382.1
389.31,6495
389.67,6488
390.03,6087.7
390.38,6345.2
390.74,4930.3
391.1,9021.6
391.46,7218.2
391.82,5785.8
392.18,8039.7
392.54,4875.3
392.89,5441.7
393.25,8064.3
393.61,5593.9
393.97,5315.4
394.33,7435.9
394.68,6582.8
395.04,5344.6
395.4,7015.8
395.76,8863.6
396.12,7165.5
396.47,5629
396.83,6767.7
397.19,5410.1
397.55,5577.5
397.9,7029.8
398.26,7019.3
398.62,5478
398.98,4803.9
399.33,6469.2
399.69,23683
400.05,7837.3
400.41,5725
400.76,8351
401.12,9623.1
401.48,7653.6
401.84,5867.7
402.19,6213
402.55,7451.1
402.91,6954.9
403.26,5089.5
403.62,8005.8
403.98,6827.3
404.34,4764.2
404.69,6777
405.05,8753.6
405.41,13535
405.76,5717.9
406.12,5815.1
406.48,6535.9
406.83,5916.9
407.19,8056.1
407.55,7581
407.9,13549
408.26,8255.1
408.62,8855.4
408.97,6757.1
409.33,5268.5
409.68,5607.9
410.04,7384.4
410.4,5810.4
410.75,7846.6
411.11,5736.6
411.47,7274.4
411.82,6449.3
412.18,7052
412.53,6399
412.89,6085.4
413.25,6594.5
413.6,6894
413.96,5089.5
414.31,6081.9
414.67,7119.9
415.03,5122.3
415.38,5473.3
415.74,6263.3
416.09,6347.5
416.45,8087.7
416.8,5806.9
417.16,8194.2
417.51,6543
417.87,6232.9
418.23,7593.9
418.58,7827.9
418.94,4898.7
419.29,5873.6
419.65,7407.8
420,8423.6
420.36,7908.7
420.71,7886.4
421.07,5510.8
421.42,6887
421.78,8801.6
422.13,6483.3
422.49,5253.3
422.84,7084.8
423.2,5095.3
423.55,5357.5
423.91,5304.8
424.26,13327
424.61,8098.3
424.97,10813
425.32,5813.9
425.68,6420.1
426.03,7270.9
426.39,9650
426.74,9406.6
427.1,8889.4
427.45,5873.6
427.8,7318.9
428.16,6660
428.51,6741.9
428.87,7460.5
429.22,9190.1
429.58,9767.1
429.93,9604.4
430.28,5732
430.64,6049.1
430.99,5060.2
431.35,7186.6
431.7,6358.1
432.05,6544.1
432.41,7953.1
432.76,7434.7
433.11,7688.7
433.47,7555.3
433.82,10197
434.17,7822.1
434.53,7548.2
434.88,13363
435.24,7458.1
435.59,7098.8
435.94,5398.4
436.3,8016.3
436.65,6201.3
437,9090.6
437.35,15306
437.71,6352.2
438.06,6049.1
438.41,6060.8
438.77,7561.1
439.12,5239.3
439.47,4660
439.83,7449.9
440.18,5038
440.53,6389.7
440.88,11726
441.24,8227
441.59,5444.1
441.94,6324.1
442.3,7911
442.65,12168
443,6819.1
443.35,9963.7
443.71,6324.1
444.06,9131.6
444.41,7720.3
444.76,10756
445.11,6844.9
445.47,9801
445.82,8757.1
446.17,5638.4
446.52,9882.9
446.88,6935
447.23,5185.5
447.58,7743.7
447.93,5916.9
448.28,28901
448.63,10509
448.99,6786.4
449.34,8072.5
449.69,8507.8
450.04,6015.2
450.39,5968.4
450.74,6734.9
451.1,6731.4
451.45,6904.6
451.8,7391.4
452.15,9679.3
452.5,7813.9
452.85,9528.3
453.21,8664.7
453.56,7403.1
453.91,6573.4
454.26,7164.4
454.61,5541.2
454.96,7975.4
455.31,6417.8
455.66,6141.6
456.01,7806.9
456.36,6166.1
456.72,5822.1
457.07,7424.2
457.42,9872.4
457.77,8771.2
458.12,6216.5
458.47,7025.1
458.82,9261.5
459.17,6925.6
459.52,6936.2
459.87,11388
460.22,5538.9
460.57,6909.3
460.92,6016.3
461.27,7935.6
461.62,6383.8
461.97,5645.4
462.32,11594
462.67,10315
463.02,12971
463.38,12773
463.73,8533.6
464.08,11793
464.43,7376.2
464.78,5438.2
465.12,7823.2
465.47,8423.6
465.82,26441
466.17,6280.8
466.52,8312.4
466.87,6155.6
467.22,5795.2
467.57,5031
467.92,7558.8
468.27,10524
468.62,14411
468.97,6614.4
469.32,4832
469.67,14990
470.02,13603
470.37,5960.2
470.72,7323.5
471.07,5294.3
471.42,6473.9
471.76,6725.5
472.11,6445.8
472.46,8097.1
472.81,14266
473.16,5892.3
473.51,5871.2
473.86,5156.2
474.21,6449.3
474.56,6127.5
474.9,6028.1
475.25,9282.6
475.6,8480.9
475.95,5815.1
476.3,10744
476.65,9936.7
477,14380
477.34,10592
477.69,5497.9
478.04,8954.9
478.39,7146.8
478.74,5717.9
479.09,5110.6
479.43,6915.1
479.78,4805.1
480.13,11868
480.48,9688.6
480.83,7132.8
481.17,5322.4
481.52,6902.2
481.87,6342.9
482.22,11407
482.57,6479.8
482.91,8808.6
483.26,7556.4
483.61,6300.7
483.96,7238.1
484.3,61989
484.65,5885.3
485,5519
485.35,6475.1
485.69,5802.2
486.04,6368.6
486.39,7459.3
486.74,7324.7
487.08,5130.5
487.43,7632.5
487.78,4854.3
488.12,7950.8
488.47,5929.8
488.82,10058
489.17,5655.9
489.51,5073.1
489.86,7682.8
490.21,5073.1
490.55,7516.6
490.9,5210
491.25,6159.1
491.59,5402
491.94,12181
492.29,6098.3
492.63,6744.3
492.98,4686.9
493.33,7139.8
493.67,6052.6
494.02,5272.1
494.37,5499.1
494.71,8037.4
495.06,5937.9
495.4,9943.8
495.75,5846.7
496.1,9831.4
496.44,6615.5
496.79,7900.5
497.13,5622
497.48,13762
497.83,9949.6
498.17,7882.9
498.52,5920.4
498.86,8360.4
499.21,6465.7
499.56,5770.6
499.9,6270.3
500.25,5169.1
500.59,6712.7
500.94,7597.4
501.28,8385
501.63,9238.1
501.97,6279.7
502.32,5717.9
502.67,7544.7
503.01,5130.5
503.36,6040.9
503.7,6093.6
504.05,8046.8
504.39,8789.9
504.74,6545.3
505.08,10330
505.43,4635.4
505.77,5315.4
506.12,7116.4
506.46,6445.8
506.81,5646.5
507.15,5572.8
507.49,6183.7
507.84,5556.4
508.18,7404.3
508.53,7035.6
508.87,6897.6
509.22,6375.6
509.56,65535
509.91,18721
510.25,6912.8
510.6,4863.6
510.94,8512.5
511.28,4706.8
511.63,9149.2
511.97,7444.1
512.32,8645.9
512.66,5648.9
513,6843.7
513.35,9119.9
513.69,5528.3
514.04,8087.7
514.38,8427.1
514.72,7280.2
515.07,5638.4
515.41,5595.1
515.76,5681.6
516.1,6935
516.44,8496.1
516.79,5995.3
517.13,5292
517.47,8998.2
517.82,7123.4
518.16,6499.7
518.5,7015.8
518.85,7189
519.19,9816.2
519.53,12862
519.88,8580.4
520.22,6292.5
520.56,6781.7
520.91,5180.8
521.25,5435.9
521.59,6526.6
521.93,7602.1
522.28,6318.3
522.62,7205.3
522.96,8739.6
523.31,6523.1
523.65,7543.5
523.99,8314.8
524.33,10958
524.68,7918
525.02,5290.8
525.36,7494.4
525.7,5086
526.05,5750.7
526.39,5462.8
526.73,8121.7
527.07,6967.8
527.41,10103
527.76,5719.1
528.1,6225.8
528.44,7753
528.78,6595.6
529.12,8189.5
529.47,6337
529.81,8877.7
530.15,9001.7
530.49,7889.9
530.83,4906.9
531.18,5459.3
531.52,6404.9
531.86,5149.2
532.2,6803.9
532.54,9348.1
