wavelength,intensity
178.76,1828
179.14,1828
179.52,1828
179.9,1664.1
180.28,10577
180.66,5952
181.04,8245.7
181.42,7162
181.8,6019.9
182.18,10771
182.55,5860.7
182.93,7091.8
183.31,7000.5
183.69,7632.5
184.07,8126.3
184.45,6921
184.83,7246.3
185.21,6516.1
185.59,6696.3
185.97,16044
186.35,11686
186.72,7089.5
187.1,7239.3
187.48,11171
187.86,8833.2
188.24,6532.4
188.62,6139.2
189,10722
189.38,7819.7
189.75,7260.3
190.13,7878.2
190.51,6122.8
190.89,14532
191.27,20697
191.65,6993.5
192.03,7639.5
192.4,9996.4
192.78,7506.1
193.16,8313.6
193.54,11977
193.92,10525
194.3,6492.6
194.67,9343.4
195.05,8381.5
195.43,7206.5
195.81,6902.2
196.19,10509
196.56,7581
196.94,7131.6
197.32,11445
197.7,6495
198.08,8416.6
198.45,6539.5
198.83,7461.6
199.21,6736.1
199.59,12040
199.97,7875.9
200.34,5851.3
200.72,6490.3
201.1,13683
201.48,9860.7
201.85,6298.4
202.23,6729
202.61,6523.1
202.99,15813
203.36,6387.3
203.74,8781.7
204.12,6946.7
204.49,6352.2
204.87,8690.4
205.25,7084.8
205.63,5657.1
206,6321.8
206.38,7644.2
206.76,9317.7
207.14,6483.3
207.51,5699.2
207.89,10539
208.27,6375.6
208.64,5315.4
209.02,6562.9
209.4,6942
209.77,5645.4
210.15,14865
210.53,5785.8
210.9,10998
211.28,6155.6
211.66,12103
212.03,6605
212.41,5741.3
212.79,7129.3
213.16,5813.9
213.54,7653.6
213.92,7681.6
214.29,5572.8
214.67,6488
215.05,6696.3
215.42,9160.9
215.8,6722
216.17,6569.9
216.55,7702.7
216.93,5797.5
217.3,8617.9
217.68,6232.9
218.05,6726.7
218.43,6605
218.81,6700.9
219.18,10809
219.56,6544.1
219.93,6492.6
220.31,6300.7
220.69,5827.9
221.06,6076
221.44,7384.4
221.81,6108.8
222.19,5657.1
222.56,5926.2
222.94,6700.9
223.32,7541.2
223.69,6211.8
224.07,8812.1
224.44,12337
224.82,7452.3
225.19,8407.2
225.57,7330.6
225.94,6546.5
