wavelength,intensity
178.76,1804.6
179.14,1804.6
179.52,1804.6
179.9,1766.3
180.28,10545
180.66,9480.7
181.04,9355.5
181.42,7274.4
181.8,6129.1
182.18,10594
182.55,5781.9
182.93,7168.7
183.31,6915.1
183.69,7792.8
184.07,8040.5
184.45,6882.3
184.83,7162.8
185.21,6477.8
185.59,6607.3
185.97,15858
186.35,11662
186.72,6970.9
187.1,7152.3
187.48,11318
187.86,8828.1
188.24,6552.7
188.62,6100.2
189,10677
189.38,7809.2
189.75,7810.8
190.13,7821.3
190.51,6225.8
190.89,14661
191.27,20311
191.65,6924.9
192.03,7653.9
192.4,10064
192.78,7471.8
193.16,8594.8
193.54,11962
193.92,10522
194.3,6534.8
194.67,9337.6
195.05,8219.2
195.43,7232.6
195.81,6821.9
196.19,10416
196.56,7658.6
196.94,7174.9
197.32,11396
197.7,6513.3
198.08,8412.3
198.45,6601.1
198.83,7447.2
199.21,6699
199.59,12007
199.97,7946.9
200.34,5855.6
200.72,6582.4
201.1,13722
201.48,9695.3
201.85,6305.8
202.23,6742.7
202.61,6379.1
202.99,15549
203.36,6425.9
203.74,8859.3
204.12,7230.3
204.49,6450.9
204.87,8615.5
205.25,7115.6
205.63,5718.7
206,6335.8
206.38,7751.1
206.76,9339.9
207.14,6462.2
207.51,5856
207.89,10479
208.27,6282.4
208.64,5320
209.02,6561.7
209.4,6832.8
209.77,5637.2
210.15,15105
210.53,5895.4
210.9,11022
211.28,6102.6
211.66,11770
212.03,6399.8
212.41,5727.3
212.79,7003.7
213.16,5845.5
213.54,7467.1
213.92,7723.4
214.29,5451.9
214.67,6494.6
215.05,6752.8
215.42,9088.3
215.8,6660.4
216.17,6625.3
216.55,7635.2
216.93,5771
217.3,8763
217.68,6279.3
218.05,6587.4
218.43,6443.5
218.81,6752.1
219.18,10807
219.56,6598.4
219.93,6457.1
220.31,6439.2
220.69,5845.1
221.06,6073.7
221.44,7504.1
221.81,6110.4
222.19,5645.8
222.56,6005.4
222.94,6725.5
223.32,7455.4
223.69,6192.3
224.07,8718.9
224.44,9699.6
224.82,7359.8
225.19,8343.2
225.57,7343
225.94,6587
226.32,7140.6
226.69,11960
227.07,11781
227.44,6710.7
227.82,7795.9
228.19,6865.6
228.57,8502
228.94,11311
229.32,9255.7
229.69,8724.7
230.07,6666.6
230.44,6139.6
230.82,10688
231.19,9249.4
231.57,5577.1
231.94,5744.8
232.32,14685
232.69,7095.3
233.07,7355.1
233.44,6768.4
233.82,6827
234.19,7281.8
234.57,9811.9
234.94,6321
235.31,6546.5
235.69,7072.3
236.06,7379.3
236.44,8446.2
236.81,5790.5
237.19,7687.9
237.56,11403
237.93,6305.8
238.31,7490.1
238.68,6853.1
239.06,7456.2
239.43,8586.3
239.81,7954.7
240.18,5855.6
240.55,6171.6
240.93,12452
241.3,7531.1
241.67,7028.2
242.05,8385.4
242.42,9365.3
242.8,5781.1
243.17,7608.7
243.54,7550.2
243.92,9025.5
244.29,7009.5
244.66,7428.9
245.04,9877.8
245.41,15585
245.78,5912.6
246.16,6697.4
246.53,8590.2
246.9,6932.3
247.28,12906
247.65,6790.7
248.02,6976.4
248.4,9647.3
248.77,7374.2
249.14,8209
249.52,6751.3
249.89,8295.6
250.26,6168.9
250.64,7343
251.01,15710
251.38,5722.2
251.75,7216.3
252.13,6589
252.5,8798.1
252.87,12993
253.25,5883.7
253.62,7685.5
253.99,5709
254.36,9101.2
254.74,6444.3
255.11,6008.9
255.48,5466.7
255.85,13824
256.23,5656.7
256.6,5367.6
256.97,6769.6
257.34,7977.3
257.71,7400.8
258.09,6853.9
258.46,7474.1
258.83,11101
259.2,9389.8
259.58,6889.4
259.95,7157.7
260.32,9136.7
260.69,5889.2
261.06,10732
261.44,6114.3
261.81,12672
262.18,7596.6
262.55,6258.6
262.92,7077
263.29,6419.7
263.67,5701.9
264.04,6495.4
264.41,6678.7
264.78,6314.8
265.15,9976.5
265.52,12102
265.9,7369.6
266.27,6316.3
266.64,5632.9
267.01,5389.9
267.38,7876.3
267.75,6048.3
268.12,5243.6
268.5,6865.2
268.87,6194.6
269.24,5719.1
269.61,7492.1
269.98,8058.1
270.35,7804.1
270.72,6014.4
271.09,6780.5
271.46,6500.8
271.83,7750.7
272.21,8947.5
272.58,5823.3
272.95,6180.2
273.32,7133.2
273.69,7073.9
274.06,5522.9
274.43,6079.5
274.8,6887
275.17,7657.1
275.54,15397
275.91,7251.4
276.28,7114.1
276.65,7455.4
277.02,10818
277.39,6115.4
277.76,6017.1
278.13,8147.8
278.5,8486.4
278.87,10057
279.24,8822.7
279.61,8184.5
279.98,11075
280.35,6260.5
280.72,7346.6
281.09,6865.6
281.46,7190.5
281.83,5988.7
282.2,7623.5
282.57,6315.2
282.94,7810
283.31,6357.3
283.68,7584.9
284.05,5512
284.42,5391.8
284.79,7412.9
285.16,8141.2
285.53,7003.7
285.9,7022
286.27,14209
286.64,5469.1
287.01,6086.6
287.38,8171.6
287.75,57905
288.12,8336.6
288.49,15962
288.86,5863
289.23,5945.4
289.59,6055.8
289.96,5793.2
290.33,6212.2
290.7,6431.8
291.07,8187.6
291.44,7641.9
291.81,5833.8
292.18,7073.5
292.55,6487.6
292.91,12262
293.28,8050.7
293.65,10526
294.02,7601.3
294.39,5461.3
294.76,6836.7
295.13,7080.9
295.5,6842.2
295.86,6889
296.23,6282
296.6,5692.2
296.97,6243
297.34,6807.8
297.71,8639.7
298.07,7071.9
298.44,5259.2
298.81,7660.6
299.18,7204.9
299.55,10205
299.91,6767.7
300.28,8280
300.65,5329
301.02,7379.7
301.39,7831.8
301.75,12926
302.12,7952
302.49,6828.1
302.86,10082
303.23,7107.4
303.59,5779.6
303.96,16527
304.33,9334.1
304.7,14337
305.06,6413.8
305.43,9909.8
305.8,8019.5
306.17,8755.6
306.53,6182.9
306.9,9131.2
307.27,7031.4
307.64,10273
308,6320.6
308.37,6409.2
308.74,11597
309.11,8615.1
309.47,6109.2
309.84,5418.3
310.21,6883.1
310.57,7264.6
310.94,6466.5
311.31,7084.4
311.67,7536.5
312.04,5377.8
312.41,9484.6
312.77,7831.4
313.14,6086.2
313.51,6757.9
313.87,6362.4
314.24,6269.9
314.61,6274.2
314.97,6419.3
315.34,7002.1
315.71,5371.9
316.07,8743.9
316.44,5760.4
316.81,8424
317.17,6058.9
317.54,14935
317.91,6261.7
318.27,5305.2
318.64,6608.9
319,8575.3
319.37,5381.7
319.74,8991.9
320.1,9189.3
320.47,6423.6
320.83,10551
321.2,6832.8
321.57,5838.1
321.93,6399
322.3,7321.6
322.66,6072.9
323.03,8411.9
323.4,7717.9
323.76,6333.1
324.13,6293.3
324.49,5325.9
324.86,18035
325.22,7285.7
325.59,6793
325.95,7599.3
326.32,9102.3
326.68,8799.2
327.05,6752.1
327.42,5886.4
327.78,6303.5
328.15,9066.5
328.51,6354.9
328.88,7127.3
329.24,10743
329.61,7079.7
329.97,8366.6
330.34,6232.5
330.7,7151.9
331.07,10432
331.43,8397.1
331.8,12753
332.16,9904
332.52,6014.4
332.89,7915.3
333.25,5363.7
333.62,11904
333.98,7281
334.35,6024.1
334.71,7159.3
335.08,5668
335.44,11547
335.81,11535
336.17,9723.8
336.53,6954.1
336.9,5847.4
337.26,8241.4
337.63,13421
337.99,7629
338.36,5797.5
338.72,8615.9
339.08,7229.9
339.45,5686.3
339.81,9194.8
340.18,6544.5
340.54,10023
340.9,6175.1
341.27,6755.2
341.63,8060.4
341.99,5181.2
342.36,10076
342.72,5715.6
343.09,10155
343.45,6174.7
343.81,10252
344.18,5443.7
344.54,6844.9
344.9,7553.7
345.27,7165.9
345.63,6779.4
345.99,8559
346.36,7114.1
346.72,5773.7
347.08,5877.5
347.45,5383.6
347.81,9632.9
348.17,7366.1
348.54,5582.6
348.9,8698.6
349.26,9312.2
349.62,10412
349.99,5298.2
350.35,5104.7
350.71,7567.3
351.08,6991.6
351.44,5070.4
351.8,12894
352.16,11189
352.53,5942.6
352.89,8431
353.25,10786
353.61,6468.5
353.98,8390.4
354.34,9856.4
354.7,6324.9
355.06,5809.2
355.43,7052.8
355.79,6623.3
356.15,6466.9
356.51,5771
356.88,5947.7
357.24,6594.5
357.6,5379.3
357.96,5145.7
358.32,15432
358.69,5382.5
359.05,7784.2
359.41,7280.6
359.77,5685.2
360.13,6014.8
360.49,5903.6
360.86,8631.9
361.22,10967
361.58,7456.9
361.94,10668
362.3,5742.1
362.66,8124
363.03,5189.4
363.39,5143.3
363.75,6102.2
364.11,9710.1
364.47,6147
364.83,10256
365.19,7419.1
365.56,8647.5
365.92,5224.1
366.28,8318.7
366.64,9587.6
367,5355.9
367.36,5332.5
367.72,9639.1
368.08,9124.2
368.44,6355.3
368.8,8045.2
369.17,6331.9
369.53,6580
369.89,5856.8
370.25,5946.9
370.61,6068.2
370.97,10308
371.33,6262.1
371.69,12283
372.05,8050.3
372.41,5746.4
372.77,6342.5
373.13,7315.3
373.49,5043.1
373.85,7746.4
374.21,7326.7
374.57,5671.9
374.93,8358.8
375.29,8910
375.65,7403.1
376.01,7046.6
376.37,9877.1
376.73,8238.7
377.09,5637.6
377.45,9465.1
377.81,6713.4
378.17,5791.7
378.53,5110.2
378.89,8194.6
379.25,10626
379.61,13704
379.97,9130.4
380.33,6347.5
380.69,6002.7
381.05,5590
381.41,8853.9
381.77,7049.3
382.13,8378.7
382.49,14468
382.85,7145.7
383.21,8561.3
383.57,5251.4
383.93,10080
384.28,5086.4
384.64,6339.7
385,7455.4
385.36,7137.9
385.72,8699
386.08,5840.8
386.44,8548.4
386.8,8679.1
387.16,11823
387.52,9243.2
387.87,13307
388.23,7725.3
388.59,6123.2
388.95,5376.2
389.31,6586.7
389.67,6561.7
390.03,6070.2
390.38,6359.6
390.74,4965.4
391.1,9105.5
391.46,7326.7
391.82,5852.9
392.18,8074.8
392.54,4856.6
392.89,5510.4
393.25,8102.5
393.61,5622
393.97,5392.2
394.33,7593.5
394.68,6834
395.04,5370.7
395.4,7026.7
395.76,8929.9
396.12,7310.7
396.47,5694.5
396.83,6863.6
397.19,5447.6
397.55,5689.8
397.9,7145.3
398.26,7087.1
398.62,5552.5
398.98,4897.6
399.33,6507.1
399.69,24431
400.05,8062.4
400.41,5753
400.76,8443.1
401.12,9859.5
401.48,7698.8
401.84,5853.3
402.19,6259
402.55,7558.8
402.91,6940.1
403.26,5198.7
403.62,7994.1
403.98,6848.8
404.34,4753.2
404.69,6860.5
405.05,8869.8
405.41,13633
405.76,5760.1
406.12,5817.4
406.48,6685.4
406.83,5934
407.19,8176.7
407.55,7669.5
407.9,13673
408.26,8228.9
408.62,8859.3
408.97,6888.6
409.33,5349.7
409.68,5651.2
410.04,7493.6
410.4,5879
410.75,7852.5
411.11,5742.9
411.47,7379.7
411.82,6466.9
412.18,7081.7
412.53,6527
412.89,6043.7
413.25,6820.7
413.6,7026.7
413.96,5169.9
414.31,6230.5
414.67,7187.8
415.03,5164.8
415.38,5519.4
415.74,6300.3
416.09,6396.7
416.45,8194.2
416.8,5833.4
417.16,8236.7
417.51,6594.8
417.87,6255.9
418.23,7447.2
418.58,7857.6
418.94,4812.9
419.29,5954.7
419.65,7535.7
420,8573.4
420.36,7663.7
420.71,7934
421.07,5428.1
421.42,7008
421.78,8979.1
422.13,6529.7
422.49,6526.6
422.84,7196.8
423.2,5059.8
423.55,5434.3
423.91,5366.1
424.26,13428
424.61,8032.3
424.97,10946
425.32,5840.4
425.68,6386.9
426.03,7474.1
426.39,10162
426.74,9657.4
427.1,9108.6
427.45,6059.3
427.8,7422.6
428.16,6719.3
428.51,6692
428.87,7405.1
429.22,9227.6
429.58,10154
429.93,9729.6
430.28,5902.8
430.64,6026.5
430.99,5167.9
431.35,7412.5
431.7,6436.1
432.05,6625.3
432.41,7921.9
432.76,7550.2
433.11,7718.7
433.47,7474.1
433.82,10244
434.17,7849
434.53,8763.7
434.88,13619
435.24,7433.5
435.59,7183.5
435.94,5535.8
436.3,8023.4
436.65,6344
437,9172.6
437.35,15619
437.71,6458.7
438.06,6443.1
438.41,6058.9
438.77,7953.1
439.12,5174.1
439.47,4745
439.83,7531.8
440.18,5135.1
440.53,6332.7
440.88,11812
441.24,8277.7
441.59,5497.9
441.94,6319.4
442.3,8003.1
442.65,12202
443,6801.2
443.35,9996.8
443.71,6410.3
444.06,9118.7
444.41,7776.8
444.76,10961
445.11,7022.4
445.47,9902
445.82,8761.8
446.17,5745.2
446.52,10245
446.88,7048.5
447.23,5092.2
447.58,7715.2
447.93,5862.3
448.28,28607
448.63,10595
448.99,6721.2
449.34,8119.3
449.69,8636.2
450.04,6171.2
450.39,6093.6
450.74,6842.6
451.1,6773.1
451.45,7342.3
451.8,7462.8
452.15,9769
452.5,7916.5
452.85,9877.1
453.21,8691.2
453.56,7538.1
453.91,6578.5
454.26,7058.7
454.61,5703.1
454.96,8087.3
455.31,6553.1
455.66,6216.1
456.01,7787
456.36,6260.5
456.72,5894.2
457.07,7592.7
457.42,10007
457.77,8844.9
458.12,5721.4
458.47,7116
458.82,9378.1
459.17,6941.6
459.52,7049.7
459.87,34570
460.22,5874.7
460.57,7032.9
460.92,5950.8
461.27,7936.8
461.62,6466.1
461.97,5802.6
462.32,11660
462.67,10404
463.02,13169
463.38,13326
463.73,8675.6
464.08,11863
464.43,7452.7
464.78,5487
465.12,7984.7
465.47,8368.2
465.82,29678
466.17,6366.3
466.52,8428.7
466.87,6124.4
467.22,5803.7
467.57,5142.5
467.92,7585.3
468.27,10647
468.62,14496
468.97,6602.7
469.32,5216.7
469.67,15148
470.02,13719
470.37,5973.8
470.72,7339.5
471.07,5241.6
471.42,6494.2
471.76,6673.6
472.11,6510.6
472.46,8248
472.81,14576
473.16,6628
473.51,5858
473.86,5118.4
474.21,6412.7
474.56,6227
474.9,6071.4
475.25,9480.7
475.6,8608.9
475.95,5898.5
476.3,10878
476.65,9957.8
477,14524
477.34,10837
477.69,5494.8
478.04,9046.6
478.39,7114.1
478.74,5682.4
479.09,4988.5
479.43,20422
479.78,5194.8
480.13,12582
480.48,9839.2
480.83,7174.1
481.17,5350.9
481.52,7520.1
481.87,6420.1
482.22,11558
482.57,6531.3
482.91,8874.1
483.26,7712.1
483.61,6338.6
483.96,7276.7
484.3,64786
484.65,9763.5
485,5642.6
485.35,6573.4
485.69,5776.1
486.04,6402.9
486.39,7468.3
486.74,7416
487.08,5217.8
487.43,7716.7
487.78,4915.1
488.12,8063.9
488.47,5976.2
488.82,10211
489.17,5768.3
489.51,5083.3
489.86,7791.3
490.21,5059.8
490.55,7534.6
490.9,5223.3
491.25,6182.1
491.59,5406.2
491.94,12280
492.29,6180.6
492.63,6874.5
492.98,4718.1
493.33,7098.1
493.67,6135.7
494.02,5393.4
494.37,5438.6
494.71,8085
495.06,6017.9
495.4,10274
495.75,5844.3
496.1,10013
496.44,7834.9
496.79,8096.3
497.13,5644.2
497.48,13904
497.83,9933.2
498.17,8135.7
498.52,5643.4
498.86,8390.4
499.21,7255.7
499.56,5824.8
499.9,6449.7
500.25,5160.9
500.59,6772.3
500.94,7570.1
501.28,8466.5
501.63,9400
501.97,6189.9
502.32,5665.3
502.67,7646.1
503.01,5196.4
503.36,6143.9
503.7,6077.2
504.05,8110
504.39,8889
504.74,6564.8
505.08,10500
505.43,4662.7
505.77,5344.6
506.12,7155.4
506.46,6346.4
506.81,5707.8
507.15,5676.2
507.49,6227
507.84,5698.4
508.18,7432.4
508.53,7144.9
508.87,6926.4
509.22,6354.6
509.56,65535
509.91,18796
510.25,6960.8
510.6,4871
510.94,10229
511.28,4855.8
511.63,9155
511.97,7470.6
512.32,8744.2
512.66,5716.8
513,6891.3
513.35,9099.2
513.69,5675.8
514.04,8110.7
514.38,8505.1
514.72,7408.6
515.07,5692.2
515.41,5663.3
515.76,5752.3
516.1,7597.8
516.44,8640.5
516.79,5984.4
517.13,5271.7
517.47,9066.8
517.82,7159.7
518.16,7893.5
518.5,7126.2
518.85,7265.8
519.19,10008
519.53,13115
519.88,8886.2
520.22,6416.2
520.56,6900.3
520.91,4993.9
521.25,5423.4
521.59,6658
521.93,7630.5
522.28,6443.5
522.62,6850
522.96,8966.2
523.31,6429.5
523.65,7719.5
523.99,8375.2
524.33,11118
524.68,7976.2
525.02,5305.6
525.36,7560.3
525.7,5075.4
526.05,5863.4
526.39,5440.2
526.73,8093.2
527.07,7105.1
527.41,10389
527.76,5652.4
528.1,6674
528.44,7449.1
528.78,6559.3
529.12,8318.7
529.47,6408.8
529.81,8889.7
530.15,9028.2
530.49,8029.6
530.83,4918.2
531.18,5451.5
531.52,6500.8
531.86,5226.8
532.2,6874.2
532.54,9347.7
