wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,-0
203.36,-0
203.74,-0
204.12,-0
204.49,-0
204.87,-0
205.25,-0
205.63,-0
206,-0
206.38,-0
206.76,-0
207.14,-0
207.51,-0
207.89,-0
208.27,-0
208.64,-0
209.02,-0
209.4,-0
209.77,-0
210.15,-2.355e+13
210.53,-4.752e+13
210.9,-7.9985e+13
211.28,-1.358e+14
211.66,-1.358e+14
212.03,-1.358e+14
212.41,-9.92e+13
212.79,-8.5048e+13
213.16,-8.5048e+13
213.54,-9.92e+13
213.92,-9.92e+13
214.29,-1.0677e+14
214.67,-1.1263e+14
215.05,-9.3939e+13
215.42,-1.0912e+14
215.8,-1.2024e+14
216.17,-1.2024e+14
216.55,-1.2024e+14
216.93,-1.1606e+14
217.3,-1.1606e+14
217.68,-1.1606e+14
218.05,-1.1606e+14
218.43,-1.091e+14
218.81,-1.091e+14
219.18,-9.476e+13
219.56,-8.2078e+13
219.93,-8.0696e+13
220.31,-6.8123e+13
220.69,-5.9875e+13
221.06,-5.8172e+13
221.44,-5.8172e+13
221.81,-5.9875e+13
222.19,-5.9845e+13
222.56,-6.8123e+13
222.94,-6.8123e+13
223.32,-5.9845e+13
223.69,-7.7438e+13
224.07,-7.8893e+13
224.44,-7.8893e+13
224.82,-8.0857e+13
225.19,-8.0857e+13
225.57,-8.0857e+13
225.94,-8.0857e+13
226.32,-9.2387e+13
226.69,-6.3015e+13
227.07,-7.5845e+13
227.44,-7.5845e+13
227.82,-7.5845e+13
228.19,-9.0904e+13
228.57,-9.0904e+13
228.94,-7.2488e+13
229.32,-7.2488e+13
229.69,-9.0904e+13
230.07,-7.2488e+13
230.44,-7.2488e+13
230.82,-7.668e+13
231.19,-5.7936e+13
231.57,-6.1481e+13
231.94,-5.6678e+13
232.32,-5.6678e+13
232.69,-5.1497e+13
233.07,-5.1497e+13
233.44,-4.6316e+13
233.82,-4.4507e+13
