wavelength,intensity
178.76,-14.82
179.14,-14.82
179.52,-14.82
179.9,38.618
180.28,-277.36
180.66,-200.51
181.04,-205.97
181.42,-81.138
181.8,-66.703
182.18,-232.88
182.55,-154.86
182.93,-91.28
183.31,-122.88
183.69,-259.8
184.07,-200.12
184.45,-95.182
184.83,-137.31
185.21,-160.72
185.59,-43.298
185.97,-519.6
186.35,-260.58
186.72,-178.66
187.1,-94.793
187.48,-360.83
187.86,-122.49
188.24,-107.28
188.62,-50.712
189,-315.98
189.38,-144.72
189.75,-204.02
190.13,-181.39
190.51,-108.05
190.89,-463.03
191.27,-375.65
191.65,-171.64
192.03,-161.89
192.4,-284.37
192.78,-143.94
193.16,-177.88
193.54,-363.17
193.92,-127.56
194.3,-1.5617
194.67,-180.22
195.05,-187.63
195.43,-111.18
195.81,-108.84
196.19,-241.08
196.56,-247.32
196.94,-91.672
197.32,-345.62
197.7,-167.74
198.08,-117.42
198.45,-126
198.83,-149.01
199.21,-98.305
199.59,-389.31
199.97,-125.22
200.34,-112.35
200.72,-157.6
201.1,-376.43
201.48,-220.4
201.85,-120.15
202.23,-56.172
202.61,-103.77
202.99,-460.7
203.36,-43.69
203.74,-173.59
204.12,-171.25
204.49,-147.84
204.87,-150.97
205.25,-198.94
205.63,-95.963
206,-78.798
206.38,-167.74
206.76,-219.62
207.14,-73.337
207.51,-68.265
207.89,-247.71
208.27,-90.892
208.64,-17.947
209.02,-99.863
209.4,-15.607
209.77,-98.692
210.15,-1153.9
210.53,-118.2
210.9,-252.39
211.28,-35.497
211.66,-264.48
212.03,-38.617
212.41,-92.842
212.79,-147.84
213.16,-52.27
213.54,-74.507
213.92,-81.528
214.29,-13.652
214.67,-123.27
215.05,-202.46
215.42,-156.04
215.8,-106.49
216.17,-131.85
216.55,-72.945
216.93,-129.9
217.3,-184.51
217.68,-90.89
218.05,-136.92
218.43,-127.16
218.81,-182.95
219.18,-214.55
219.56,-33.158
219.93,-76.845
220.31,-71.777
220.69,-119.76
221.06,-105.71
221.44,-86.99
221.81,-80.75
222.19,-19.503
222.56,-89.332
222.94,-189.19
223.32,-176.32
223.69,-84.647
224.07,-157.99
224.44,-276.57
224.82,-53.443
225.19,-205.97
225.57,-107.28
225.94,-62.413
226.32,-119.37
226.69,-231.32
227.07,-344.06
227.44,-37.057
227.82,-237.57
228.19,-105.32
228.57,-176.32
228.94,-381.51
229.32,-120.93
229.69,-204.8
230.07,-99.083
230.44,-126
230.82,-347.18
231.19,-257.46
231.57,-129.51
231.94,-92.06
232.32,-341.72
232.69,-104.93
233.07,-159.94
233.44,-117.42
233.82,-114.69
234.19,-84.647
234.57,-223.13
234.94,-47.59
235.31,-6.2417
235.69,-139.26
236.06,-141.99
236.44,-180.22
236.81,-31.597
237.19,-58.125
237.56,-317.53
237.93,-112.74
238.31,-20.282
238.68,-157.21
239.06,-221.96
239.43,-168.52
239.81,-202.46
240.18,-31.985
240.55,-125.61
240.93,-340.55
241.3,7.0217
241.67,-74.505
242.05,-125.22
242.42,-210.26
242.8,-26.917
243.17,-130.29
243.54,-133.02
243.92,-198.56
244.29,-140.43
244.66,-59.293
245.04,-192.7
245.41,-394.38
245.78,-113.12
246.16,-175.54
246.53,-155.64
246.9,-44.08
247.28,-428.32
247.65,-32.767
248.02,-124.05
248.4,-94.01
248.77,-120.15
249.14,-244.2
249.52,-82.7
249.89,-107.28
250.26,-32.768
250.64,-117.41
251.01,-463.43
251.38,-58.905
251.75,-82.698
252.13,-70.997
252.5,-77.237
252.87,-197
253.25,-118.2
253.62,-33.157
253.99,-33.547
254.36,-134.97
254.74,-30.427
255.11,-34.718
255.48,-26.527
255.85,-287.5
256.23,-59.685
256.6,-69.047
256.97,-120.93
257.34,-80.358
257.71,-26.913
258.09,18.333
258.46,49.93
258.83,-210.26
259.2,-99.47
259.58,-66.703
259.95,-40.178
260.32,-99.865
260.69,-12.87
261.06,-138.48
261.44,5.85
261.81,-153.31
262.18,22.233
262.55,-58.903
262.92,-47.978
263.29,-14.432
263.67,-2.34
264.04,-69.823
264.41,67.097
264.78,40.958
265.15,-65.925
265.52,-208.7
265.9,-126.39
266.27,-16.775
266.64,64.755
267.01,56.175
267.38,-29.647
267.75,3.5083
268.12,74.897
268.5,17.555
268.87,12.483
269.24,126.39
269.61,74.507
269.98,-21.845
270.35,-31.987
270.72,51.488
271.09,22.625
271.46,29.65
271.83,1.95
272.21,-15.603
272.58,186.85
272.95,160.33
273.32,142.77
273.69,179.83
274.06,94.792
274.43,200.51
274.8,115.07
275.17,-4.6817
275.54,607.37
275.91,129.12
276.28,181.78
276.65,47.2
277.02,33.938
277.39,224.69
277.76,205.19
278.13,106.1
278.5,126.39
278.87,51.102
279.24,145.89
279.61,111.57
279.98,251.61
280.35,376.82
280.72,174.37
281.09,283.99
281.46,205.97
281.83,385.41
282.2,216.11
282.57,258.24
282.94,196.61
283.31,291.4
283.68,225.08
284.05,465.77
284.42,315.19
284.79,340.16
285.16,431.44
285.53,394.77
285.9,466.94
286.27,133.8
286.64,404.13
287.01,402.18
287.38,334.69
287.75,-521.94
288.12,230.93
288.49,29.648
288.86,311.68
289.23,368.63
289.59,417.39
289.96,436.51
290.33,488.39
290.7,496.97
291.07,397.11
291.44,396.72
291.81,497.36
292.18,494.63
292.55,381.9
292.91,184.51
293.28,332.36
293.65,202.07
294.02,291.4
294.39,346.79
294.76,304.27
295.13,405.69
295.5,424.03
295.86,369.02
296.23,516.09
296.6,606.98
296.97,637.8
297.34,604.25
297.71,433
298.07,415.84
298.44,453.67
298.81,373.71
299.18,301.54
299.55,222.74
299.91,363.95
300.28,-184.12
300.65,388.53
301.02,384.63
301.39,455.62
301.75,292.96
302.12,557.83
302.49,540.28
302.86,527.4
303.23,505.94
303.59,551.58
303.96,126.39
304.33,367.85
304.7,26.915
305.06,312.46
305.43,182.56
305.8,267.6
306.17,267.21
306.53,358.11
306.9,292.56
307.27,350.69
307.64,241.85
308,399.84
308.37,518.43
308.74,399.06
309.11,466.16
309.47,539.1
309.84,498.93
310.21,417.4
310.57,274.23
310.94,395.94
311.31,228.2
311.67,247.71
312.04,312.07
312.41,121.71
312.77,228.2
313.14,340.55
313.51,225.86
313.87,338.21
314.24,278.52
314.61,344.84
314.97,329.23
315.34,496.19
315.71,513.36
316.07,338.21
316.44,356.55
316.81,214.94
317.17,295.69
317.54,-107.28
317.91,230.93
318.27,196.22
318.64,218.84
319,59.292
319.37,260.19
319.74,198.95
320.1,248.48
320.47,230.54
320.83,78.017
321.2,184.51
321.57,278.92
321.93,269.16
322.3,159.55
322.66,338.99
323.03,159.55
323.4,227.03
