wavelength,intensity
178.76,1789.7
179.14,1789.7
179.52,1789.7
179.9,1804.9
180.28,10267
180.66,9280.2
181.04,9149.5
181.42,7193.2
181.8,6062.4
182.18,10361
182.55,5627
182.93,7077.4
183.31,6792.2
183.69,7533
184.07,7840.4
184.45,6787.2
184.83,7025.5
185.21,6317.1
185.59,6564
185.97,15338
186.35,11402
186.72,6792.2
187.1,7057.5
187.48,10958
187.86,8705.6
188.24,6445.4
188.62,6049.5
189,10361
189.38,7664.5
189.75,7606.7
190.13,7639.9
190.51,6117.8
190.89,14198
191.27,19935
191.65,6753.2
192.03,7492.1
192.4,9779.5
192.78,7327.8
193.16,8417
193.54,11599
193.92,10394
194.3,6533.2
194.67,9157.3
195.05,8031.5
195.43,7121.5
195.81,6713
196.19,10175
196.56,7411.3
196.94,7083.2
197.32,11050
197.7,6345.6
198.08,8294.9
198.45,6475.1
198.83,7298.2
199.21,6600.7
199.59,11617
199.97,7821.7
200.34,5743.3
200.72,6424.8
201.1,13345
201.48,9474.9
201.85,6185.6
202.23,6686.5
202.61,6275.4
202.99,15088
203.36,6382.3
203.74,8685.7
204.12,7059.1
204.49,6303.1
204.87,8464.5
205.25,6916.7
205.63,5622.7
206,6257
206.38,7583.3
206.76,9120.3
207.14,6388.9
207.51,5787.8
207.89,10231
208.27,6191.5
208.64,5302.1
209.02,6461.8
209.4,6817.2
209.77,5538.5
210.15,13951
210.53,5777.2
210.9,10770
211.28,6067.1
211.66,11505
212.03,6361.2
212.41,5634.4
212.79,6855.8
213.16,5793.2
213.54,7392.6
213.92,7641.9
214.29,5438.2
214.67,6371.3
215.05,6550.4
215.42,8932.3
215.8,6553.9
216.17,6493.4
216.55,7562.3
216.93,5641.1
217.3,8578.5
217.68,6188.4
218.05,6450.5
218.43,6316.3
218.81,6569.1
219.18,10592
219.56,6565.2
219.93,6380.3
220.31,6367.4
220.69,5725.3
221.06,5968
221.44,7417.2
221.81,6029.6
222.19,5626.3
222.56,5916.1
222.94,6536.3
223.32,7279.1
223.69,6107.6
224.07,8560.9
224.44,9423
224.82,7306.4
225.19,8137.3
225.57,7235.8
225.94,6524.6
226.32,7021.2
226.69,11729
227.07,11437
227.44,6673.6
227.82,7558.4
228.19,6760.2
228.57,8325.7
228.94,10930
229.32,9134.7
229.69,8519.9
230.07,6567.5
230.44,6013.6
230.82,10341
231.19,8991.9
231.57,5447.6
231.94,5652.8
232.32,14343
232.69,6990.4
233.07,7195.2
233.44,6651
233.82,6712.3
234.19,7197.1
234.57,9588.8
234.94,6273.4
235.31,6540.2
235.69,6933.1
236.06,7237.3
236.44,8266
236.81,5758.9
237.19,7629.8
237.56,11086
237.93,6193.1
238.31,7469.8
238.68,6695.9
239.06,7234.2
239.43,8417.7
239.81,7752.2
240.18,5823.6
240.55,6046
240.93,12112
241.3,7538.1
241.67,6953.7
242.05,8260.1
242.42,9155
242.8,5754.2
243.17,7478.4
243.54,7417.2
243.92,8826.9
244.29,6869.1
244.66,7369.6
