wavelength,intensity
178.76,1791.6
179.14,1791.6
179.52,1791.6
179.9,1756.5
180.28,10571
180.66,9559.8
181.04,9377.7
181.42,7298.6
181.8,6198.2
182.18,10645
182.55,5800.7
182.93,7209.5
183.31,6945.4
183.69,7791.4
184.07,8069.5
184.45,6875.6
184.83,7183.1
185.21,6461.6
185.59,6642
185.97,15968
186.35,11683
186.72,6989.3
187.1,7156.1
187.48,11341
187.86,8881.1
188.24,6571.8
188.62,6148.6
189,10674
189.38,7790.8
189.75,7850.2
190.13,7827.2
190.51,6237.5
190.89,14703
191.27,20411
191.65,6939.5
192.03,7684
192.4,10099
192.78,7502.7
193.16,8624.2
193.54,12025
193.92,10586
194.3,6585.4
194.67,9380.4
195.05,8247.4
195.43,7235.4
195.81,6866.7
196.19,10484
196.56,7679.7
196.94,7205.9
197.32,11442
197.7,6529.2
198.08,8424.7
198.45,6638
198.83,7465.2
199.21,6719
199.59,12048
199.97,7961.2
200.34,5852.8
200.72,6551.8
201.1,13769
201.48,9715.8
201.85,6316.5
202.23,6796.3
202.61,6400.1
202.99,15641
203.36,6453.3
203.74,8867.2
204.12,7256.7
204.49,6437.8
204.87,8659.3
205.25,7103.1
205.63,5723.5
206,6345.4
206.38,7749.9
206.76,9402.1
207.14,6497.3
207.51,5872
207.89,10506
208.27,6274.3
208.64,5327.9
209.02,6539.5
209.4,6869
209.77,5634.7
210.15,15045
210.53,5888.8
210.9,11024
211.28,6131.8
211.66,11834
212.03,6452.2
212.41,5740.5
212.79,7045
213.16,5883.3
213.54,7518
213.92,7751.4
214.29,5484.1
214.67,6513.7
215.05,6762
215.42,9114.3
215.8,6712.4
216.17,6637.8
216.55,7684
216.93,5784.1
217.3,8780.8
217.68,6292.6
218.05,6635.8
218.43,6450.1
218.81,6741.2
219.18,10854
219.56,6631.8
219.93,6494.3
220.31,6449
220.69,5846.2
221.06,6079.4
221.44,7567.4
221.81,6133.7
222.19,5659.2
222.56,6015.4
222.94,6764.8
223.32,7491.6
223.69,6242
224.07,8718.9
224.44,9744.1
224.82,7399.7
225.19,8324.6
225.57,7377.6
225.94,6594.4
226.32,7175.7
226.69,12013
227.07,11810
227.44,6717.5
227.82,7768.2
228.19,6906.5
228.57,8544.4
228.94,11396
229.32,9347
229.69,8763.6
230.07,6666.7
230.44,6121.6
230.82,10676
231.19,9263.6
231.57,5589
231.94,5736
232.32,14794
232.69,7142.7
233.07,7394.8
233.44,6807.1
233.82,6817.6
234.19,7332.3
234.57,9825.8
234.94,6326.9
235.31,6597.3
235.69,7110.1
236.06,7386.1
236.44,8450.4
236.81,5814.1
237.19,7717.6
237.56,11455
237.93,6307.7
238.31,7539.9
238.68,6852.2
239.06,7475
239.43,8615.3
239.81,7983.8
240.18,5905
240.55,6172.4
240.93,12522
241.3,7555
241.67,7028.8
242.05,8441.5
242.42,9376
242.8,5787.1
243.17,7647.4
243.54,7587.4
243.92,9059.6
244.29,7014.2
244.66,7440.8
245.04,9912
245.41,15660
245.78,5906.4
246.16,6732.9
246.53,8596.6
246.9,6929.7
247.28,12948
247.65,6833.3
248.02,7003.5
248.4,9691.9
248.77,7416.1
249.14,8226.8
249.52,6779.9
249.89,8308.5
250.26,6194.1
250.64,7372.9
251.01,15791
251.38,5755.8
251.75,7244.4
252.13,6620.9
252.5,8892.5
252.87,13011
253.25,5870.7
253.62,7734.2
253.99,5715.6
254.36,9144.7
254.74,6464.6
255.11,6026.2
255.48,5507.3
255.85,13891
256.23,5662.4
256.6,5344.1
256.97,6739.5
257.34,8028.9
257.71,7456.3
258.09,6866.9
258.46,7586.3
258.83,11181
259.2,9447.3
259.58,6903.1
259.95,7197.6
260.32,9139.4
260.69,5889.4
261.06,10783
261.44,6155.4
261.81,12718
262.18,7644.4
262.55,6305
262.92,7109.7
263.29,6457.1
263.67,5707.9
264.04,6510.7
264.41,6698
264.78,6345
265.15,10040
265.52,12165
265.9,7345.9
266.27,6304.1
266.64,5648.1
267.01,5423.7
267.38,7861.6
267.75,6053.1
268.12,5262.8
268.5,6855.6
268.87,6206
269.24,5763.3
269.61,7539.7
269.98,8083.6
270.35,7781.6
270.72,6012.2
271.09,6807.6
271.46,6505.6
271.83,7761
272.21,8960.4
272.58,5873.3
272.95,6215
273.32,7194.6
273.69,7104
274.06,5559.6
274.43,6103.7
274.8,6917.1
275.17,7691.2
275.54,15369
275.91,7268.9
276.28,7146.9
276.65,7470.4
277.02,10864
277.39,6102.6
277.76,6049.6
278.13,8212.5
278.5,8526.1
278.87,10086
279.24,8843
279.61,8186.3
279.98,11135
280.35,6268.6
280.72,7343.5
281.09,6909.5
281.46,7222
281.83,6017.9
282.2,7684.4
282.57,6340.7
282.94,7845.3
283.31,6400.9
283.68,7622.1
284.05,5547.1
284.42,5403.9
284.79,7455.5
285.16,8219.7
285.53,7036.7
285.9,7043.3
286.27,14260
286.64,5470.3
287.01,6109
287.38,8223.8
287.75,58060
288.12,8342.3
288.49,16022
288.86,5879
289.23,5961.6
289.59,6068.8
289.96,5800.9
290.33,6239.2
290.7,6466.1
291.07,8208.3
291.44,7647
291.81,5837.9
292.18,7091.4
292.55,6492.9
292.91,12281
293.28,8103.4
293.65,10545
294.02,7625.5
294.39,5472.2
294.76,6847.3
295.13,7118.2
295.5,6829.5
295.86,6870.1
296.23,6339.7
296.6,5697.9
296.97,6306
297.34,6849.3
297.71,8645.7
298.07,7105
298.44,5286.6
298.81,7675.7
299.18,7226.1
299.55,10247
299.91,6802.2
300.28,8022.1
300.65,5331.5
301.02,7380.8
301.39,7881
301.75,12957
302.12,7979.3
302.49,6831.2
302.86,10089
303.23,7152.9
303.59,5772.2
303.96,16572
304.33,9370.7
304.7,14363
305.06,6397.3
305.43,9911.1
305.8,8032.1
306.17,8793.6
306.53,6201.4
306.9,9171.1
307.27,7065.9
307.64,10278
308,6338.6
308.37,6436.9
308.74,11659
309.11,8641.3
309.47,6126.7
309.84,5420.5
310.21,6911
310.57,7288.6
310.94,6489
311.31,7109.1
311.67,7575.2
312.04,5394.3
312.41,9533.6
312.77,7890.2
313.14,6096.2
313.51,6784.4
313.87,6360.1
314.24,6257.5
314.61,6293.5
314.97,6407.5
315.34,7054.2
315.71,5428.3
316.07,8810.8
316.44,5766
316.81,8477.8
317.17,6068.6
317.54,14947
317.91,6263.5
318.27,5294.9
318.64,6633.5
319,8593
319.37,5398.1
319.74,9037.9
320.1,9258.3
320.47,6459.9
320.83,10596
321.2,6840.3
321.57,5870.5
321.93,6406.3
322.3,7293.7
322.66,6088.4
323.03,8469.3
323.4,7781
323.76,6317.5
324.13,6286.7
324.49,5355.8
324.86,18132
325.22,7282.3
325.59,6770.3
325.95,7622.1
326.32,9116.8
326.68,8835.7
327.05,6815.4
327.42,5905.4
327.78,6320.5
328.15,9099.6
328.51,6345.2
328.88,7149.7
329.24,10778
329.61,7052.9
329.97,8417
330.34,6265.8
330.7,7150.3
331.07,10416
331.43,8435.1
331.8,12810
332.16,9938.1
332.52,5990.7
332.89,8002.7
333.25,5393.9
333.62,11997
333.98,7306.3
334.35,6067.7
334.71,7135.7
335.08,5696
335.44,11612
335.81,11561
336.17,9788.1
336.53,6982
336.9,5821.6
337.26,8247.2
337.63,13510
337.99,7622.7
338.36,5836
338.72,8663.6
339.08,7262
339.45,5710.1
339.81,9246
340.18,6580.1
340.54,10064
340.9,6207.5
341.27,6776.5
341.63,8088.7
341.99,5186.2
342.36,10129
342.72,5767.5
343.09,10223
343.45,6200.7
343.81,10325
344.18,5461.7
344.54,6866.1
344.9,7578.9
345.27,7199.3
345.63,6794.8
345.99,8597.9
346.36,7122.7
346.72,5814.5
347.08,5915.2
347.45,5411.5
347.81,9638.3
348.17,7394
348.54,5593.9
348.9,8744
349.26,9369.8
349.62,10418
349.99,5295.4
350.35,5111.9
350.71,7619.5
351.08,7045
351.44,5116.6
351.8,12949
352.16,11262
352.53,5956
352.89,8483.2
353.25,10807
353.61,6482.4
353.98,8385.9
354.34,9890.9
354.7,6328.4
355.06,5826.4
355.43,7066.9
355.79,6630.5
356.15,6515
356.51,5819.8
356.88,5965.8
357.24,6638.4
357.6,5408.8
357.96,5150.7
358.32,15505
358.69,5377.3
359.05,7795.7
359.41,7295
359.77,5683
360.13,6019
360.49,5959.4
360.86,8678.7
361.22,11051
361.58,7521
361.94,10714
362.3,5765.2
362.66,8163.6
363.03,5199
363.39,5146.4
363.75,6115.4
364.11,9777.7
364.47,6140.7
364.83,10354
365.19,7453.3
365.56,8661.9
365.92,5243.7
366.28,8377
366.64,9613.9
367,5347.1
367.36,5340.3
367.72,9646.8
368.08,9159.8
368.44,6336.9
368.8,8092.7
369.17,6365.4
369.53,6605.4
369.89,5903
370.25,5962.2
370.61,6083.5
370.97,10393
371.33,6258.4
371.69,12360
372.05,8100
