wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,-0
203.36,-0
203.74,-0
204.12,-0
204.49,-0
204.87,-0
205.25,-0
205.63,-0
206,-0
206.38,-0
206.76,-0
207.14,-0
207.51,-0
207.89,-0
208.27,-0
208.64,-0
209.02,-0
209.4,-0
209.77,-0
210.15,-3.1479e+13
210.53,-7.6516e+13
210.9,-8.3422e+13
211.28,-1.3035e+14
211.66,-1.3035e+14
212.03,-1.3469e+14
212.41,-1.0257e+14
212.79,-9.4411e+13
213.16,-9.4411e+13
213.54,-1.0106e+14
213.92,-1.0106e+14
214.29,-1.0488e+14
214.67,-1.0488e+14
215.05,-1.0106e+14
215.42,-1.0488e+14
215.8,-1.1719e+14
216.17,-1.1567e+14
216.55,-1.1823e+14
216.93,-1.1823e+14
217.3,-1.1212e+14
217.68,-1.1212e+14
218.05,-1.068e+14
218.43,-1.068e+14
218.81,-1.068e+14
219.18,-9.5267e+13
219.56,-8.2691e+13
219.93,-7.6592e+13
220.31,-6.4071e+13
220.69,-5.6721e+13
221.06,-5.2791e+13
221.44,-5.2791e+13
221.81,-5.6721e+13
222.19,-5.6721e+13
222.56,-6.3194e+13
222.94,-6.3194e+13
223.32,-6.4143e+13
223.69,-7.9171e+13
224.07,-7.9764e+13
224.44,-7.9764e+13
224.82,-7.9764e+13
225.19,-7.9764e+13
225.57,-7.9764e+13
225.94,-7.9764e+13
226.32,-7.3601e+13
226.69,-6.4736e+13
227.07,-7.3601e+13
227.44,-7.3601e+13
227.82,-7.6135e+13
228.19,-8.0309e+13
228.57,-8.0309e+13
228.94,-7.6135e+13
229.32,-7.6135e+13
229.69,-8.0309e+13
230.07,-7.6448e+13
230.44,-7.6448e+13
230.82,-7.6448e+13
231.19,-6.3075e+13
231.57,-6.1368e+13
231.94,-5.2216e+13
232.32,-5.2216e+13
232.69,-5.2216e+13
233.07,-5.2216e+13
233.44,-4.9679e+13
