wavelength,intensity
178.76,-3.6173
179.14,-3.6173
179.52,-3.6173
179.9,24.468
180.28,-227.88
180.66,-211.5
181.04,-211.5
181.42,-93.621
181.8,-104.68
182.18,-214.27
182.55,-76.6
182.93,-136.39
183.31,-121.28
183.69,-230.43
184.07,-207.88
184.45,-80.855
184.83,-135.75
185.21,-132.99
185.59,-74.685
185.97,-506.19
186.35,-246.4
186.72,-175.12
187.1,-101.92
187.48,-262.78
187.86,-162.77
188.24,-124.26
188.62,-61.918
189,-252.57
189.38,-78.088
189.75,-192.56
190.13,-164.26
190.51,-75.96
190.89,-408.1
191.27,-390.44
191.65,-165.33
192.03,-132.13
192.4,-209.79
192.78,-153.62
193.16,-194.69
193.54,-342.14
193.92,-192.99
194.3,-58.515
194.67,-186.61
195.05,-153.2
195.43,-123.84
195.81,-125.33
196.19,-200.43
196.56,-180.22
196.94,-78.302
197.32,-287.25
197.7,-140.22
198.08,-86.814
198.45,-135.96
198.83,-116.6
199.21,-81.069
199.59,-351.72
199.97,-120.43
200.34,-111.71
200.72,-95.537
201.1,-379.8
201.48,-186.39
201.85,-111.92
202.23,-105.75
202.61,-77.453
202.99,-441.09
203.36,-64.896
203.74,-101.92
204.12,-150.22
204.49,-114.05
204.87,-146.6
205.25,-162.35
205.63,-79.579
206,-83.408
206.38,-119.58
206.76,-244.05
207.14,-75.535
207.51,-82.771
207.89,-221.71
208.27,-66.813
208.64,-29.365
209.02,-80.005
209.4,-48.301
209.77,-80.641
210.15,-944.51
210.53,-126.39
210.9,-214.48
211.28,-47.448
211.66,-332.36
212.03,-72.555
212.41,-63.621
212.79,-161.92
213.16,-76.599
213.54,-87.876
213.92,-100.43
214.29,-22.341
214.67,-99.365
215.05,-158.94
215.42,-162.77
215.8,-134.26
216.17,-74.258
216.55,-96.813
216.93,-142.77
217.3,-150.22
217.68,-93.834
218.05,-128.73
218.43,-130
218.81,-142.35
219.18,-214.69
219.56,-69.366
219.93,-112.77
220.31,-45.745
220.69,-93.62
221.06,-75.109
221.44,-85.324
221.81,-58.727
222.19,-42.766
222.56,-62.77
222.94,-183.41
223.32,-167.88
223.69,-106.39
224.07,-166.82
224.44,-268.95
224.82,-105.54
225.19,-158.73
225.57,-118.09
225.94,-65.535
226.32,-107.66
226.69,-191.29
227.07,-268.52
227.44,-44.681
227.82,-157.24
228.19,-115.53
228.57,-184.26
228.94,-314.06
229.32,-150.01
229.69,-173.62
230.07,-85.963
230.44,-86.814
230.82,-258.31
231.19,-211.07
231.57,-117.45
231.94,-82.769
232.32,-343
232.69,-129.58
233.07,-168.52
233.44,-121.28
233.82,-83.196
234.19,-96.599
234.57,-167.67
234.94,-41.705
235.31,-42.981
235.69,-109.79
236.06,-116.6
236.44,-160.22
236.81,-52.342
237.19,-64.472
237.56,-288.95
237.93,-99.58
238.31,-59.15
238.68,-112.13
239.06,-184.26
239.43,-176.6
239.81,-191.07
240.18,-54.683
240.55,-80.003
240.93,-320.65
241.3,-11.278
241.67,-38.298
242.05,-140.86
242.42,-189.8
242.8,-14.47
243.17,-132.98
243.54,-152.35
243.92,-197.03
244.29,-106.81
244.66,-42.341
245.04,-201.28
245.41,-361.93
245.78,-79.365
246.16,-144.69
246.53,-97.237
246.9,4.47
247.28,-346.4
247.65,-52.768
248.02,-108.73
248.4,-134.26
248.77,-134.05
249.14,-142.35
249.52,-45.96
249.89,-99.579
250.26,-60.217
250.64,-108.73
251.01,-439.17
251.38,-57.239
251.75,-73.621
252.13,-98.303
252.5,-141.5
252.87,-217.24
253.25,-55.749
253.62,-68.301
253.99,-9.7882
254.36,-130.64
254.74,-21.703
255.11,-14.469
255.48,-45.962
255.85,-316.4
256.23,-13.619
256.6,-23.193
256.97,-15.745
257.34,-70.216
257.71,-89.579
258.09,9.7873
258.46,-49.365
258.83,-205.33
259.2,-111.07
259.58,-38.298
259.95,-34.682
260.32,-23.832
260.69,-7.6591
261.06,-119.37
261.44,3.4045
261.81,-82.985
262.18,-19.364
262.55,-68.515
262.92,-46.595
263.29,-33.618
263.67,3.83
264.04,-45.319
264.41,43.833
264.78,33.831
265.15,-91.282
265.52,-216.18
265.9,-53.619
266.27,0.42636
266.64,39.575
267.01,26.385
267.38,5.5309
267.75,18.722
268.12,33.192
268.5,64.684
268.87,57.451
269.24,85.536
269.61,58.301
269.98,1.7009
270.35,42.98
270.72,87.236
271.09,10.852
271.46,35.536
271.83,-0.85182
272.21,11.916
272.58,122.13
272.95,138.95
273.32,111.5
273.69,178.31
274.06,71.706
274.43,164.9
274.8,122.13
275.17,4.6809
275.54,-435.34
275.91,108.94
276.28,165.54
276.65,42.555
277.02,26.385
277.39,213.63
277.76,186.39
278.13,96.598
278.5,142.56
278.87,81.705
279.24,205.33
279.61,148.73
279.98,179.16
280.35,344.91
280.72,247.46
281.09,267.03
281.46,239.16
281.83,331.08
282.2,247.67
282.57,253.42
282.94,243.84
283.31,276.4
283.68,233.42
284.05,426.4
284.42,342.14
284.79,365.98
285.16,376.61
285.53,389.38
285.9,480.45
286.27,167.24
286.64,407.25
287.01,406.4
287.38,320.65
287.75,-547.9
288.12,277.88
288.49,60.428
288.86,303.42
289.23,371.29
289.59,425.34
289.96,475.13
290.33,479.81
290.7,515.98
291.07,441.72
291.44,464.49
291.81,545.56
292.18,514.92
292.55,396.83
292.91,265.76
293.28,287.67
293.65,242.99
294.02,270.23
294.39,361.72
294.76,341.29
295.13,419.59
295.5,457.68
295.86,447.04
296.23,497.04
296.6,593.86
296.97,590.03
297.34,585.77
297.71,477.26
298.07,428.32
298.44,445.55
298.81,397.04
299.18,304.91
299.55,250.65
299.91,333.84
300.28,190.65
300.65,399.17
301.02,391.72
301.39,449.38
301.75,322.36
302.12,510.88
302.49,563.01
302.86,568.54
303.23,521.3
303.59,571.3
303.96,180.65
304.33,345.55
304.7,117.88
305.06,357.46
305.43,240.65
305.8,309.38
306.17,269.8
306.53,355.55
306.9,267.03
307.27,369.38
307.64,335.33
308,433
308.37,512.58
308.74,391.93
309.11,461.3
309.47,540.02
309.84,521.51
310.21,412.79
310.57,302.99
310.94,358.53
311.31,258.52
311.67,278.1
312.04,319.38
312.41,125.11
312.77,235.55
313.14,357.25
313.51,252.14
313.87,340.02
314.24,339.59
314.61,340.87
314.97,375.55
315.34,392.78
315.71,491.3
316.07,320.44
316.44,345.34
316.81,214.48
317.17,299.38
317.54,-47.025
317.91,260.22
318.27,228.52
318.64,231.5
319,110.64
319.37,257.24
319.74,192.14
320.1,186.82
320.47,250.01
320.83,76.597
321.2,185.11
321.57,280.65
321.93,259.8
322.3,224.48
322.66,364.06
323.03,124.9
323.4,163.84
323.76,187.03
324.13,176.82
324.49,242.78
324.86,-158.94
325.22,31.703
325.59,187.24
325.95,103.62
326.32,136.82
326.68,157.67
327.05,65.322
327.42,237.67
327.78,150.86
328.15,31.916
328.51,168.52
328.88,198.52
329.24,19.575
329.61,89.792
329.97,59.366
330.34,103.2
330.7,102.13
331.07,-27.234
331.43,-19.365
331.8,-100.43
332.16,-44.685
332.52,76.812
332.89,17.023
333.25,74.896
333.62,-24.895
333.98,264.27
334.35,133.2
334.71,38.513
335.08,143.41
335.44,-48.937
335.81,-30.215
336.17,44.471
336.53,56.811
336.9,69.365
337.26,-17.021
337.63,-123.41
337.99,-51.493
338.36,103.62
338.72,-49.786
339.08,3.6191
339.45,17.874
339.81,-25.108
340.18,68.514
340.54,-52.767
340.9,24.253
341.27,10.213
341.63,-40.001
341.99,93.196
342.36,-117.45
342.72,97.452
343.09,-134.47
343.45,36.598
343.81,-107.45
344.18,94.258
344.54,-49.575
344.9,-54.896
345.27,-36.809
345.63,28.725
345.99,-51.066
346.36,-36.811
346.72,-15.319
347.08,12.978
347.45,28.723
347.81,-147.24
348.17,-52.982
348.54,8.0845
348.9,-53.194
349.26,-91.922
349.62,-174.48
349.99,11.064
350.35,69.788
350.71,-95.325
351.08,-88.938
351.44,8.9391
351.8,-240.65
352.16,-211.29
352.53,-33.833
352.89,-279.8
353.25,-160.86
353.61,-62.555
353.98,-74.472
354.34,-257.46
354.7,-32.129
355.06,0.21182
355.43,-35.321
355.79,-76.603
356.15,-46.809
356.51,-32.129
356.88,-47.235
357.24,-92.556
357.6,28.936
357.96,-5.5309
358.32,-365.12
358.69,-7.6609
359.05,-107.24
359.41,-60.855
359.77,1.9164
360.13,34.683
360.49,-81.494
360.86,-130.65
361.22,-174.26
361.58,-88.726
361.94,-245.76
362.3,-77.452
362.66,-89.579
363.03,-27.023
363.39,46.81
363.75,-84.896
364.11,-231.71
364.47,-47.448
364.83,-222.14
365.19,-173.84
365.56,-177.24
365.92,34.895
366.28,-132.56
366.64,-153.62
367,-40.427
367.36,-51.067
367.72,-239.37
368.08,-165.75
368.44,-61.067
368.8,-105.75
369.17,-83.834
369.53,-98.303
369.89,-75.961
370.25,-65.321
370.61,-111.5
370.97,-153.2
371.33,-46.81
371.69,-262.99
372.05,-125.96
372.41,-67.024
372.77,-76.386
373.13,-85.535
373.49,-27.661
373.85,-102.56
374.21,-170.22
374.57,-79.365
374.93,-138.31
375.29,-198.1
375.65,-135.11
376.01,-134.69
376.37,-183.2
376.73,-125.11
377.09,-49.577
377.45,-90.006
377.81,-75.748
378.17,-69.578
378.53,-43.833
378.89,-168.3
379.25,-193.84
379.61,-316.61
379.97,-223.42
380.33,-127.03
380.69,-72.555
381.05,-61.705
381.41,-159.79
381.77,-92.133
382.13,-148.52
382.49,-354.27
382.85,-29.365
383.21,-85.748
383.57,-16.598
383.93,-129.15
384.28,-8.0855
384.64,-136.81
385,-124.69
385.36,-105.96
385.72,-89.793
386.08,-14.043
386.44,-129.58
386.8,-179.8
387.16,-287.67
387.52,-131.49
387.87,-320.65
388.23,-120.43
388.59,-102.77
388.95,-58.303
389.31,-173.2
389.67,-135.33
390.03,-46.811
390.38,-97.452
390.74,-83.197
391.1,-127.03
391.46,-132.13
391.82,-71.281
392.18,-129.16
392.54,-74.26
392.89,-74.26
393.25,-122.56
393.61,-132.56
393.97,-96.601
394.33,-133.41
394.68,-110.43
395.04,-25.108
395.4,-118.94
395.76,-197.45
396.12,-83.835
396.47,-116.39
396.83,-155.96
397.19,-73.619
397.55,-70.003
397.9,-88.939
398.26,-98.301
398.62,-75.961
398.98,-61.917
399.33,-77.238
399.69,-700.03
400.05,-162.14
400.41,-105.53
400.76,-199.58
401.12,-242.78
401.48,-148.52
401.84,-19.364
402.19,-107.03
402.55,-219.58
402.91,-19.575
403.26,-65.109
403.62,-78.515
403.98,-100
404.34,-21.276
404.69,-58.937
405.05,-222.99
405.41,-263.42
405.76,-66.599
406.12,-51.917
406.48,-148.52
406.83,-44.044
407.19,-167.88
407.55,-118.94
407.9,-290.01
408.26,-99.792
408.62,-205.54
408.97,-118.94
409.33,-66.81
409.68,-44.896
410.04,-129.79
410.4,-53.619
410.75,-137.24
411.11,-103.62
411.47,-188.31
411.82,-95.749
412.18,-102.13
412.53,-120.43
412.89,-93.622
413.25,-154.9
413.6,-125.96
413.96,-22.556
414.31,-82.983
414.67,-69.366
415.03,8.2982
415.38,186.18
415.74,-79.579
416.09,-103.84
416.45,-183.2
416.8,-78.304
417.16,-172.99
417.51,-94.685
417.87,-85.324
418.23,-118.3
418.58,-133.63
418.94,-58.089
419.29,-106.6
419.65,-161.07
420,-191.29
420.36,-152.13
420.71,-163.41
421.07,-77.878
421.42,-143.41
421.78,-180.43
422.13,-97.453
422.49,-128.94
422.84,-153.41
423.2,-43.619
423.55,-85.537
423.91,-64.045
424.26,-319.59
424.61,-108.09
424.97,-204.48
425.32,-94.046
425.68,-81.918
426.03,-167.88
426.39,-205.76
426.74,-139.58
427.1,-125.33
427.45,-112.13
427.8,-132.35
428.16,-88.091
428.51,-106.17
428.87,-99.793
429.22,-200.65
429.58,-113.62
429.93,-179.16
430.28,-89.365
430.64,-75.962
430.99,-44.044
431.35,-160.01
431.7,-122.56
432.05,-164.9
432.41,-138.73
432.76,-53.619
433.11,-108.09
433.47,-59.79
433.82,-241.72
434.17,-115.12
434.53,-187.03
434.88,-251.92
435.24,-80.429
435.59,-152.35
435.94,-54.685
436.3,-121.28
436.65,-66.601
437,35.96
437.35,-390.87
437.71,-87.877
438.06,-77.237
438.41,-68.299
438.77,-237.25
439.12,-73.195
439.47,-55.959
439.83,-121.71
440.18,-82.557
440.53,-83.409
440.88,-264.48
441.24,-94.26
441.59,-31.918
441.94,-84.045
