wavelength,intensity
178.76,1788
179.14,1788
179.52,1788
179.9,1780.9
180.28,10343
180.66,9348.3
181.04,9166.2
181.42,7205
181.8,6093.5
182.18,10431
182.55,5724.1
182.93,7073.1
183.31,6824.1
183.69,7561
184.07,7861.6
184.45,6794.8
184.83,7047.4
185.21,6328.6
185.59,6567.3
185.97,15462
186.35,11437
186.72,6814.2
187.1,7054.2
187.48,11079
187.86,8718.3
188.24,6447.5
188.62,6086.7
189,10422
189.38,7712.7
189.75,7657.6
190.13,7662.9
190.51,6161.6
190.89,14295
191.27,20021
191.65,6774.1
192.03,7551.8
192.4,9889.6
192.78,7349.1
193.16,8429.5
193.54,11683
193.92,10393
194.3,6526.9
194.67,9193.8
195.05,8094.2
195.43,7111.6
195.81,6741.4
196.19,10284
196.56,7499.5
196.94,7127.6
197.32,11155
197.7,6389
198.08,8337.8
198.45,6502
198.83,7348.6
199.21,6638
199.59,11696
199.97,7840.8
200.34,5741.1
200.72,6456.3
201.1,13389
201.48,9529.4
201.85,6204.5
202.23,6690.5
202.61,6322.6
202.99,15199
203.36,6388.4
203.74,8765.3
204.12,7106.5
204.49,6323.7
204.87,8512.7
205.25,6940.8
205.63,5643.9
206,6262
206.38,7630.4
206.76,9158.1
207.14,6421.8
207.51,5789.2
207.89,10284
208.27,6207.5
208.64,5298.5
209.02,6459.5
209.4,6820.7
209.77,5554.1
210.15,14101
210.53,5762.4
210.9,10809
211.28,6084.3
211.66,11502
212.03,6379.7
212.41,5676.9
212.79,6883.1
213.16,5806.7
213.54,7430.1
213.92,7651
214.29,5461.7
214.67,6414.3
215.05,6603.1
215.42,8951.5
215.8,6578.2
216.17,6563.5
216.55,7587.2
216.93,5641.3
217.3,8630.6
217.68,6198.8
218.05,6507.1
218.43,6320.1
218.81,6598.8
219.18,10640
219.56,6562.4
219.93,6381.6
220.31,6403.3
220.69,5752.6
221.06,6004.3
221.44,7482.1
221.81,6075
222.19,5616.4
222.56,5952.6
222.94,6581.4
223.32,7323.8
223.69,6135.6
224.07,8552.1
224.44,9475.1
224.82,7294.2
225.19,8165.9
225.57,7259.5
225.94,6528.8
226.32,7068
226.69,11821
227.07,11541
227.44,6672.9
227.82,7611
228.19,6791
228.57,8360.2
228.94,11082
229.32,9197
229.69,8590
230.07,6580.7
230.44,6034.8
230.82,10417
231.19,9052.6
231.57,5471.5
231.94,5653.2
232.32,14451
232.69,7013.1
233.07,7226.3
233.44,6685.8
233.82,6734.4
234.19,7235.7
234.57,9658.1
234.94,6285.2
235.31,6554.4
235.69,7000.3
236.06,7269.5
236.44,8290.2
236.81,5761.8
237.19,7653.1
237.56,11166
237.93,6208.2
238.31,7480.8
238.68,6740.1
239.06,7290.8
239.43,8438.7
239.81,7792.7
240.18,5850.3
240.55,6092.4
240.93,12201
241.3,7543.8
241.67,6990.5
242.05,8300.6
242.42,9186.2
242.8,5772.6
243.17,7514.4
243.54,7435
243.92,8862.5
244.29,6907.3
244.66,7398.4
245.04,9710.7
245.41,15298
245.78,5827.1
246.16,6588.2
246.53,8499.3
246.9,6934.2
247.28,12602
247.65,6780.5
248.02,6894.8
248.4,9557.7
248.77,7282
249.14,8084.4
249.52,6733.9
249.89,8208.9
250.26,6133.9
250.64,7264.2
251.01,15352
251.38,5698.6
251.75,7170.8
252.13,6522.6
252.5,8751
252.87,12794
253.25,5815
253.62,7665.9
253.99,5705.8
254.36,9014
254.74,6442.9
255.11,6011.8
255.48,5461.3
255.85,13575
256.23,5648.8
256.6,5320.9
256.97,6723.7
257.34,7958.7
257.71,7366.7
258.09,6876.7
258.46,7536.9
258.83,10975
259.2,9336.2
259.58,6864.8
259.95,7162.9
260.32,9115.5
260.69,5881.8
261.06,10664
261.44,6158.8
261.81,12635
262.18,7625
262.55,6236.5
262.92,7063.1
263.29,6423.5
263.67,5711.8
264.04,6465.4
264.41,6741.8
264.78,6378.8
265.15,9949
265.52,11949
265.9,7292.3
266.27,6304.6
266.64,5687.7
267.01,5450
267.38,7867.2
267.75,6071.8
268.12,5296
268.5,6920.3
268.87,6263.5
269.24,5848.8
269.61,7598
269.98,8085.3
270.35,7824.6
270.72,6099.4
271.09,6818.4
271.46,6541.2
271.83,7760.2
272.21,8972.3
272.58,5995.4
272.95,6353.9
273.32,7306.1
273.69,7282.3
274.06,5631.3
274.43,6268.6
274.8,7039.3
275.17,7695.9
275.54,14934
275.91,7377.8
276.28,7312.5
276.65,7512.9
277.02,10891
277.39,6316.3
277.76,6236
278.13,8309.1
278.5,8668.7
278.87,10168
279.24,9048.3
279.61,8335.1
279.98,11315
280.35,6613.5
280.72,7591
281.09,7176.5
281.46,7461.2
281.83,6349
282.2,7932.1
282.57,6594.1
282.94,8089.1
283.31,6677.3
283.68,7855.5
284.05,5973.5
284.42,5746
284.79,7821.4
285.16,8596.4
285.53,7426.1
285.9,7523.8
286.27,14427
286.64,5877.5
287.01,6515.4
287.38,8544.4
287.75,57512
288.12,8620.2
288.49,16082
288.86,6182.4
289.23,6332.9
289.59,6494.1
289.96,6276
290.33,6719
290.7,6982
291.07,8650
291.44,8111.4
291.81,6383.5
292.18,7606.3
292.55,6889.7
292.91,12546
293.28,8391
293.65,10788
294.02,7895.7
294.39,5833.9
294.76,7188.6
295.13,7537.8
295.5,7287.2
295.86,7317.2
296.23,6836.7
296.6,6291.8
296.97,6896.1
297.34,7435
297.71,9123
298.07,7533.3
298.44,5732.2
298.81,8072.7
299.18,7531
299.55,10498
299.91,7136.1
300.28,8212.7
300.65,5730.7
301.02,7772.5
301.39,8330.4
301.75,13280
302.12,8490.2
302.49,7394.2
302.86,10657
303.23,7674.2
303.59,6343.5
303.96,16752
304.33,9716.2
304.7,14481
305.06,6754.8
305.43,10152
305.8,8341.5
306.17,9063.4
306.53,6556.9
306.9,9438.1
307.27,7435.2
307.64,10614
308,6771.6
308.37,6949.5
308.74,12051
309.11,9102.6
309.47,6666.7
309.84,5942
310.21,7323.7
310.57,7591.6
310.94,6847.6
311.31,7367.6
311.67,7853.3
312.04,5713.7
312.41,9658.8
312.77,8125.7
313.14,6453.5
313.51,7036.5
313.87,6700.1
314.24,6597.1
314.61,6634.4
314.97,6783.1
315.34,7446.9
315.71,5919.6
316.07,9131.3
316.44,6111.4
316.81,8692.3
317.17,6368
317.54,14900
317.91,6523.7
318.27,5523.5
318.64,6865
319,8703.6
319.37,5655.4
319.74,9230
320.1,9445.1
320.47,6709.9
320.83,10673
321.2,7025.4
321.57,6151.1
321.93,6666.1
322.3,7518.2
322.66,6452.4
323.03,8594.2
323.4,7944.8
323.76,6504.6
324.13,6463.5
324.49,5598.6
324.86,17973
325.22,7314
325.59,6957.6
325.95,7725.7
326.32,9253.6
326.68,8993.4
327.05,6880.7
327.42,6143.1
327.78,6471.4
328.15,9131.5
328.51,6513.7
328.88,7348.2
329.24,10797
329.61,7142.7
329.97,8476.4
330.34,6369
330.7,7252.5
331.07,10389
331.43,8415.7
331.8,12709
332.16,9893.4
332.52,6067.5
332.89,8019.7
333.25,5468.8
333.62,11972
333.98,7570.6
334.35,6200.9
334.71,7174.2
335.08,5839.4
335.44,11563
335.81,11531
336.17,9832.6
336.53,7038.8
336.9,5890.9
337.26,8230.2
337.63,13387
337.99,7571.2
338.36,5939.6
338.72,8613.8
339.08,7265.7
339.45,5727.9
339.81,9220.9
340.18,6648.6
340.54,10011
340.9,6231.8
341.27,6786.7
341.63,8048.7
341.99,5279.4
342.36,10011
342.72,5865
343.09,10089
343.45,6237.3
343.81,10217
344.18,5556
344.54,6816.5
344.9,7524
345.27,7162.5
345.63,6823.5
345.99,8546.8
346.36,7085.9
346.72,5799.2
347.08,5928.2
347.45,5440.3
347.81,9491.1
348.17,7341
348.54,5602
348.9,8690.8
349.26,9277.9
349.62,10244
349.99,5306.4
350.35,5181.7
350.71,7524.2
351.08,6956.1
351.44,5125.6
351.8,12708
352.16,11051
352.53,5922.2
352.89,8203.4
353.25,10646
353.61,6419.9
353.98,8311.5
354.34,9633.4
354.7,6296.3
355.06,5826.7
355.43,7031.6
355.79,6553.9
356.15,6468.2
356.51,5787.7
356.88,5918.6
357.24,6545.8
357.6,5437.7
357.96,5145.1
358.32,15140
358.69,5369.6
359.05,7688.4
359.41,7234.2
359.77,5684.9
360.13,6053.7
360.49,5877.9
360.86,8548.1
361.22,10877
361.58,7432.3
361.94,10468
362.3,5687.7
362.66,8074
363.03,5171.9
363.39,5193.2
363.75,6030.5
364.11,9546
364.47,6093.3
364.83,10132
365.19,7279.5
365.56,8484.7
365.92,5278.5
366.28,8244.4
366.64,9460.2
367,5306.6
367.36,5289.2
367.72,9407.5
368.08,8994
368.44,6275.8
368.8,7987
369.17,6281.6
369.53,6507.1
369.89,5827.1
370.25,5896.9
370.61,5972
370.97,10240
371.33,6211.6
371.69,12097
372.05,7974
372.41,5666.4
372.77,6308.4
373.13,7272.9
373.49,5015.1
373.85,7693.6
374.21,7177.8
374.57,5636
374.93,8255.1
375.29,8718.3
375.65,7302.7
376.01,6954.2
376.37,9743
376.73,8165.3
377.09,5588.1
377.45,9430.7
377.81,6651.4
378.17,5752.8
378.53,5068.3
378.89,8040.8
379.25,10444
379.61,13509
379.97,8941.3
380.33,6229.9
380.69,5982
381.05,5561.1
381.41,8725.9
381.77,6962.2
382.13,8200.4
382.49,14167
382.85,7170.5
383.21,8482.3
383.57,5256.8
383.93,10015
384.28,5092.4
384.64,6258
385,7344
385.36,7055.9
385.72,8651.5
386.08,5860.9
386.44,8455.1
386.8,8530.8
387.16,11574
387.52,9188.5
387.87,13064
388.23,7687.6
388.59,6029.2
388.95,5349
389.31,6462
389.67,6482.4
390.03,6051.6
390.38,6285
390.74,4937.3
391.1,9010.6
391.46,7231.8
391.82,5801.1
392.18,7963.1
392.54,4818.5
392.89,5456.6
393.25,8018.5
393.61,5512.6
393.97,5345.6
394.33,7519.3
394.68,6753.5
395.04,5344.9
395.4,6942
395.76,8767.9
396.12,7269.1
396.47,5586
396.83,6708.2
397.19,5366
397.55,5616.2
397.9,7069.9
398.26,6995.9
398.62,5502.2
398.98,4841.5
399.33,6477.5
399.69,23834
400.05,7927.2
400.41,5647.3
400.76,8310.6
401.12,9635.6
401.48,7524.4
401.84,5849
402.19,6183.9
402.55,7373.8
402.91,6945.4
403.26,5152.6
403.62,7994.4
403.98,6798.6
404.34,4732.1
404.69,6824.4
405.05,8670
405.41,13391
405.76,5712.4
406.12,5770.3
406.48,6558.4
406.83,5923.3
407.19,8058.9
407.55,7575.9
407.9,13443
408.26,8156.3
