wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,-0
202.61,-0
202.99,-0
203.36,0
203.74,-0
204.12,-0
204.49,-0
204.87,-0
205.25,0
205.63,-0
206,-0
206.38,-0
206.76,-0
207.14,-0
207.51,-0
207.89,-0
208.27,-0
208.64,-0
209.02,-0
209.4,-0
209.77,-0
210.15,-1.9669e+13
210.53,-9.2309e+13
210.9,-9.8061e+13
211.28,-1.0544e+14
211.66,-1.2592e+14
212.03,-1.2592e+14
212.41,-9.3369e+13
212.79,-8.9785e+13
213.16,-8.9785e+13
213.54,-1.0298e+14
213.92,-1.0298e+14
214.29,-1.0298e+14
214.67,-1.1369e+14
215.05,-1.1369e+14
215.42,-1.1089e+14
215.8,-1.248e+14
216.17,-1.248e+14
216.55,-1.3216e+14
216.93,-1.248e+14
217.3,-1.248e+14
217.68,-1.2957e+14
218.05,-1.1624e+14
218.43,-1.0631e+14
218.81,-1.0631e+14
219.18,-1.0327e+14
219.56,-8.3172e+13
219.93,-9.1327e+13
220.31,-8.0223e+13
220.69,-7.2068e+13
221.06,-6.1546e+13
221.44,-6.1546e+13
221.81,-6.2154e+13
222.19,-6.2154e+13
222.56,-7.8788e+13
222.94,-7.8788e+13
223.32,-7.8788e+13
223.69,-7.8788e+13
224.07,-7.122e+13
224.44,-7.122e+13
224.82,-7.122e+13
225.19,-6.0298e+13
225.57,-6.0298e+13
225.94,-6.0298e+13
226.32,-6.0298e+13
226.69,-5.7947e+13
227.07,-6.0705e+13
227.44,-6.0705e+13
227.82,-6.0705e+13
228.19,-6.0705e+13
228.57,-6.0705e+13
228.94,-5.7797e+13
229.32,-5.7797e+13
229.69,-7.0807e+13
230.07,-5.7797e+13
230.44,-5.1449e+13
230.82,-5.1449e+13
231.19,-4.9429e+13
231.57,-5.5219e+13
231.94,-4.9674e+13
232.32,-4.9674e+13
232.69,-4.9674e+13
233.07,-4.9674e+13
233.44,-4.4903e+13
