wavelength,intensity
178.76,-30.423
179.14,-30.423
179.52,-30.423
179.9,-13.263
180.28,-297.25
180.66,-262.92
181.04,-221.57
181.42,0.78333
181.8,-59.293
182.18,-274.63
182.55,-160.72
182.93,60.853
183.31,-3.1233
183.69,-217.67
184.07,-173.98
184.45,-82.7
184.83,-95.96
185.21,-193.49
185.59,-51.49
185.97,-560.95
186.35,-239.52
186.72,-217.67
187.1,-86.6
187.48,-463.42
187.86,-114.69
188.24,-202.85
188.62,0
189,-298.81
189.38,-142.77
189.75,-191.92
190.13,-180.22
190.51,-87.38
190.89,-448.6
191.27,-351.08
191.65,-143.55
192.03,-117.81
192.4,-297.24
192.78,-176.32
193.16,-310.51
193.54,-464.21
193.92,-34.327
194.3,-24.967
194.67,-163.06
195.05,-133.41
195.43,-84.26
195.81,-41.357
196.19,-162.28
196.56,-322.21
196.94,-92.063
197.32,-399.45
197.7,-169.3
198.08,-82.7
198.45,-120.15
198.83,-156.82
199.21,-119.37
199.59,-398.67
199.97,-121.71
200.34,-148.24
200.72,-172.42
201.1,-282.42
201.48,-267.6
201.85,-102.98
202.23,-127.95
202.61,-76.46
202.99,-415.05
203.36,3.9
203.74,-88.943
204.12,-218.45
204.49,-214.55
204.87,-113.13
205.25,-150.57
205.63,-73.34
206,-106.1
206.38,-204.41
206.76,-279.31
207.14,-96.743
207.51,-122.49
207.89,-272.28
208.27,-102.2
208.64,-3.9033
209.02,-162.28
209.4,14.04
209.77,-30.423
210.15,-1565.8
210.53,-181
210.9,-340.94
211.28,-29.647
211.66,-278.52
212.03,-117.02
212.41,-42.133
212.79,-56.173
213.16,-94.4
213.54,-58.513
213.92,-75.677
214.29,-92.837
214.67,-130.29
215.05,-212.21
215.42,-131.07
215.8,-150.57
216.17,-128.73
216.55,-52.27
216.93,-112.35
217.3,-241.08
217.68,-72.553
218.05,-179.44
218.43,-138.09
218.81,-170.08
219.18,-274.62
219.56,-94.4
219.93,-61.633
220.31,-69.437
220.69,-131.07
221.06,-52.27
221.44,-124.05
221.81,-105.33
222.19,28.867
222.56,-35.89
222.94,-182.56
223.32,-136.53
223.69,-47.587
224.07,-163.84
224.44,-365.9
224.82,-97.527
225.19,-194.26
225.57,-23.403
225.94,-29.647
226.32,-104.54
226.69,-117.03
227.07,-345.62
227.44,-101.42
227.82,-285.55
228.19,-117.8
228.57,-169.3
228.94,-422.08
229.32,-39.013
229.69,-123.27
230.07,-64.753
230.44,-99.867
230.82,-337.82
231.19,-191.15
231.57,-101.43
231.94,-74.113
232.32,-377.61
232.69,-127.95
233.07,-185.69
233.44,-114.69
233.82,-88.16
234.19,-94.4
234.57,-214.55
234.94,-63.977
235.31,21.067
235.69,-146.67
236.06,-151.35
236.44,-159.16
236.81,-8.5833
237.19,-47.59
237.56,-280.09
237.93,-125.61
238.31,-37.447
238.68,-138.87
239.06,-223.91
239.43,-173.2
239.81,-210.65
240.18,17.167
240.55,-95.957
240.93,-310.51
241.3,-64.753
241.67,-31.983
242.05,-119.36
242.42,-230.15
242.8,-37.45
243.17,-136.53
243.54,-57.733
243.92,-273.84
244.29,-124.83
244.66,-44.467
245.04,-144.33
245.41,-379.95
245.78,-80.357
246.16,-176.32
246.53,-180.22
246.9,-113.12
247.28,-514.91
247.65,-79.577
248.02,-209.09
248.4,-92.84
248.77,-144.33
249.14,-276.18
249.52,-117.81
249.89,-127.95
250.26,-14.823
250.64,-132.63
251.01,-393.99
251.38,-59.297
251.75,-19.503
252.13,-139.65
252.5,-69.437
252.87,-209.87
253.25,-113.91
253.62,2.3433
253.99,-26.527
254.36,-114.69
254.74,1.56
255.11,-40.57
255.48,-12.483
255.85,-333.14
256.23,-35.11
256.6,-42.91
256.97,-197.39
257.34,-42.127
257.71,-113.9
258.09,61.633
258.46,52.27
258.83,-227.03
259.2,-74.117
259.58,-58.51
259.95,-88.16
260.32,-181
260.69,5.46
261.06,-106.1
261.44,21.063
261.81,-210.65
262.18,31.987
262.55,-56.953
262.92,-86.597
263.29,-9.0949e-13
263.67,19.503
264.04,-114.68
264.41,75.68
264.78,152.13
265.15,-1.5633
265.52,-186.46
265.9,-108.44
266.27,-54.617
266.64,25.747
267.01,46.033
267.38,-34.327
267.75,28.083
268.12,129.51
268.5,-11.7
268.87,82.7
269.24,164.62
