wavelength,intensity
178.76,1780.4
179.14,1780.4
179.52,1780.4
179.9,1776.5
180.28,10259
180.66,9260.7
181.04,9092.2
181.42,7227.6
181.8,6058.1
182.18,10304
182.55,5632.1
182.93,7155.8
183.31,6860.9
183.69,7534.2
184.07,7779.9
184.45,6784.4
184.83,6974.8
185.21,6334.3
185.59,6552.7
185.97,15267
186.35,11402
186.72,6761
187.1,7063.7
187.48,10826
187.86,8698.2
188.24,6406.8
188.62,6078.4
189,10326
189.38,7645.8
189.75,7590.4
190.13,7603.6
190.51,6133.8
190.89,14182
191.27,19874
191.65,6801.6
192.03,7554.5
192.4,9718.7
192.78,7290.8
193.16,8349.5
193.54,11497
193.92,10436
194.3,6568.3
194.67,9144.5
195.05,8048.3
195.43,7169.1
195.81,6714.2
196.19,10175
196.56,7359.4
196.94,7066.9
197.32,11004
197.7,6390.4
198.08,8276.9
198.45,6470.8
198.83,7284.5
199.21,6587.8
199.59,11602
199.97,7776
200.34,5681.3
200.72,6403.7
201.1,13366
201.48,9451.1
201.85,6180.6
202.23,6653.4
202.61,6289.8
202.99,15062
203.36,6404.5
203.74,8699.8
204.12,6988.8
204.49,6256.3
204.87,8487.6
205.25,6925.6
205.63,5651.6
206,6239.1
206.38,7513.1
206.76,9075
207.14,6345.2
207.51,5729.6
207.89,10156
208.27,6145.5
208.64,5256.1
209.02,6422.4
209.4,6834.4
209.77,5575.9
210.15,13891
210.53,5746
210.9,10705
211.28,6089.3
211.66,11462
212.03,6294.5
212.41,5686.7
212.79,6869.5
213.16,5783.5
213.54,7385.2
213.92,7672.3
214.29,5374.7
214.67,6328.8
215.05,6562.1
215.42,8930.7
215.8,6501.2
216.17,6504.3
216.55,7526.4
216.93,5620.4
217.3,8529.7
217.68,6205.5
218.05,6410.7
218.43,6308.5
218.81,6545.7
219.18,10582
219.56,6512.2
219.93,6342.9
220.31,6346
220.69,5722.6
221.06,5980.8
221.44,7386.7
221.81,5998
222.19,5651.6
222.56,5905.2
222.94,6520
223.32,7236.9
223.69,6104.9
224.07,8524.2
224.44,9327
224.82,7283
225.19,8159.1
225.57,7279.8
225.94,6505.1
226.32,7004.4
226.69,11731
227.07,11463
227.44,6632.3
227.82,7525.6
228.19,6761.8
228.57,8271.5
228.94,10881
229.32,9124.2
229.69,8517.2
230.07,6553.5
230.44,6028.4
230.82,10331
231.19,8976.7
231.57,5424.6
231.94,5668
232.32,14284
232.69,6962.3
233.07,7181.5
233.44,6668.2
233.82,6749.3
234.19,7219.8
234.57,9576.7
234.94,6216.5
235.31,6550.4
235.69,6890.5
236.06,7226.8
236.44,8253.5
236.81,5776.4
237.19,7653.6
237.56,11053
237.93,6180.6
238.31,7455.4
238.68,6679.1
239.06,7205.7
239.43,8426.7
239.81,7716.7
240.18,5832.6
240.55,6005
240.93,12054
241.3,7482.7
241.67,6959.2
242.05,8266.8
242.42,9096.9
242.8,5741.3
243.17,7428.9
243.54,7429.6
243.92,8738
244.29,6832.8
244.66,7369.6
245.04,9648.5
245.41,15187
245.78,5785
246.16,6526.2
246.53,8339.3
246.9,6844.5
247.28,12410
247.65,6714.2
248.02,6775.8
248.4,9519
248.77,7208.1
249.14,7920.4
249.52,6615.9
249.89,8205.9
250.26,6153.3
250.64,7207.3
251.01,15245
251.38,5666.4
251.75,7144.9
252.13,6481.7
252.5,8662.3
252.87,12759
253.25,5726.5
253.62,7649.7
253.99,5657.9
254.36,8935.4
254.74,6424
255.11,5937.9
255.48,5457.3
255.85,13422
256.23,5585.3
256.6,5298.2
256.97,6626.8
257.34,7915.7
257.71,7300.9
258.09,6904.6
258.46,7500.6
258.83,10817
259.2,9256.8
259.58,6818
259.95,7070.8
