wavelength,intensity
178.76,1810.8
179.14,1810.8
179.52,1810.8
179.9,1789.7
180.28,10557
180.66,9523.6
181.04,9313.8
181.42,7226.8
181.8,6117.4
182.18,10578
182.55,5792.8
182.93,7094.9
183.31,6864
183.69,7751.9
184.07,7953.9
184.45,6867.1
184.83,7070.8
185.21,6527.8
185.59,6604.2
185.97,15827
186.35,11642
186.72,6978.7
187.1,7150.3
187.48,11289
187.86,8812.9
188.24,6609.7
188.62,6078.4
189,10624
189.38,7788.5
189.75,7782.3
190.13,7783.8
190.51,6221.1
190.89,14631
191.27,20225
191.65,6945.2
192.03,7672.3
192.4,10016
192.78,7467.1
193.16,8660
193.54,11961
193.92,10470
194.3,6593.3
194.67,9307.5
195.05,8181.7
195.43,7253.3
195.81,6755.6
196.19,10337
196.56,7681.6
196.94,7158.9
197.32,11404
197.7,6559.7
198.08,8359.6
198.45,6590.9
198.83,7441.3
199.21,6707.2
199.59,12001
199.97,7897.7
200.34,5829.5
200.72,6576.1
201.1,13648
201.48,9718.7
201.85,6283.6
202.23,6781.3
202.61,6366.3
202.99,15477
203.36,6400.6
203.74,8788.7
204.12,7207.3
204.49,6470.8
204.87,8600.7
205.25,7076.2
205.63,5724.9
206,6345.2
206.38,7717.5
206.76,9354.3
207.14,6441.9
207.51,5852.1
207.89,10429
208.27,6247.7
208.64,5260
209.02,6584.7
209.4,6820.3
209.77,5606.4
210.15,15457
210.53,5927
210.9,11046
211.28,6118.9
211.66,11741
212.03,6411.5
212.41,5728.9
212.79,6925.6
213.16,5877.9
213.54,7443.7
213.92,7748
214.29,5467.5
214.67,6459.1
215.05,6774.3
215.42,9061.8
215.8,6651.8
216.17,6633.1
216.55,7578.7
216.93,5732.8
217.3,8770.8
217.68,6278.1
218.05,6590.2
218.43,6446.6
218.81,6715.8
219.18,10856
219.56,6606.6
219.93,6404.5
220.31,6415.4
220.69,5853.7
221.06,6033.1
221.44,7510.8
221.81,6103.3
222.19,5622.7
222.56,5941.1
222.94,6702.5
223.32,7373.5
223.69,6152.5
224.07,8688.1
224.44,9692.9
224.82,7380.5
225.19,8353.4
225.57,7303.3
225.94,6534.8
226.32,7109
226.69,11848
227.07,11809
227.44,6733.7
227.82,7811.2
228.19,6879.6
228.57,8440.8
228.94,11303
229.32,9163.2
229.69,8640.5
230.07,6618.3
230.44,6128.3
230.82,10669
231.19,9167.9
231.57,5526
231.94,5742.1
232.32,14661
232.69,7090.3
233.07,7367.2
233.44,6782.9
233.82,6837.5
234.19,7314.2
234.57,9791.2
234.94,6280.4
235.31,6529.3
235.69,7037.2
236.06,7378.2
236.44,8412.7
236.81,5785
237.19,7701.1
237.56,11333
237.93,6306.2
238.31,7492.8
238.68,6818
239.06,7429.6
239.43,8599.9
239.81,7927.4
240.18,5815.4
240.55,6101
240.93,12364
241.3,7547.4
241.67,6991.2
242.05,8386.1
242.42,9327
242.8,5778.8
243.17,7565.4
243.54,7487.4
243.92,9011.8
244.29,6957.6
244.66,7414
245.04,9792.8
245.41,15567
245.78,5865.4
246.16,6702.5
246.53,8519.5
246.9,6957.6
247.28,12925
247.65,6793.8
248.02,6984.9
248.4,9611.8
248.77,7352.4
249.14,8196.6
249.52,6733.7
249.89,8333.9
250.26,6168.1
250.64,7339.9
251.01,15639
