wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,0
206,0
206.38,0
206.76,0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,-1.4092e+13
212.03,-1.1507e+12
212.41,-1.1507e+12
212.79,1.2479e+12
213.16,2.9887e+13
213.54,5.6256e+12
213.92,3.1508e+13
214.29,3.1508e+13
214.67,2.4811e+13
215.05,2.4811e+13
215.42,4.0853e+13
215.8,2.4811e+13
216.17,2.4811e+13
216.55,4.0853e+13
216.93,2.4811e+13
217.3,3.6134e+13
217.68,4.2831e+13
218.05,3.1509e+13
218.43,4.2831e+13
218.81,4.2831e+13
219.18,4.244e+13
219.56,4.244e+13
219.93,4.2831e+13
220.31,4.2831e+13
220.69,4.2831e+13
221.06,4.8715e+13
221.44,5.5302e+13
221.81,6.1995e+13
222.19,6.1995e+13
222.56,6.1604e+13
222.94,6.1604e+13
223.32,6.1604e+13
223.69,5.136e+13
224.07,5.7428e+13
224.44,5.7428e+13
224.82,5.2784e+13
225.19,5.2784e+13
225.57,4.6542e+13
225.94,2.5115e+13
226.32,2.5115e+13
226.69,1.0207e+13
227.07,3.0366e+13
227.44,4.81e+13
227.82,4.81e+13
228.19,5.3901e+13
228.57,3.649e+13
228.94,1.8756e+13
229.32,1.8756e+13
229.69,3.1382e+13
230.07,3.3955e+13
230.44,3.3955e+13
230.82,3.3955e+13
231.19,2.4626e+13
231.57,2.4626e+13
231.94,1.6541e+13
232.32,6.2278e+12
232.69,1.5173e+13
233.07,2.3258e+13
233.44,2.3258e+13
233.82,2.5881e+13
234.19,3.3438e+13
234.57,2.5881e+13
234.94,2.5881e+13
235.31,1.7407e+13
235.69,1.7407e+13
236.06,2.5881e+13
236.44,2.3971e+13
236.81,1.7528e+13
