wavelength,intensity
178.76,-5.46
179.14,-5.46
179.52,-5.46
179.9,-22.627
180.28,110.78
180.66,-1.56
181.04,93.62
181.42,163.84
181.8,110.01
182.18,15.6
182.55,-36.667
182.93,126.39
183.31,116.24
183.69,41.35
184.07,113.91
184.45,50.707
184.83,133.41
185.21,-75.68
185.59,71.78
185.97,224.69
186.35,84.257
186.72,15.603
187.1,31.987
187.48,116.25
187.86,83.477
188.24,-46.817
188.62,81.137
189,19.507
189.38,22.623
189.75,109.22
190.13,30.427
190.51,68.657
190.89,100.65
191.27,197.39
191.65,-24.187
192.03,3.12
192.4,151.36
192.78,87.38
193.16,-74.9
193.54,141.21
193.92,192.7
194.3,-10.14
194.67,91.28
195.05,21.84
195.43,-42.91
195.81,183.34
196.19,255.12
196.56,-24.183
196.94,-2.3433
197.32,14.04
197.7,-19.503
198.08,65.537
198.45,112.34
198.83,33.547
199.21,69.433
199.59,106.11
199.97,49.153
200.34,38.227
200.72,-39.787
201.1,269.16
201.48,-9.36
201.85,49.15
202.23,105.32
202.61,85.04
202.99,279.31
203.36,46.03
203.74,146.67
204.12,40.57
204.49,-28.87
204.87,65.54
205.25,49.93
205.63,39.787
206,-6.2433
206.38,83.477
206.76,48.367
207.14,81.137
207.51,30.423
207.89,88.94
208.27,3.12
208.64,99.867
209.02,-92.843
209.4,34.323
209.77,14.823
210.15,-316.75
210.53,-59.293
210.9,-85.04
211.28,19.507
211.66,-23.403
212.03,52.27
212.41,28.087
212.79,163.84
213.16,-24.967
213.54,49.933
213.92,-34.327
214.29,-21.843
214.67,119.37
215.05,-22.627
215.42,29.643
215.8,101.43
216.17,21.84
216.55,98.303
216.93,58.51
217.3,-7.02
217.68,10.92
218.05,80.357
218.43,-8.5833
218.81,53.05
219.18,54.613
219.56,-28.867
219.93,121.71
220.31,74.897
220.69,58.513
221.06,57.733
221.44,131.85
221.81,79.58
222.19,7.8
222.56,123.27
222.94,108.45
223.32,173.98
223.69,134.19
224.07,-16.387
224.44,80.363
224.82,-17.167
225.19,-58.513
225.57,117.81
225.94,81.137
226.32,106.1
226.69,162.28
227.07,9.3667
227.44,-72.557
227.82,-78.02
228.19,31.207
228.57,170.08
228.94,106.1
229.32,198.16
229.69,122.49
230.07,47.593
230.44,3.12
230.82,-33.55
231.19,91.28
231.57,63.19
231.94,-6.24
232.32,145.11
232.69,26.527
233.07,84.26
233.44,-7.8033
233.82,-14.043
234.19,48.37
234.57,83.48
234.94,105.33
235.31,132.63
235.69,111.57
236.06,-1.56
236.44,-20.287
236.81,42.91
237.19,-29.647
237.56,96.74
237.93,-21.063
238.31,56.953
238.68,85.823
239.06,20.287
239.43,43.693
239.81,119.37
240.18,170.86
240.55,53.833
240.93,192.7
241.3,29.65
241.67,46.813
242.05,28.09
242.42,73.337
242.8,-3.9
243.17,74.117
243.54,174.76
243.92,85.82
244.29,39.787
244.66,23.407
245.04,163.84
245.41,-34.33
245.78,126.39
246.16,102.98
246.53,113.13
246.9,-84.257
247.28,-44.467
247.65,58.513
248.02,2.34
248.4,103.76
248.77,83.477
249.14,40.567
249.52,66.313
249.89,-74.117
250.26,-7.0233
250.64,43.693
251.01,128.73
251.38,103.76
251.75,24.967
252.13,16.383
252.5,135.75
252.87,118.58
253.25,-4.68
253.62,125.61
253.99,71.773
254.36,207.53
254.74,111.56
255.11,113.91
255.48,130.29
255.85,101.43
256.23,47.59
256.6,-7.8
256.97,-146.68
257.34,106.89
257.71,39.013
258.09,24.967
258.46,175.54
258.83,253.56
259.2,182.56
259.58,62.413
259.95,34.327
260.32,-18.723
260.69,-11.707
261.06,127.95
261.44,80.357
261.81,-72.557
262.18,148.23
262.55,70.213
262.92,-1.56
263.29,43.69
263.67,-39.787
264.04,42.91
264.41,58.513
264.78,44.467
265.15,204.41
265.52,205.97
265.9,29.647
266.27,-14.047
266.64,20.287
267.01,78.8
267.38,6.2433
267.75,92.84
268.12,78.8
268.5,-28.083
268.87,74.12
269.24,106.1
269.61,38.223
269.98,85.82
270.35,57.733
270.72,-58.513
271.09,8.5767
271.46,26.527
271.83,-3.9033
272.21,33.547
272.58,85.04
272.95,143.55
273.32,91.28
273.69,52.27
274.06,91.28
274.43,87.38
274.8,82.703
275.17,78.797
275.54,791.1
275.91,108.44
276.28,-14.047
276.65,-21.847
277.02,132.63
277.39,-33.543
277.76,-33.547
278.13,192.71
278.5,43.693
278.87,39.007
279.24,155.26
279.61,-12.483
279.98,156.03
280.35,78.013
280.72,58.513
281.09,155.26
281.46,106.1
281.83,165.4
282.2,138.09
282.57,63.193
282.94,95.963
283.31,88.94
283.68,39.007
284.05,17.94
284.42,128.73
284.79,28.087
285.16,158.38
285.53,66.317
285.9,44.47
286.27,103.76
286.64,108.45
287.01,130.29
287.38,96.74
287.75,390.09
288.12,-10.923
288.49,241.07
288.86,72.557
289.23,-58.513
289.59,53.05
289.96,41.347
290.33,79.577
290.7,-2.3433
291.07,64.757
291.44,22.627
291.81,56.95
292.18,4.6767
292.55,74.12
292.91,-42.13
293.28,84.26
293.65,117.03
294.02,61.633
294.39,10.92
294.76,35.887
295.13,46.813
295.5,-75.677
295.86,24.187
296.23,69.437
296.6,46.03
296.97,128.73
297.34,95.96
297.71,8.58
298.07,65.533
298.44,35.107
298.81,77.24
299.18,-73.337
299.55,16.38
299.91,152.92
300.28,-1196
300.65,60.857
301.02,89.717
301.39,51.49
301.75,-47.597
302.12,161.5
302.49,45.253
302.86,45.253
303.23,141.21
303.59,-25.747
303.96,-56.953
304.33,-41.35
304.7,79.58
305.06,-37.45
305.43,102.98
305.8,-53.05
306.17,136.53
306.53,-49.93
306.9,79.577
307.27,85.82
307.64,121.7
308,166.17
308.37,72.553
308.74,298.81
309.11,49.153
309.47,42.91
309.84,-24.187
310.21,-73.34
310.57,81.137
310.94,2.34
311.31,73.337
311.67,111.57
312.04,95.96
312.41,73.34
312.77,56.957
313.14,-2.3433
313.51,17.947
313.87,-79.58
314.24,58.513
314.61,68.653
314.97,-20.29
315.34,81.92
315.71,159.16
316.07,144.33
316.44,14.823
316.81,152.13
317.17,115.46
317.54,43.69
317.91,51.49
318.27,-33.547
318.64,25.747
319,18.727
319.37,18.723
319.74,58.51
320.1,-99.863
320.47,3.1233
320.83,79.577
321.2,106.11
321.57,3.9033
321.93,-13.263
322.3,34.327
322.66,-24.183
323.03,102.99
323.4,68.657
323.76,-17.163
324.13,-60.07
324.49,4.68
324.86,91.277
