wavelength,intensity
178.76,1805.3
179.14,1805.3
179.52,1805.3
179.9,1767.1
180.28,10667
180.66,9522.1
181.04,9407.4
181.42,7390.6
181.8,6227.4
182.18,10594
182.55,5756.2
182.93,7221.3
183.31,6980.3
183.69,7793.2
184.07,8067.8
184.45,6917.8
184.83,7204.2
185.21,6452.1
185.59,6676
185.97,16052
186.35,11726
186.72,6994.3
187.1,7182.3
187.48,11405
187.86,8896.4
188.24,6562.9
188.62,6159.5
189,10644
189.38,7811.1
189.75,7891.5
190.13,7814.3
190.51,6289.8
190.89,14731
191.27,20423
191.65,6921
192.03,7675.4
192.4,10167
192.78,7554.5
193.16,8585.1
193.54,12102
193.92,10663
194.3,6583.2
194.67,9398.8
195.05,8203.6
195.43,7210.4
195.81,6938.9
196.19,10592
196.56,7657.5
196.94,7156.6
197.32,11418
197.7,6540.2
198.08,8425.1
198.45,6703.3
198.83,7474.9
199.21,6776.6
199.59,12107
199.97,7946.9
200.34,5867.7
200.72,6536.3
201.1,13918
201.48,9709.3
201.85,6332.7
202.23,6886.6
202.61,6451.3
202.99,15756
203.36,6446.6
203.74,8935.4
204.12,7247.9
204.49,6441.9
204.87,8666.2
205.25,7126.1
205.63,5764.7
206,6338.9
206.38,7801
206.76,9402.7
207.14,6523.1
207.51,5882.5
207.89,10518
208.27,6250.8
208.64,5359.8
209.02,6491.9
209.4,6854.6
209.77,5621.2
210.15,15140
210.53,5867.7
210.9,10961
211.28,6138.4
211.66,11718
212.03,6463.8
212.41,5756.9
212.79,7089.5
213.16,5852.9
213.54,7493.6
213.92,7713.6
214.29,5445.6
214.67,6578.5
215.05,6751.7
215.42,9091.4
215.8,6753.2
216.17,6654.9
216.55,7677
216.93,5791.3
217.3,8763.7
217.68,6289
218.05,6670.5
218.43,6438
218.81,6768.8
219.18,10911
219.56,6577.7
219.93,6526.2
220.31,6490.3
220.69,5912.2
221.06,6090.9
221.44,7642.6
221.81,6182.9
222.19,5630.5
222.56,6064.3
222.94,6811
223.32,7547.4
223.69,6286.7
224.07,8671.7
224.44,9773.3
224.82,7363.3
225.19,8294.9
225.57,7421.1
225.94,6615.9
226.32,7215.1
226.69,12010
227.07,11818
227.44,6661.2
227.82,7733.1
228.19,6910.8
228.57,8610.8
228.94,11409
229.32,9361.4
229.69,8763
230.07,6665.8
230.44,6131.4
230.82,10635
231.19,9259.2
231.57,5589.2
231.94,5735.9
232.32,14806
232.69,7116.8
