wavelength,intensity
178.76,1735.9
179.14,1735.9
179.52,1735.9
179.9,1724.2
180.28,1841.2
180.66,1845.1
181.04,1836.5
181.42,1816.3
181.8,1817
182.18,1911.4
182.55,1830.3
182.93,1876.3
183.31,1861.5
183.69,1921.6
184.07,1805.3
184.45,1910.7
184.83,1942.6
185.21,1912.2
185.59,1961.4
185.97,2122.1
186.35,2065.9
186.72,2046.4
187.1,2045.6
187.48,2114.3
187.86,2125.2
188.24,2017.5
188.62,2091.7
189,2160.3
189.38,2143.1
189.75,2155.6
190.13,2146.3
190.51,2124.4
190.89,2222.7
191.27,2324.2
191.65,2111.9
192.03,2129.9
192.4,2172
192.78,2159.5
193.16,2192.3
193.54,2223.5
193.92,2197
194.3,2161.9
194.67,2165.8
195.05,2148.6
195.43,2160.3
195.81,2122.9
196.19,2237.6
196.56,2177.5
196.94,2162.7
197.32,2223.5
197.7,2154.9
198.08,2182.2
198.45,2138.5
198.83,2152.5
199.21,2151
199.59,2239.9
199.97,2180.6
200.34,2112.7
200.72,2131.4
201.1,2209.5
201.48,2199.3
201.85,2063.6
202.23,2133.8
202.61,2120.5
202.99,2260.2
203.36,2116.6
203.74,2126
204.12,2114.3
204.49,2116.6
204.87,2144.7
205.25,2129.9
205.63,2147.8
206,2139.3
206.38,2158
206.76,2159.5
207.14,2128.3
207.51,2124.4
207.89,2197.8
208.27,2140
208.64,2101.8
209.02,2094
209.4,2125.2
209.77,2122.1
210.15,2243.8
210.53,2087.8
210.9,2204.8
211.28,2136.9
211.66,2222.7
212.03,2147.1
212.41,2125.2
212.79,2149.4
213.16,2124.4
213.54,2146.3
213.92,2105.7
214.29,2140.8
214.67,2152.5
215.05,2158
215.42,2171.2
215.8,2214.1
216.17,2151.7
216.55,2154.9
216.93,2126.8
217.3,2148.6
217.68,2168.9
218.05,2141.6
218.43,2147.8
218.81,2093.2
219.18,2225.9
219.56,2143.9
219.93,2114.3
220.31,2144.7
220.69,2134.6
221.06,2147.8
221.44,2140.8
221.81,2131.4
222.19,2102.6
222.56,2098.7
222.94,2115.1
223.32,2114.3
223.69,2123.6
224.07,2164.2
224.44,2190
224.82,2122.1
225.19,2218
225.57,2155.6
225.94,2183.7
226.32,2131.4
226.69,2232.9
227.07,2190.7
227.44,2158.8
227.82,2137.7
228.19,2111.2
228.57,2168.1
228.94,2229
229.32,2222
229.69,2182.9
230.07,2143.2
230.44,2127.5
230.82,2230.5
231.19,2231.3
231.57,2142.4
231.94,2110.4
232.32,2301.5
232.69,2148.6
233.07,2147.8
233.44,2189.2
233.82,2146.3
234.19,2140.8
234.57,2209.5
234.94,2120.5
235.31,2172
235.69,2148.6
236.06,2143.2
236.44,2157.2
236.81,2130.7
237.19,2161.1
237.56,2225.8
237.93,2176.7
238.31,2163.4
238.68,2154.9
239.06,2164.2
239.43,2209.5
239.81,2179.8
240.18,2132.2
240.55,2147.8
240.93,2311.7
241.3,2186.8
241.67,2140
242.05,2236
242.42,2179.8
242.8,2135.3
243.17,2193.9
243.54,2190
243.92,2191.5
244.29,2150.2
244.66,2143.9
245.04,2234.4
245.41,2292.2
