wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,-0
205.63,0
206,-0
206.38,-0
206.76,0
207.14,-0
207.51,-0
207.89,-0
208.27,-0
208.64,0
209.02,-0
209.4,-0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,1.1767e+13
212.03,2.0972e+13
212.41,2.361e+13
212.79,2.0972e+13
213.16,2.361e+13
213.54,2.361e+13
213.92,2.361e+13
214.29,2.361e+13
214.67,2.1048e+13
215.05,1.7259e+13
215.42,1.4321e+13
215.8,1.043e+13
216.17,-1.9691e+12
216.55,-1.3991e+13
216.93,-1.6376e+13
217.3,-1.6376e+13
217.68,-1.8683e+13
218.05,-1.6376e+13
218.43,-1.6376e+13
218.81,-5.859e+12
219.18,-2.9893e+12
219.56,-5.0955e+12
219.93,3.2108e+12
220.31,7.0881e+12
220.69,1.4659e+13
221.06,1.4659e+13
221.44,1.4659e+13
221.81,1.2888e+13
222.19,1.2441e+13
222.56,1.1527e+13
222.94,1.326e+13
223.32,1.8521e+13
223.69,1.3151e+13
224.07,7.9413e+12
224.44,6.1569e+12
224.82,6.1569e+12
225.19,6.1234e+12
225.57,7.9413e+12
225.94,8.6675e+12
226.32,8.6675e+12
226.69,1.069e+13
227.07,1.069e+13
227.44,1.069e+13
227.82,1.069e+13
228.19,1.069e+13
228.57,1.3501e+13
228.94,1.3501e+13
229.32,1.0298e+13
229.69,1.3819e+12
230.07,1.3819e+12
230.44,-7.9523e+12
230.82,-1.1245e+13
231.19,-9.0881e+12
231.57,-5.0653e+11
231.94,-2.7889e+12
232.32,-5.0256e+12
232.69,-9.5415e+12
233.07,-6.7875e+12
233.44,-2.2716e+12
233.82,-6.7875e+12
234.19,-2.2716e+12
234.57,2.5454e+12
234.94,2.5454e+12
235.31,-2.2413e+12
235.69,-2.2413e+12
236.06,-4.3503e+12
