wavelength,intensity
178.76,17.947
179.14,17.947
179.52,17.947
179.9,-9.36
180.28,6.24
180.66,7.8033
181.04,25.747
181.42,-14.043
181.8,-20.287
182.18,-30.427
182.55,-24.967
182.93,-8.58
183.31,3.9033
183.69,5.46
184.07,127.95
184.45,6.24
184.83,3.9033
185.21,46.027
185.59,27.303
185.97,36.667
186.35,38.227
186.72,-35.89
187.1,18.727
187.48,13.263
187.86,-50.71
188.24,17.94
188.62,-31.21
189,-23.403
189.38,-17.94
189.75,-20.28
190.13,17.163
190.51,-31.207
190.89,26.527
191.27,53.83
191.65,20.287
192.03,17.943
192.4,47.59
192.78,11.7
193.16,12.483
193.54,-5.46
193.92,21.063
194.3,0
194.67,37.447
195.05,28.87
195.43,19.507
195.81,14.043
196.19,-42.91
196.56,-25.743
196.94,11.7
197.32,-14.827
197.7,-7.8033
198.08,21.84
198.45,9.3667
198.83,-21.063
199.21,-9.36
199.59,0.78
199.97,-32.77
200.34,35.11
200.72,-15.607
201.1,49.153
201.48,14.82
201.85,60.853
202.23,28.083
202.61,9.36
202.99,-5.46
203.36,-26.523
203.74,25.747
204.12,-53.047
204.49,-9.36
204.87,24.967
205.25,-22.623
205.63,-3.1233
206,-35.11
206.38,-28.867
206.76,44.47
207.14,-21.07
207.51,-1.56
207.89,-16.383
208.27,-10.147
208.64,-7.0233
209.02,7.02
209.4,-3.9
209.77,10.923
210.15,-40.57
210.53,50.713
210.9,-7.02
211.28,19.503
211.66,-29.647
212.03,-36.67
212.41,19.503
212.79,20.283
213.16,21.07
213.54,16.383
213.92,118.59
214.29,11.707
214.67,37.447
215.05,30.427
215.42,-12.483
215.8,-64.753
216.17,17.163
216.55,-17.163
216.93,-22.623
217.3,9.36
217.68,-85.82
218.05,-25.743
218.43,-21.067
218.81,46.81
219.18,-27.307
219.56,11.703
219.93,7.02
220.31,28.087
220.69,-15.603
221.06,1.5633
221.44,29.647
221.81,29.65
222.19,51.49
222.56,63.977
222.94,7.0233
223.32,-3.9
223.69,7.02
224.07,30.427
224.44,13.263
224.82,31.207
225.19,-68.66
225.57,14.043
225.94,-12.483
226.32,17.163
226.69,-21.063
227.07,62.413
227.44,23.403
227.82,29.647
228.19,35.107
228.57,30.43
228.94,-21.063
229.32,-31.99
229.69,-12.48
230.07,40.567
230.44,18.72
230.82,-51.49
231.19,-72.557
231.57,21.067
231.94,-35.107
232.32,-29.647
232.69,42.127
233.07,11.703
233.44,-25.747
233.82,0.78
234.19,-21.843
234.57,-12.483
234.94,25.743
235.31,-43.687
235.69,14.047
236.06,17.943
236.44,36.67
236.81,-13.267
237.19,-24.187
237.56,-10.92
237.93,-19.507
238.31,55.397
238.68,25.747
239.06,-14.047
239.43,-24.183
239.81,-3.9
240.18,-2.34
240.55,-16.383
240.93,-83.477
241.3,0
241.67,95.96
242.05,-44.47
242.42,0.78
242.8,16.387
243.17,-60.857
243.54,-24.97
243.92,17.163
244.29,-9.36
244.66,11.703
245.04,-8.58
245.41,-7.8033
245.78,16.383
246.16,7.8
246.53,-42.133
246.9,33.553
247.28,-11.703
247.65,-1.56
248.02,-12.483
248.4,-7.0233
248.77,28.083
249.14,-37.45
249.52,16.387
249.89,0
250.26,23.403
250.64,28.863
251.01,67.097
251.38,5.4633
251.75,56.957
252.13,39.79
252.5,-28.083
252.87,-27.307
253.25,11.7
253.62,-6.2433
253.99,26.53
254.36,24.187
254.74,-21.847
255.11,31.207
255.48,-10.14
255.85,24.963
256.23,28.87
256.6,10.92
256.97,6.24
257.34,56.173
257.71,12.487
258.09,-10.923
258.46,7.8033
258.83,-10.923
259.2,-48.37
259.58,-3.9033
259.95,35.887
260.32,25.747
260.69,8.58
261.06,67.093
261.44,24.963
261.81,-28.087
262.18,-13.267
262.55,35.89
262.92,18.727
263.29,28.083
263.67,23.407
264.04,-34.327
264.41,-19.507
264.78,10.143
265.15,21.843
265.52,-11.7
265.9,-18.723
266.27,15.603
266.64,-35.883
267.01,1.5633
267.38,-1.5567
267.75,0.78
268.12,59.293
268.5,-0.78333
268.87,-9.36
269.24,-10.92
269.61,31.99
269.98,-10.143
270.35,-5.46
270.72,6.2467
271.09,-12.48
271.46,22.63
271.83,0
272.21,40.57
272.58,-19.507
272.95,-11.7
273.32,9.3633
273.69,28.09
274.06,-50.707
274.43,-20.287
274.8,-21.067
275.17,-28.087
275.54,82.697
275.91,-24.18
276.28,1.5667
276.65,7.0267
277.02,33.543
277.39,15.603
277.76,90.5
278.13,80.36
278.5,-0.78333
278.87,-41.353
279.24,-11.7
279.61,-6.24
279.98,-15.603
280.35,-62.413
280.72,-3.1233
281.09,30.427
281.46,-39.01
281.83,-100.64
282.2,18.72
282.57,39.01
282.94,58.513
283.31,-22.62
283.68,53.053
284.05,-32.77
284.42,-12.487
284.79,63.193
285.16,7.8
285.53,18.723
285.9,14.823
286.27,53.057
286.64,21.067
287.01,10.14
287.38,10.927
287.75,61.633
288.12,-17.943
288.49,-13.263
288.86,-42.13
289.23,17.943
289.59,4.68
289.96,-55.393
290.33,42.913
290.7,7.8
291.07,-7.8033
291.44,-25.747
291.81,-53.053
292.18,28.867
292.55,10.143
292.91,-21.06
293.28,0.0033333
293.65,43.693
294.02,-3.1233
294.39,18.72
294.76,13.26
295.13,20.28
295.5,23.407
295.86,17.167
296.23,76.457
296.6,41.35
296.97,-17.947
297.34,-10.923
297.71,63.197
298.07,31.987
298.44,-26.523
298.81,-15.607
299.18,77.237
299.55,88.943
299.91,-10.923
300.28,0.78
300.65,-9.3667
301.02,-11.703
301.39,24.183
301.75,0.78
302.12,5.46
302.49,6.2433
302.86,41.35
303.23,3.12
303.59,-31.21
303.96,16.383
304.33,39.01
304.7,-2.3367
305.06,-24.187
305.43,15.603
305.8,-32.773
306.17,9.3567
306.53,39.007
306.9,80.357
307.27,-7.8
307.64,-7.8033
308,39.007
308.37,-26.523
308.74,9.36
309.11,63.193
309.47,3.1233
309.84,-10.143
310.21,23.407
310.57,5.4633
310.94,48.37
311.31,16.387
311.67,43.69
312.04,40.573
312.41,-6.2433
312.77,36.667
313.14,10.92
313.51,-7.8
313.87,-8.58
314.24,0.77667
314.61,54.61
314.97,11.707
315.34,24.967
315.71,-21.847
316.07,7.0233
316.44,17.163
316.81,23.403
317.17,35.11
317.54,-20.283
317.91,44.467
318.27,42.91
318.64,11.7
319,24.183
319.37,5.4633
319.74,22.623
320.1,-31.21
320.47,-19.507
320.83,-16.383
321.2,23.407
321.57,-46.803
321.93,3.1233
322.3,3.9033
322.66,-9.3633
323.03,1.56
323.4,-33.547
323.76,-1.5633
324.13,-46.813
324.49,6.24
324.86,49.93
325.22,17.167
325.59,-3.1233
325.95,16.387
326.32,-51.493
326.68,3.9033
327.05,0
327.42,-24.963
327.78,10.927
328.15,2.3367
328.51,4.68
328.88,-51.497
329.24,-15.607
329.61,31.99
329.97,2.3433
330.34,46.027
330.7,21.843
331.07,1.56
331.43,6.2467
331.8,-42.13
332.16,-6.24
332.52,-42.91
332.89,4.68
333.25,29.647
333.62,7.8
333.98,44.47
334.35,15.603
334.71,22.62
335.08,33.543
335.44,21.843
335.81,36.67
336.17,31.99
336.53,65.533
336.9,-26.527
337.26,7.0233
337.63,-0.78
337.99,27.307
338.36,-2.3433
338.72,-3.9
339.08,33.547
339.45,-0.77667
339.81,42.13
340.18,73.337
340.54,-11.703
340.9,-21.843
341.27,-31.207
341.63,13.267
341.99,-14.823
342.36,-20.29
342.72,2.34
343.09,21.847
343.45,-9.36
343.81,-34.327
344.18,-39.007
344.54,-15.603
344.9,25.747
345.27,-63.973
345.63,80.36
345.99,14.823
346.36,4.68
346.72,-24.967
347.08,20.287
347.45,-3.12
347.81,-7.0167
348.17,35.107
348.54,-40.573
348.9,-31.203
349.26,74.897
349.62,10.92
349.99,-2.3433
350.35,14.043
350.71,56.173
351.08,0.78
351.44,28.083
351.8,41.35
352.16,0
352.53,23.403
352.89,47.593
353.25,21.847
353.61,38.23
353.98,54.613
354.34,-10.923
354.7,83.48
355.06,3.9
355.43,12.487
355.79,-5.46
356.15,55.393
356.51,12.48
356.88,31.99
357.24,14.827
357.6,9.3633
357.96,3.9
358.32,-6.2367
358.69,-14.043
359.05,18.723
359.41,46.81
359.77,25.747
360.13,33.547
360.49,12.48
360.86,34.327
361.22,37.45
361.58,-11.703
361.94,0.78333
362.3,49.933
362.66,60.857
363.03,8.58
363.39,65.537
363.75,-14.043
364.11,3.1233
364.47,29.643
364.83,15.603
365.19,26.523
365.56,-31.207
365.92,9.3633
366.28,-3.9
366.64,-6.24
367,-30.43
367.36,-46.807
367.72,-14.823
368.08,-3.9
368.44,-42.133
368.8,-22.623
369.17,-52.27
369.53,11.703
369.89,21.067
370.25,-15.603
370.61,36.667
370.97,12.48
371.33,1.56
371.69,6.2467
372.05,2.3433
372.41,-15.603
372.77,-29.647
373.13,-12.48
373.49,51.49
373.85,40.57
374.21,22.627
374.57,43.69
374.93,27.307
375.29,-16.387
375.65,-24.183
376.01,6.24
376.37,7.8
376.73,-1.56
377.09,-7.8033
377.45,-13.267
377.81,7.8033
378.17,-13.263
378.53,-12.483
378.89,46.027
379.25,28.087
379.61,16.387
379.97,25.743
380.33,32.767
380.69,-7.8
381.05,22.623
381.41,-31.207
381.77,-7.8067
382.13,-17.943
382.49,-17.163
382.85,10.137
383.21,24.97
383.57,22.627
383.93,38.23
384.28,-21.063
384.64,64.753
385,-57.737
385.36,8.5833
385.72,-42.127
386.08,3.9033
386.44,0.78667
386.8,36.667
387.16,-21.067
387.52,-14.827
387.87,-23.407
388.23,-18.727
388.59,39.79
388.95,10.92
389.31,18.727
389.67,-45.25
390.03,-15.6
390.38,-7.8
390.74,11.703
391.1,66.317
391.46,0.78333
391.82,-9.36
392.18,28.863
392.54,-3.12
392.89,2.3433
393.25,54.61
393.61,-35.107
393.97,25.747
394.33,123.26
394.68,-3.9033
395.04,-21.847
395.4,3.12
395.76,53.83
396.12,-24.183
396.47,37.447
396.83,56.173
397.19,10.92
397.55,5.4567
397.9,-28.087
398.26,24.967
398.62,38.223
398.98,81.92
399.33,13.257
399.69,-75.673
400.05,12.487
400.41,33.55
400.76,19.507
401.12,-11.703
401.48,-24.19
401.84,28.09
402.19,-4.6833
402.55,-6.2433
402.91,-10.14
403.26,35.887
403.62,-35.883
403.98,-17.947
404.34,37.443
404.69,-36.67
405.05,3.8967
405.41,39.79
405.76,-101.43
406.12,-4.68
406.48,3.12
406.83,-13.263
407.19,-2.34
407.55,-18.723
407.9,-25.743
408.26,14.043
408.62,1.56
408.97,17.947
409.33,-6.24
409.68,-28.867
410.04,42.913
410.4,-11.703
410.75,22.623
411.11,32.763
411.47,14.047
411.82,-20.283
412.18,-35.887
