wavelength,intensity
178.76,1753.8
179.14,1753.8
179.52,1753.8
179.9,1714.8
180.28,1847.5
180.66,1852.9
181.04,1862.3
181.42,1802.2
181.8,1796.8
182.18,1881
182.55,1805.3
182.93,1867.8
183.31,1865.4
183.69,1927
184.07,1933.3
184.45,1916.9
184.83,1946.5
185.21,1958.2
185.59,1988.7
185.97,2158.8
186.35,2104.1
186.72,2010.5
187.1,2064.4
187.48,2127.5
187.86,2074.5
188.24,2035.5
188.62,2060.5
189,2136.9
189.38,2125.2
189.75,2135.4
190.13,2163.4
190.51,2093.2
190.89,2249.3
191.27,2378
191.65,2132.2
192.03,2147.8
192.4,2219.6
192.78,2171.2
193.16,2204.8
193.54,2218
193.92,2218
194.3,2161.9
194.67,2203.2
195.05,2177.5
195.43,2179.8
195.81,2136.9
196.19,2194.6
196.56,2151.7
196.94,2174.4
197.32,2208.7
197.7,2147
198.08,2204
198.45,2147.8
198.83,2131.5
199.21,2141.6
199.59,2240.7
199.97,2147.8
200.34,2147.8
200.72,2115.8
201.1,2258.6
201.48,2214.1
201.85,2124.4
202.23,2161.9
202.61,2129.9
202.99,2254.7
203.36,2090.1
203.74,2151.7
204.12,2061.2
204.49,2107.3
204.87,2169.7
205.25,2107.3
205.63,2144.7
206,2104.1
206.38,2129.1
206.76,2204
207.14,2107.3
207.51,2122.9
207.89,2181.4
208.27,2129.9
208.64,2094.8
209.02,2101
209.4,2121.3
209.77,2133
210.15,2203.2
210.53,2138.5
210.9,2197.8
211.28,2156.4
211.66,2193.1
212.03,2110.4
212.41,2144.7
212.79,2169.7
213.16,2145.5
213.54,2162.7
213.92,2224.3
214.29,2152.5
214.67,2190
215.05,2188.4
215.42,2158.8
215.8,2149.4
216.17,2168.9
216.55,2137.7
216.93,2104.1
217.3,2158
217.68,2083.1
218.05,2115.8
218.43,2126.8
218.81,2140
219.18,2198.5
219.56,2155.6
219.93,2121.3
220.31,2172.8
220.69,2119
221.06,2149.4
221.44,2170.5
221.81,2161.1
222.19,2154.1
222.56,2162.7
222.94,2122.1
223.32,2110.4
223.69,2130.7
224.07,2194.6
224.44,2203.2
224.82,2153.3
225.19,2149.4
225.57,2169.7
225.94,2171.2
226.32,2148.6
226.69,2211.8
227.07,2253.2
227.44,2182.2
227.82,2167.3
228.19,2146.3
228.57,2198.5
228.94,2207.9
229.32,2190
229.69,2170.5
230.07,2183.7
230.44,2146.3
230.82,2179
231.19,2158.8
231.57,2163.4
231.94,2075.3
232.32,2271.9
232.69,2190.7
233.07,2159.5
233.44,2163.4
233.82,2147.1
234.19,2119
234.57,2197
234.94,2146.3
235.31,2128.3
235.69,2162.7
236.06,2161.1
236.44,2193.9
236.81,2117.4
237.19,2136.9
237.56,2214.9
237.93,2157.2
238.31,2218.8
238.68,2180.6
239.06,2150.2
239.43,2185.3
239.81,2175.9
240.18,2129.9
240.55,2131.5
240.93,2228.2
241.3,2186.8
241.67,2236
242.05,2191.5
242.42,2180.6
242.8,2151.7
243.17,2133
243.54,2165
243.92,2208.7
244.29,2140.8
244.66,2155.6
245.04,2225.8
245.41,2284.4
245.78,2137.7
246.16,2150.2
246.53,2170.5
246.9,2186.8
247.28,2237.6
247.65,2140.8
248.02,2141.6
248.4,2161.9
248.77,2182.9
249.14,2154.9
249.52,2182.9
249.89,2191.5
250.26,2159.5
250.64,2177.5
251.01,2314.8
251.38,2158
251.75,2190
252.13,2182.9
252.5,2175.9
252.87,2224.3
253.25,2130.7
253.62,2199.3
253.99,2159.5
254.36,2195.4
254.74,2152.5
255.11,2170.5
255.48,2143.2
255.85,2269.5
256.23,2172.8
256.6,2154.9
256.97,2161.9
257.34,2198.5
257.71,2167.3
258.09,2145.5
258.46,2183.7
258.83,2214.1
259.2,2200.9
259.58,2165
259.95,2183.7
260.32,2220.4
260.69,2193.9
261.06,2261.7
261.44,2189.2
261.81,2247.7
262.18,2159.5
262.55,2190.7
262.92,2193.1
263.29,2154.1
263.67,2134.6
264.04,2147.8
264.41,2150.2
264.78,2178.3
265.15,2219.6
265.52,2246.9
265.9,2179
266.27,2184.5
266.64,2125.2
267.01,2136.9
267.38,2192.3
267.75,2165
268.12,2182.9
268.5,2172
268.87,2182.9
269.24,2155.6
269.61,2190
269.98,2198.5
270.35,2178.3
270.72,2161.9
271.09,2166.6
271.46,2167.3
271.83,2194.6
272.21,2222.7
272.58,2139.3
272.95,2144.7
273.32,2179
273.69,2204
274.06,2131.5
274.43,2143.9
274.8,2160.3
275.17,2171.2
275.54,2319.5
275.91,2184.5
276.28,2195.4
276.65,2205.6
277.02,2279.7
277.39,2158
277.76,2226.6
278.13,2250.8
278.5,2187.6
278.87,2219.6
279.24,2192.3
279.61,2200.9
279.98,2257.1
280.35,2136.9
280.72,2190
281.09,2210.2
281.46,2180.6
281.83,2119
282.2,2234.4
282.57,2154.9
282.94,2224.3
283.31,2156.4
283.68,2226.6
284.05,2137.7
284.42,2137.7
284.79,2210.2
285.16,2205.6
285.53,2205.6
285.9,2197
286.27,2310.9
286.64,2151
287.01,2176.7
287.38,2198.5
287.75,3131.6
288.12,2268
288.49,2343.7
288.86,2147.8
289.23,2180.6
289.59,2175.9
289.96,2142.4
290.33,2172
290.7,2173.6
291.07,2190.7
291.44,2186.8
291.81,2130.7
292.18,2197
292.55,2190
292.91,2281.2
293.28,2201.7
293.65,2251.6
294.02,2165.8
294.39,2156.4
294.76,2166.6
295.13,2205.6
295.5,2208.7
295.86,2206.3
296.23,2168.9
296.6,2185.3
296.97,2137.7
297.34,2157.2
297.71,2231.3
298.07,2215.7
298.44,2158
298.81,2167.3
299.18,2236.8
299.55,2292.2
299.91,2167.3
300.28,2182.2
300.65,2151
301.02,2193.9
301.39,2239.9
301.75,2259.4
302.12,2227.4
302.49,2193.1
302.86,2242.2
303.23,2212.6
303.59,2162.7
303.96,2331.2
304.33,2262.5
304.7,2313.2
305.06,2180.6
305.43,2211
305.8,2182.9
306.17,2213.4
306.53,2221.9
306.9,2269.5
307.27,2179.8
307.64,2235.2
308,2202.4
308.37,2144.7
308.74,2262.5
309.11,2238.3
309.47,2174.4
309.84,2131.4
310.21,2201.7
310.57,2183.7
310.94,2208.7
311.31,2190.7
311.67,2223.5
312.04,2204
312.41,2221.2
312.77,2223.5
313.14,2190.7
313.51,2197.8
313.87,2178.3
314.24,2175.9
314.61,2166.6
314.97,2187.6
315.34,2218.8
315.71,2142.4
316.07,2219.6
316.44,2172
316.81,2220.4
317.17,2193.1
317.54,2313.2
317.91,2205.6
318.27,2173.6
318.64,2180.6
319,2204.8
319.37,2171.2
319.74,2232.9
320.1,2207.1
320.47,2143.9
320.83,2219.6
321.2,2220.4
321.57,2138.5
321.93,2171.2
322.3,2206.3
322.66,2161.9
323.03,2227.4
323.4,2198.5
323.76,2184.5
324.13,2170.5
324.49,2186.8
324.86,2377.2
325.22,2196.2
325.59,2187.6
325.95,2195.4
326.32,2172
326.68,2225.9
327.05,2168.9
327.42,2162.7
327.78,2181.4
328.15,2239.1
328.51,2176.7
328.88,2164.2
329.24,2236
329.61,2211
329.97,2224.3
330.34,2190
330.7,2204
331.07,2258.6
331.43,2224.3
331.8,2271.9
332.16,2229.8
332.52,2136.1
332.89,2215.7
333.25,2189.2
333.62,2254.7
333.98,2254.7
334.35,2172
334.71,2179.8
335.08,2179
335.44,2266.4
335.81,2292.2
336.17,2255.5
336.53,2197.8
336.9,2140
337.26,2213.4
337.63,2316.3
337.99,2226.6
338.36,2186.1
338.72,2228.2
339.08,2213.4
339.45,2154.1
339.81,2239.1
340.18,2217.3
340.54,2223.5
340.9,2158.8
341.27,2140
341.63,2214.9
341.99,2160.3
342.36,2263.3
342.72,2169.7
343.09,2268.8
343.45,2167.3
343.81,2260.2
344.18,2146.3
344.54,2177.5
344.9,2221.9
345.27,2174.4
345.63,2218.1
345.99,2217.3
346.36,2187.6
346.72,2162.7
347.08,2175.1
347.45,2193.9
347.81,2246.1
348.17,2207.9
348.54,2170.5
348.9,2201.7
349.26,2264.1
349.62,2257.8
349.99,2147.8
350.35,2175.9
350.71,2208.7
351.08,2190.7
351.44,2189.2
351.8,2282
352.16,2239.1
352.53,2201.7
352.89,2248.5
353.25,2286.7
353.61,2232.1
353.98,2252.4
354.34,2232.9
