wavelength,intensity
178.76,1725
179.14,1725
179.52,1725
179.9,1723.4
180.28,10988
180.66,9784.2
181.04,9714
181.42,7506.1
181.8,6266.4
182.18,11114
182.55,5945.7
182.93,7358.6
183.31,7123
183.69,8016.3
184.07,8406.4
184.45,7094.2
184.83,7389.8
185.21,6702.5
185.59,6788.3
185.97,16667
186.35,12175
186.72,7160.5
187.1,7322.8
187.48,11853
187.86,9148.4
188.24,6747.8
188.62,6347.5
189,11061
189.38,7952.4
189.75,8106.1
190.13,8099.8
190.51,6338.2
190.89,15269
191.27,21242
191.65,7034.9
192.03,7886.8
192.4,10420
192.78,7804.9
193.16,8884.7
193.54,12413
193.92,10869
194.3,6683
194.67,9624.3
195.05,8491.5
195.43,7330.6
195.81,7094.9
196.19,10778
196.56,7985.9
196.94,7463.2
197.32,11637
197.7,6546.5
198.08,8565.6
198.45,6798.5
198.83,7726.9
199.21,6896.8
199.59,12433
199.97,8196.6
200.34,6061.2
200.72,6728.3
201.1,14284
201.48,10114
201.85,6467.7
202.23,7070
202.61,6574.6
202.99,16339
203.36,6562.9
203.74,9160.1
204.12,7679.3
204.49,6659.6
204.87,8963.5
205.25,7211.2
205.63,5920
206,6498.9
206.38,7968.7
206.76,9748.3
207.14,6648.7
207.51,5949.6
207.89,10914
208.27,6435.7
208.64,5478.4
209.02,6724.4
209.4,7019.3
209.77,5724.9
210.15,15614
210.53,5991
210.9,11458
211.28,6260.9
211.66,12162
212.03,6691.6
212.41,5840.4
212.79,7283
213.16,5981.6
213.54,7787
213.92,8024.1
214.29,5692.2
214.67,6612.8
215.05,6920.2
215.42,9470.6
215.8,6956.9
216.17,6797.7
216.55,7890.7
216.93,5920.8
217.3,9125.7
217.68,6546.5
218.05,6828.9
218.43,6544.9
218.81,6821.1
219.18,11307
219.56,6813.3
219.93,6758.7
220.31,6664.3
220.69,5960.6
221.06,6290.6
221.44,7793.2
221.81,6303.8
222.19,5719.5
222.56,6225.8
222.94,6963.9
223.32,7634.8
223.69,6394.3
224.07,8998.6
224.44,10091
224.82,7672.3
