wavelength,intensity
178.76,1714.1
179.14,1714.1
179.52,1714.1
179.9,1671.5
180.28,11093
180.66,9958.6
181.04,9796.3
181.42,7507.7
181.8,6358.1
182.18,11141
182.55,5941.8
182.93,7425
183.31,7138.6
183.69,7987.1
184.07,8331.9
184.45,7090.7
184.83,7417.5
185.21,6640.9
185.59,6831.6
185.97,16796
186.35,12126
186.72,7212
187.1,7392.2
187.48,11754
187.86,9099.6
188.24,6752.1
188.62,6278.5
189,11105
189.38,8046
189.75,8101.8
190.13,8122.4
190.51,6412.3
190.89,15349
191.27,21347
191.65,7086
192.03,7946.5
192.4,10423
192.78,7758.5
193.16,8948.6
193.54,12534
193.92,11076
194.3,6785.6
194.67,9775.6
195.05,8573.8
195.43,7504.5
195.81,7045.8
196.19,10977
196.56,7902.8
196.94,7503.4
197.32,11848
197.7,6644.4
198.08,8790.3
198.45,6832.8
198.83,7756.5
199.21,6938.5
199.59,12431
199.97,8218.8
200.34,6002.3
200.72,6691.6
201.1,14218
201.48,10090
201.85,6459.9
202.23,7013.4
202.61,6579.6
202.99,16448
203.36,6624.1
203.74,9310.3
204.12,7573.2
204.49,6641.7
204.87,9045.8
205.25,7276.3
205.63,5874.7
206,6522.3
206.38,8012
206.76,9720.6
207.14,6719.3
207.51,5977.3
207.89,10926
208.27,6483.7
208.64,5492.5
209.02,6749.7
209.4,7076.6
209.77,5706.2
210.15,14881
210.53,6001.5
210.9,11494
211.28,6327.6
211.66,12170
212.03,6660.4
212.41,5944.6
212.79,7227.2
213.16,6058.9
213.54,7756.1
213.92,7978.9
214.29,5659.8
214.67,6630.7
215.05,6914.3
215.42,9452.3
215.8,6884.3
216.17,6826.6
216.55,7960.9
216.93,5941.4
217.3,9159.3
217.68,6470.8
218.05,6860.1
218.43,6586.7
218.81,6932.7
219.18,11272
219.56,6793.4
219.93,6710.7
220.31,6676
220.69,6019.1
221.06,6210.6
221.44,7862.6
221.81,6386.5
222.19,5779.2
222.56,6235.6
222.94,6931.5
223.32,7760.8
223.69,6417
224.07,9074.3
224.44,10060
224.82,7639.9
225.19,8637.7
225.57,7666.8
225.94,6787.6
226.32,7386.3
226.69,12582
227.07,9480.7
227.44,6853.1
227.82,8000
228.19,7063.3
228.57,8807.4
228.94,11826
229.32,9799
229.69,9083.6
230.07,6908.5
230.44,6313.2
230.82,11098
231.19,9555.2
231.57,5717.9
231.94,5819
232.32,15460
232.69,7385.2
233.07,7642.2
