wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,-0
205.25,-0
205.63,0
206,0
206.38,-0
206.76,0
207.14,-0
207.51,0
207.89,-0
208.27,-0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,-0
210.53,0
210.9,-9.6731e+11
211.28,-9.6731e+11
211.66,-1.2028e+13
212.03,-1.2028e+13
212.41,-1.2028e+13
212.79,5.6563e+11
213.16,5.8603e+12
213.54,2.0135e+13
213.92,2.0135e+13
214.29,3.481e+13
214.67,3.481e+13
215.05,3.481e+13
215.42,3.481e+13
215.8,3.481e+13
216.17,2.7776e+13
216.55,1.3723e+13
216.93,-7.7083e+12
217.3,-1.9159e+13
217.68,-1.9159e+13
218.05,-1.9159e+13
218.43,-7.7083e+12
218.81,-1.7267e+12
219.18,-1.2943e+13
219.56,8.4881e+12
219.93,-1.2943e+13
220.31,-1.2943e+13
220.69,-1.3101e+13
221.06,-1.3101e+13
221.44,-1.3101e+13
221.81,-2.1198e+13
222.19,-2.1198e+13
222.56,-2.4399e+13
222.94,-2.2441e+13
223.32,-2.2441e+13
223.69,-9.1356e+12
224.07,-9.1356e+12
224.44,1.7321e+12
224.82,1.7321e+12
225.19,-8.9586e+11
225.57,1.7321e+12
225.94,3.8555e+12
226.32,8.3772e+12
226.69,8.3772e+12
227.07,8.3772e+12
227.44,8.4838e+12
227.82,8.4838e+12
228.19,5.3225e+12
228.57,5.3225e+12
228.94,5.3225e+12
229.32,4.784e+12
229.69,4.8906e+12
230.07,4.8906e+12
230.44,7.0875e+10
230.82,-7.9018e+12
231.19,-7.9018e+12
231.57,-7.9018e+12
231.94,7.0875e+10
232.32,7.0875e+10
232.69,7.0875e+10
233.07,9.2144e+10
233.44,9.2144e+10
233.82,9.2144e+10
234.19,2.4875e+11
234.57,2.4875e+11
234.94,-6.6525e+12
235.31,2.4875e+11
