wavelength,intensity
178.76,30.038
179.14,30.038
179.52,30.038
179.9,3.51
180.28,-8.9717
180.66,-131.85
181.04,81.922
181.42,41.74
181.8,60.855
182.18,31.987
182.55,-33.94
182.93,23.017
183.31,18.335
183.69,-111.17
184.07,18.335
184.45,-20.285
184.83,-26.525
185.21,-22.237
185.59,80.747
185.97,-75.285
186.35,-14.042
186.72,-32.378
187.1,24.965
187.48,0.39
187.86,19.895
188.24,47.592
188.62,-30.815
189,-20.672
189.38,39.398
189.75,70.215
190.13,27.307
190.51,35.888
190.89,72.558
191.27,-138.48
191.65,-30.038
192.03,-55.393
192.4,-41.352
192.78,-41.738
193.16,13.653
193.54,33.55
193.92,78.405
194.3,-48.762
194.67,-37.837
195.05,-65.537
195.43,-21.455
195.81,-5.85
196.19,60.073
196.56,17.163
196.94,-40.57
197.32,14.04
197.7,15.213
198.08,33.155
198.45,7.4117
198.83,65.145
199.21,-15.607
199.59,-102.59
199.97,30.817
200.34,90.505
200.72,57.342
201.1,-4.6783
201.48,9.75
201.85,27.308
202.23,0.0033333
202.61,-56.175
202.99,-90.11
203.36,22.237
203.74,63.192
204.12,78.017
204.49,56.172
204.87,-0.39
205.25,104.93
205.63,21.065
206,-36.277
206.38,23.797
206.76,-78.412
207.14,-13.26
207.51,-72.947
207.89,-63.975
208.27,42.907
208.64,-27.303
209.02,27.305
209.4,35.5
209.77,-4.2917
210.15,240.69
210.53,-7.0233
210.9,61.243
211.28,15.995
211.66,-40.182
212.03,1.56
212.41,46.423
212.79,27.697
213.16,-1.955
213.54,-72.945
213.92,-54.61
214.29,54.613
214.67,-0.77833
215.05,-38.617
215.42,-73.725
215.8,-10.142
216.17,12.873
216.55,27.308
216.93,-36.28
217.3,57.735
217.68,111.18
218.05,10.533
218.43,17.553
218.81,105.71
219.18,-72.56
219.56,60.85
219.93,51.102
220.31,59.685
220.69,-24.967
221.06,17.942
221.44,0.39
221.81,74.113
222.19,22.235
222.56,29.257
222.94,-49.538
223.32,-26.915
223.69,-0.39
224.07,-1.5583
224.44,-8.5817
224.82,34.715
225.19,9.7533
225.57,12.095
225.94,3.5117
226.32,42.133
226.69,-12.873
227.07,34.328
227.44,26.915
227.82,-27.695
228.19,-28.867
228.57,-26.918
228.94,14.042
229.32,-1.1717
229.69,99.085
230.07,18.722
230.44,20.673
230.82,-10.143
231.19,-39.4
231.57,42.912
231.94,-35.108
232.32,-48.763
232.69,-15.215
233.07,8.5817
233.44,12.095
233.82,7.4117
234.19,-62.415
234.57,76.847
234.94,-17.163
235.31,54.22
235.69,9.7517
236.06,1.56
236.44,-7.8017
236.81,7.805
237.19,33.158
237.56,84.648
237.93,-19.115
238.31,-35.108
238.68,-1.5583
239.06,-30.425
239.43,-22.235
239.81,-8.9717
240.18,38.227
240.55,31.985
240.93,23.015
241.3,112.34
241.67,38.228
242.05,51.49
242.42,-20.285
242.8,40.568
243.17,8.9717
243.54,22.233
243.92,-1.5567
244.29,-26.525
244.66,-21.455
245.04,63.585
245.41,13.653
245.78,36.282
246.16,7.41
246.53,-14.435
246.9,68.268
247.28,-21.457
247.65,34.718
248.02,-36.277
248.4,25.745
248.77,-21.455
249.14,-54.612
249.52,35.885
249.89,7.0217
250.26,45.64
250.64,3.1183
251.01,95.182
251.38,7.41
251.75,-21.453
252.13,22.625
252.5,159.55
252.87,27.307
253.25,86.207
253.62,54.223
253.99,74.115
254.36,33.552
254.74,60.075
255.11,111.56
255.48,69.435
255.85,-12.482
256.23,57.733
256.6,48.762
256.97,20.285
257.34,29.257
257.71,17.163
258.09,-55.783
258.46,-1.95
258.83,16.385
259.2,36.668
259.58,43.688
259.95,62.803
260.32,-29.645
260.69,52.27
261.06,78.407
261.44,134.58
261.81,45.248
262.18,67.875
262.55,69.827
262.92,19.893
263.29,73.337
263.67,79.575
264.04,93.623
264.41,18.723
264.78,-5.0717
265.15,115.47
265.52,123.66
