wavelength,intensity
178.76,1716
179.14,1716
179.52,1716
179.9,1693.8
180.28,11218
180.66,9978.5
181.04,9849.8
181.42,7596.2
181.8,6389.7
182.18,11186
182.55,6001.9
182.93,7551.3
183.31,7275.9
183.69,8062.8
184.07,8423.6
184.45,7171
184.83,7470.6
185.21,6711.9
185.59,6910.8
185.97,16843
186.35,12288
186.72,7217.4
187.1,7414.8
187.48,11972
187.86,9278.7
188.24,6833.2
188.62,6394.7
189,11231
189.38,8094.4
189.75,8181.3
190.13,8178.6
190.51,6421.3
190.89,15496
191.27,21655
191.65,7089.9
192.03,8036.2
192.4,10536
192.78,7756.9
193.16,8933
193.54,12664
193.92,11098
194.3,6856.6
194.67,9771.3
195.05,8610
195.43,7447.6
195.81,7182.3
196.19,11012
196.56,7942.6
196.94,7521.7
197.32,11922
197.7,6692.8
198.08,8781.7
198.45,6846.1
198.83,7742.1
199.21,6960.8
199.59,12573
199.97,8233.2
200.34,6015.2
200.72,6717.3
201.1,14498
201.48,10193
201.85,6547.3
202.23,7150.3
202.61,6682.6
202.99,16419
203.36,6674
203.74,9424.9
204.12,7646.1
204.49,6649.5
204.87,9091.8
205.25,7255.7
205.63,5868.5
206,6585.5
206.38,8085.8
206.76,9865.4
207.14,6711.1
207.51,6042.5
207.89,11034
208.27,6478.2
208.64,5545.5
209.02,6747.8
209.4,7226
209.77,5728.5
210.15,15334
210.53,5973.8
210.9,11531
211.28,6343.2
211.66,12414
212.03,6683.8
212.41,5981.6
212.79,7334.8
213.16,6097.9
213.54,7897.4
213.92,8059.2
214.29,5683.2
214.67,6704.1
215.05,6965.4
215.42,9468.2
215.8,6967
216.17,6849.2
216.55,8042.5
216.93,5980.1
217.3,9128.9
217.68,6539.1
218.05,6855.8
218.43,6686.9
218.81,6992.7
219.18,11424
219.56,6917.5
219.93,6658.4
220.31,6665.1
220.69,5979.7
221.06,6290.6
221.44,7923.5
221.81,6404.9
222.19,5791.7
222.56,6221.5
222.94,7012.6
223.32,7822.8
223.69,6437.6
224.07,9145.3
224.44,10166
224.82,7678.9
225.19,8676.4
225.57,7707.4
225.94,6841.4
226.32,7518.2
226.69,12654
227.07,8818.7
227.44,6895.2
227.82,8045.6
228.19,7141.4
228.57,8932.7
228.94,11987
229.32,9804.1
229.69,9078.9
230.07,6940.5
230.44,6340.9
230.82,11264
231.19,9757.7
231.57,5764.3
231.94,5877.1
232.32,15662
232.69,7410.1
233.07,7716.7
233.44,7000.5
233.82,7045
234.19,7645.4
234.57,10278
234.94,6521.5
235.31,6871.4
235.69,7341.1
236.06,7696.1
236.44,8902.6
236.81,6017.1
237.19,8128.3
237.56,11959
237.93,6557.8
238.31,7885.3
238.68,7053.6
239.06,7822.5
239.43,9022.8
239.81,8275.4
240.18,6101.4
240.55,6401.8
240.93,13253
241.3,7935.2
