wavelength,intensity
178.76,1700
179.14,1700
179.52,1700
179.9,1690.3
180.28,11206
180.66,10025
181.04,9846.2
181.42,7645.4
181.8,6439.2
182.18,11249
182.55,5964.1
182.93,7530.7
183.31,7189.3
183.69,8041.3
184.07,8363.5
184.45,7214.7
184.83,7492.4
185.21,6744.3
185.59,6893.3
185.97,16925
186.35,12275
186.72,7203.4
187.1,7401.9
187.48,11931
187.86,9244.3
188.24,6841
188.62,6263.3
189,11190
189.38,8080.3
189.75,8143.5
190.13,8173.5
190.51,6452.5
190.89,15536
191.27,21568
191.65,7154.2
192.03,8037
192.4,10468
192.78,7801.4
193.16,8968.5
193.54,12548
193.92,11105
194.3,6822.7
194.67,9720.6
195.05,8530.9
195.43,7484.3
195.81,7075.8
196.19,10982
196.56,7922.7
196.94,7504.1
197.32,11909
197.7,6697.4
198.08,8870.6
198.45,6840.6
198.83,7717.9
199.21,6978.7
199.59,12663
199.97,8346
200.34,6019.5
200.72,6827.7
201.1,14374
201.48,10216
201.85,6434.9
202.23,7039.2
202.61,6685
202.99,16431
203.36,6681.1
203.74,9282.6
204.12,7627
204.49,6669.4
204.87,9039.1
205.25,7279.1
205.63,5869.7
206,6515.7
206.38,8030.8
206.76,9870.4
207.14,6728.3
207.51,6059.6
207.89,11069
208.27,6477
208.64,5498.3
209.02,6828.1
209.4,7165.2
209.77,5791.7
210.15,15428
210.53,6030
210.9,11522
211.28,6279.7
211.66,12383
212.03,6707.6
212.41,5968.4
212.79,7326.7
213.16,6060.4
213.54,7907.1
213.92,8104.5
214.29,5710.5
214.67,6700.6
215.05,6972.5
215.42,9583.3
215.8,7003.3
216.17,6923.3
216.55,8014.8
216.93,5927.4
217.3,9162
217.68,6534
218.05,6858.6
218.43,6719.3
218.81,7008.3
219.18,11451
219.56,6877.7
219.93,6759.5
220.31,6739.2
220.69,6053.4
221.06,6275.8
221.44,7898.9
221.81,6377.2
222.19,5795.2
222.56,6195.8
222.94,7054.8
223.32,7756.5
223.69,6431
224.07,9081.3
224.44,10252
224.82,7781.9
225.19,8598.4
225.57,7722.6
225.94,6831.2
226.32,7465.9
226.69,12660
227.07,8770.8
227.44,6892.9
227.82,8075.6
228.19,7142.5
228.57,8847.2
228.94,11935
229.32,9812.3
229.69,9080.9
230.07,6935
230.44,6335.8
230.82,11213
231.19,9694.1
231.57,5717.9
231.94,5907.9
232.32,15622
232.69,7455.4
233.07,7675.8
233.44,7024.7
233.82,7130.4
234.19,7701.5
234.57,10338
234.94,6547.6
235.31,6882
235.69,7405.8
236.06,7696.5
236.44,8877.7
236.81,6055.7
237.19,8112.7
237.56,11985
237.93,6537.5
238.31,7908.3
238.68,7152.7
239.06,7851.3
239.43,9021.6
239.81,8326.8
240.18,6117
240.55,6346.8
240.93,13227
241.3,7980.4
241.67,7369.2
242.05,8900.7
242.42,9789.7
242.8,5971.1
243.17,7982
243.54,7954.3
243.92,9541.6
244.29,7323.1
244.66,7814.3
245.04,10488
245.41,16628
245.78,6104.1
246.16,6980.6
246.53,9091.4
246.9,7294.7
247.28,13599
247.65,7199.5
248.02,7312.6
248.4,10177
248.77,7703.1
249.14,8573.4
249.52,7062.6
249.89,8744.6
250.26,6396.3
250.64,7627.8
251.01,15814
251.38,5918
251.75,7525.2
252.13,6876.1
252.5,9243.9
252.87,13736
253.25,6100.6
253.62,8070.9
253.99,5967.6
254.36,9633.6
254.74,6720.1
255.11,6275
255.48,5671.5
255.85,14649
256.23,5857.6
256.6,5536.1
256.97,7025.1
257.34,8398.6
257.71,7804.5
258.09,7169.8
258.46,7925.4
258.83,11725
259.2,9943.8
259.58,7233.8
259.95,7544.7
260.32,9599.7
260.69,6136.9
261.06,11334
261.44,6385
261.81,13449
262.18,7991.8
262.55,6494.6
262.92,7508.8
263.29,6722.8
263.67,5912.6
264.04,6753.6
264.41,7074.7
264.78,6663.1
265.15,10595
265.52,12753
265.9,7591.5
266.27,6619.4
266.64,5917.3
267.01,5579.1
267.38,8288.2
267.75,6317.5
268.12,5420.7
268.5,7171.4
268.87,6436.5
269.24,6032.7
269.61,7956.7
269.98,8430.2
270.35,8238.3
270.72,6372.9
271.09,7090.3
271.46,6800.4
271.83,8081.1
272.21,9456.5
272.58,6107.2
272.95,6491.9
273.32,7570.1
273.69,7487.4
274.06,5726.5
274.43,6357.7
274.8,7310.7
275.17,8057.3
275.54,15128
275.91,7533.4
276.28,7521.7
276.65,7760
277.02,11400
277.39,6407.2
277.76,6386.2
278.13,8716.5
278.5,9075
278.87,10724
279.24,9393
279.61,8649.1
279.98,11840
280.35,6583.9
280.72,7765.5
281.09,7296.2
281.46,7660.6
281.83,6353
282.2,8184.9
282.57,6679.1
282.94,8314
283.31,6732.6
283.68,8029.6
284.05,5840
284.42,5677.8
284.79,7888.8
285.16,8788.3
285.53,7506.5
285.9,7532.6
286.27,15146
286.64,5783.9
287.01,6498.5
287.38,8728.6
287.75,59519
288.12,8728.2
288.49,17043
288.86,6170.8
289.23,6372.9
289.59,6393.6
289.96,6150.5
290.33,6655.7
290.7,6909.3
291.07,8705.6
291.44,8175.9
291.81,6284.3
292.18,7639.5
292.55,6948.3
292.91,13119
293.28,8501.6
293.65,11245
294.02,8062.8
294.39,5886.8
294.76,7276.7
295.13,7646.1
295.5,7293.1
295.86,7330.9
296.23,6734.5
296.6,6076.4
296.97,6762.2
297.34,7406.2
297.71,9295.4
298.07,7583.3
298.44,5603.6
298.81,8249.6
299.18,7654.3
299.55,10903
299.91,7226
300.28,8098.6
300.65,5604.4
301.02,7831
301.39,8479.8
301.75,13799
302.12,8517.2
302.49,7316.1
302.86,10905
303.23,7629.4
303.59,6124.8
303.96,17707
304.33,9933.6
304.7,15334
305.06,6812.5
305.43,10589
305.8,8502.4
306.17,9250.2
306.53,6582.8
306.9,9802.6
307.27,7478.8
307.64,10979
308,6703.3
308.37,6915.1
308.74,12489
309.11,9223.7
309.47,6560.9
309.84,5815.1
310.21,7416
310.57,7746
310.94,6980.3
311.31,7531.1
311.67,8043.6
312.04,5694.9
312.41,10059
312.77,8290.2
313.14,6476.7
313.51,7208.5
313.87,6735.7
314.24,6664.7
314.61,6698.2
314.97,6810.6
315.34,7518.2
315.71,5893.9
316.07,9417.9
316.44,6109.2
316.81,9007.9
317.17,6429.1
317.54,15879
317.91,6649.9
318.27,5631.3
318.64,7012.2
319,9005.2
319.37,5724.6
319.74,9602
320.1,9868.9
320.47,6853.5
320.83,11223
321.2,7146.4
321.57,6178.2
321.93,6776.2
322.3,7723
322.66,6484.1
323.03,8976.7
323.4,8241.8
323.76,6693.9
324.13,6626.8
324.49,5647.7
324.86,19172
325.22,7646.5
325.59,7212.4
325.95,8079.9
326.32,9647.3
326.68,9348.1
327.05,7235.4
327.42,6320.6
327.78,6641.3
328.15,9607.9
328.51,6541
328.88,7573.6
329.24,11434
329.61,7431.6
329.97,8871
330.34,6569.9
330.7,7518.6
331.07,11030
331.43,8869.8
331.8,13581
332.16,10511
332.52,6227.4
332.89,8431.8
333.25,5661.8
333.62,12825
333.98,8106.1
334.35,6390.8
334.71,7512
335.08,5988.3
335.44,12374
335.81,12312
336.17,10371
336.53,7284.9
336.9,6140
337.26,8728.3
337.63,14331
337.99,7972.6
338.36,6113.9
338.72,9226
339.08,7677
339.45,5992.6
339.81,9788.9
340.18,6944
340.54,10629
340.9,6510.2
341.27,7096.5
341.63,8523.8
341.99,5467.1
342.36,10679
342.72,6011.3
343.09,10745
343.45,6458.7
343.81,10941
344.18,5717.5
344.54,7188.2
344.9,8040.1
345.27,7618.8
345.63,7184.7
345.99,9102.3
346.36,7560.7
346.72,6144.7
347.08,6205.5
347.45,5651.2
347.81,10154
348.17,7743.7
348.54,5877.9
348.9,9224.4
349.26,9933.6
349.62,11047
349.99,5501
350.35,5426.5
350.71,7915.3
351.08,7318.1
351.44,5346.6
351.8,13705
352.16,11849
352.53,6214.9
352.89,8638.5
353.25,11409
353.61,6772.3
353.98,8910
354.34,10302
354.7,6720.5
355.06,6058.1
355.43,7360.6
355.79,6985.3
356.15,6822.3
356.51,6113.9
356.88,6210.2
357.24,6944.4
357.6,5673.1
357.96,5384.4
358.32,15883
358.69,5621.2
359.05,8210.6
359.41,7745.2
359.77,5990.6
360.13,6329.6
360.49,6185.3
360.86,9233
361.22,11572
361.58,7886.4
361.94,11284
362.3,5992.9
362.66,8651.8
363.03,5338.4
363.39,5284.1
363.75,6359.6
364.11,10325
364.47,6377.2
364.83,10882
365.19,7788.1
365.56,9057.9
365.92,5474.9
366.28,8812.9
366.64,10076
367,5574.8
367.36,5570.9
367.72,10161
368.08,9629.7
368.44,6619.4
368.8,8528.9
369.17,6690
369.53,6927.6
369.89,6124
370.25,6203.6
370.61,6366.3
370.97,11016
371.33,6592.9
371.69,13216
372.05,8563.2
372.41,5981.6
372.77,6683.8
373.13,7797.9
373.49,5275.6
373.85,8263.7
374.21,7661
374.57,5964.9
374.93,8856.6
375.29,9377.4
375.65,7691.8
376.01,7396.5
376.37,10401
376.73,8769.6
377.09,5876.3
377.45,10144
377.81,7036.8
378.17,6057.7
378.53,5319.6
378.89,8659.2
379.25,11228
379.61,14603
379.97,9654.3
380.33,6667
380.69,6310.1
381.05,5877.9
381.41,9264.6
381.77,7339.9
382.13,8854.6
382.49,15314
382.85,7496.7
383.21,9104.7
383.57,5551.4
383.93,10798
384.28,5354.8
384.64,6702.1
385,7828.7
385.36,7474.9
385.72,9263.8
386.08,6159.1
386.44,9059
386.8,9174.5
387.16,12454
387.52,9866.5
387.87,14108
388.23,8193.8
388.59,6366.3
388.95,5621.6
389.31,6911.2
389.67,6957.6
390.03,6491.5
390.38,6670.1
390.74,5157
391.1,9658.2
391.46,7744.8
391.82,6153.7
392.18,8582.4
392.54,5106.3
392.89,5817
393.25,8576.1
393.61,5848.6
393.97,5683.6
394.33,8001.1
394.68,7229.5
395.04,5654
395.4,7389.1
395.76,9466.7
396.12,7662.9
396.47,5862.7
396.83,7221.3
397.19,5741.3
397.55,5913.8
397.9,7503.8
398.26,7447.6
398.62,5779.6
398.98,5077.4
399.33,6869.9
399.69,25380
400.05,8435.3
400.41,5998
400.76,8979.5
401.12,10340
401.48,8012.8
401.84,6209.4
402.19,6546.5
402.55,7928.2
402.91,7361
403.26,5446.8
403.62,8590.2
403.98,7262.7
404.34,4911.6
404.69,7199.5
405.05,9353.6
405.41,14474
405.76,5958.2
406.12,6067.4
406.48,6956.1
406.83,6328.8
407.19,8693.9
407.55,8104.1
407.9,14482
408.26,8715.8
408.62,9401.2
408.97,7199.5
409.33,5592.7
409.68,5914.1
410.04,7855.6
410.4,6123.2
410.75,8336.2
411.11,5992.9
411.47,7806.1
411.82,6781.3
412.18,7394.5
412.53,6910.4
412.89,6308.5
413.25,7148
413.6,7404.7
413.96,5374.6
414.31,6542.2
414.67,7624.7
415.03,5400
415.38,5829.1
415.74,6639.3
416.09,6755.6
416.45,8647.1
416.8,6084.6
417.16,8699.8
417.51,6976.7
417.87,6547.3
418.23,7850.9
418.58,8283.5
418.94,4988.1
419.29,6166.5
419.65,7909.5
420,9038.8
420.36,8017.9
420.71,8403.3
421.07,5749.9
421.42,7362.9
421.78,9423
422.13,6878.4
422.49,6800.8
422.84,7525.2
423.2,5299.8
423.55,5658.6
423.91,5650.4
424.26,14330
424.61,8488.3
424.97,11718
425.32,6104.1
425.68,6736.1
426.03,7824.4
426.39,10775
426.74,10176
427.1,9611
427.45,6227.8
427.8,7849.4
428.16,7118.3
428.51,7068.4
428.87,7823.2
429.22,9730.8
429.58,10835
429.93,10396
430.28,6170.8
430.64,6369.8
430.99,5361.8
431.35,7748.7
431.7,6726.7
432.05,6947.5
432.41,8389.3
432.76,7916.1
433.11,8171.6
433.47,7899.3
433.82,10860
434.17,8278.5
434.53,9236.1
434.88,14585
435.24,7825.6
435.59,7533
435.94,5728.1
436.3,8417.7
436.65,6670.9
437,9747.2
437.35,16710
437.71,6737.6
438.06,6476.3
438.41,6319.1
438.77,8406.4
439.12,5412.5
439.47,4942
439.83,7944.2
440.18,5331
440.53,6685.7
440.88,12612
441.24,8783.3
441.59,5808.8
441.94,6624.5
442.3,8428.7
442.65,13004
443,7110.2
443.35,10717
443.71,6764.9
444.06,9685.9
444.41,8195
444.76,11758
445.11,7378.5
445.47,10495
445.82,9347.7
446.17,6060
446.52,10822
446.88,7349.7
447.23,5297.4
447.58,8139.2
447.93,6172.4
448.28,30421
448.63,11173
448.99,7080.9
449.34,8653.7
449.69,9038.4
450.04,6396.3
450.39,6276.1
450.74,7192.1
451.1,7093
451.45,7787
451.8,7909.1
452.15,10321
452.5,8357.7
452.85,10150
453.21,9180
453.56,7925.8
453.91,6902.2
454.26,7372.3
454.61,5943.4
454.96,8542.6
455.31,6918.2
455.66,6568.3
456.01,8258.2
456.36,6516.1
456.72,6167.7
457.07,7932.1
457.42,10478
457.77,9349.3
458.12,5998.4
458.47,7505.7
458.82,9947.3
459.17,7292.7
459.52,7502.2
459.87,36693
460.22,6185.6
460.57,7370.3
460.92,6350.3
461.27,8483.3
461.62,6872.2
461.97,6111.1
462.32,12464
462.67,11063
463.02,13975
463.38,14163
463.73,9146.4
464.08,12644
464.43,7868.5
464.78,5778
465.12,8423.2
465.47,8826.9
465.82,31797
466.17,6686.1
466.52,8885.1
466.87,6506.7
467.22,6083.4
467.57,5435.9
467.92,8017.9
468.27,11288
468.62,15366
468.97,6932.7
469.32,5477.2
469.67,16250
470.02,14466
470.37,6340.5
470.72,7708.9
471.07,5489.3
471.42,6843.7
471.76,7059.4
472.11,6880
472.46,8788.3
472.81,15495
473.16,6158.3
473.51,6108.4
473.86,5446.8
474.21,6816
474.56,6575
474.9,6415
475.25,10070
475.6,9035.3
475.95,6213.7
476.3,11561
476.65,10703
477,15526
477.34,11631
477.69,5790.1
478.04,9596.6
478.39,7513.5
478.74,6008.5
479.09,5260.7
479.43,22386
479.78,5449.2
480.13,13370
480.48,10498
480.83,7496.7
481.17,5564.2
481.52,7726.5
481.87,6701.7
482.22,12234
482.57,6787.6
482.91,9516.2
483.26,8049.5
483.61,6693.9
483.96,7734.3
484.3,65535
484.65,10051
485,5990.2
485.35,6940.9
485.69,6094.8
486.04,6759.5
486.39,7922.7
486.74,7822.5
487.08,5472.2
487.43,8206.7
487.78,5123.8
488.12,8483.7
488.47,6296.4
488.82,10847
489.17,6076
489.51,5337.2
489.86,8248
490.21,5310.3
490.55,7992.5
490.9,5488.2
491.25,6545.7
491.59,5708.6
491.94,13227
492.29,6471.6
492.63,7295.1
492.98,4896
493.33,7559.1
493.67,6443.5
494.02,5732.4
494.37,5686.3
494.71,8577.3
495.06,6352.2
495.4,10826
495.75,6145.5
496.1,10711
496.44,8346.4
496.79,8550
497.13,5960.2
497.48,14737
497.83,10427
498.17,8601.9
498.52,6101.4
498.86,8878
499.21,7650
499.56,6083.1
499.9,6743.9
500.25,5421.1
500.59,7155.8
500.94,8021
501.28,8997.4
501.63,9948.8
501.97,6543
502.32,5957.4
502.67,8090.1
503.01,5424.2
503.36,6435.7
503.7,6411.9
504.05,8589.8
504.39,9451.1
504.74,6826.6
505.08,11072
505.43,4893.7
505.77,5715.6
