wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,0
202.99,0
203.36,0
203.74,0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,0
206,0
206.38,0
206.76,-0
207.14,0
207.51,0
207.89,0
208.27,0
208.64,-0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,-9.2542e+12
212.03,-9.2525e+12
212.41,-9.2525e+12
212.79,-2.2289e+13
213.16,-2.2289e+13
213.54,-9.2525e+12
213.92,-9.2525e+12
214.29,2.7148e+12
214.67,2.7148e+12
215.05,2.7148e+12
215.42,1.8852e+13
215.8,1.8852e+13
216.17,-9.4155e+12
216.55,1.8852e+13
216.93,1.8852e+13
217.3,4.0105e+12
217.68,-2.5555e+13
218.05,-2.5555e+13
218.43,-9.5606e+12
218.81,-2.5483e+13
219.18,-2.5483e+13
219.56,-1.507e+13
219.93,-1.7449e+12
220.31,-1.7449e+12
220.69,-1.7449e+12
221.06,-1.7449e+12
221.44,3.7648e+12
221.81,3.7648e+12
222.19,-1.3267e+12
222.56,8.3905e+12
222.94,8.3905e+12
223.32,2.1456e+13
223.69,3.2592e+13
224.07,4.7789e+13
224.44,4.7789e+13
224.82,6.3785e+13
225.19,4.7789e+13
225.57,2.6936e+13
225.94,3.643e+13
226.32,7.3145e+12
226.69,3.3489e+13
227.07,1.0302e+13
227.44,1.0302e+13
227.82,1.0025e+13
228.19,1.0025e+13
228.57,3.6767e+12
228.94,1.0025e+13
229.32,1.0025e+13
229.69,1.0025e+13
230.07,1.8944e+13
230.44,1.0025e+13
230.82,-6.6818e+12
231.19,-1.253e+13
231.57,-2.5696e+13
231.94,-2.6365e+13
232.32,-1.1476e+13
232.69,-2.6365e+13
233.07,-1.8247e+13
233.44,-1.8247e+13
233.82,-1.8247e+13
234.19,-9.1006e+12
234.57,-2.6523e+12
234.94,-9.1006e+12
235.31,-2.6523e+12
235.69,3.2842e+12
