wavelength,intensity
178.76,1782.3
179.14,1782.3
179.52,1782.3
179.9,1708.6
180.28,10915
180.66,9765.5
181.04,9626.2
181.42,7488.9
181.8,6299.6
182.18,10963
182.55,5877.5
182.93,7416.8
183.31,7110.2
183.69,7930.9
184.07,8244.9
184.45,7016.9
184.83,7334.8
185.21,6525.8
185.59,6828.9
185.97,16433
186.35,12001
186.72,7124.6
187.1,7306
187.48,11747
187.86,9026.7
188.24,6745.8
188.62,6279.7
189,10974
189.38,7952
189.75,7983.6
190.13,8054.2
190.51,6407.6
190.89,15210
191.27,21119
191.65,7024.7
192.03,7850.2
192.4,10355
192.78,7633.7
193.16,8864.4
193.54,12418
193.92,10897
194.3,6739.2
194.67,9645.7
195.05,8414.2
195.43,7342.3
195.81,7002.1
196.19,10769
196.56,7843.9
196.94,7343.8
197.32,11645
197.7,6577.7
198.08,8568.7
198.45,6734.5
198.83,7619.6
199.21,6830.1
199.59,12286
199.97,8121.7
200.34,5928.2
200.72,6654.5
201.1,14119
201.48,10024
201.85,6470
202.23,6934.6
202.61,6588.6
202.99,15945
203.36,6562.9
203.74,9086
204.12,7494
204.49,6549.6
204.87,8830.8
205.25,7208.1
205.63,5876.7
206,6484.1
206.38,7950
206.76,9645
207.14,6626.4
207.51,5957.8
207.89,10836
208.27,6415.8
208.64,5438.6
209.02,6648.7
209.4,7014.2
209.77,5695.7
210.15,14481
210.53,5919.2
210.9,11272
211.28,6243.8
211.66,12153
212.03,6601.9
212.41,5882.2
212.79,7162
213.16,6017.5
213.54,7824
213.92,7963.7
214.29,5611.8
214.67,6627.6
215.05,6851.5
215.42,9419.5
215.8,6872.2
216.17,6771.2
216.55,7836.9
216.93,5855.6
217.3,8988
217.68,6391.2
218.05,6756
218.43,6531.3
218.81,6856.6
219.18,11230
219.56,6748.2
219.93,6587.4
220.31,6590.2
220.69,5971.1
221.06,6181
221.44,7816.6
221.81,6251.6
222.19,5718.3
222.56,6201.6
222.94,6861.3
223.32,7661
223.69,6326.9
224.07,8919.4
224.44,9959
224.82,7579
225.19,8461.8
225.57,7537.7
225.94,6750.1
226.32,7339.1
226.69,12445
227.07,8682.2
227.44,6799.3
227.82,7966.4
228.19,7058.3
228.57,8797.7
228.94,11675
229.32,9650
229.69,8968.1
230.07,6827
230.44,6246.1
230.82,10923
231.19,9472.5
231.57,5668.8
231.94,5797.1
232.32,15171
232.69,7267.8
233.07,7559.9
233.44,6966.6
233.82,7009.5
234.19,7484.6
234.57,10046
234.94,6496.9
235.31,6731.8
235.69,7231.5
236.06,7517.8
236.44,8744.6
236.81,5925.8
237.19,7921.2
237.56,11772
237.93,6417.4
238.31,7691.4
238.68,6958.4
239.06,7589.6
239.43,8849.6
239.81,8176.3
240.18,6000.7
240.55,6304.2
240.93,12918
241.3,7818.6
241.67,7175.7
242.05,8686.5
242.42,9649.6
242.8,5843.1
243.17,7829.1
243.54,7765.9
243.92,9279.4
244.29,7114.1
244.66,7661.4
245.04,10237
