wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,-0
202.99,0
203.36,0
203.74,-0
204.12,0
204.49,0
204.87,0
205.25,0
205.63,-0
206,0
206.38,0
206.76,0
207.14,-0
207.51,-0
207.89,-0
208.27,-0
208.64,0
209.02,0
209.4,0
209.77,0
210.15,0
210.53,0
210.9,0
211.28,0
211.66,1.8755e+13
212.03,1.426e+13
212.41,-1.2807e+13
212.79,-1.2807e+13
213.16,-1.2807e+13
213.54,1.2727e+13
213.92,1.2727e+13
214.29,-4.062e+13
214.67,7.5873e+12
215.05,1.6211e+13
215.42,1.6211e+13
215.8,1.6211e+13
216.17,3.5995e+13
216.55,1.6211e+13
216.93,1.6211e+13
217.3,-1.6855e+12
217.68,-1.6855e+12
218.05,-1.6855e+12
218.43,-1.6855e+12
218.81,1.438e+13
219.18,-1.1564e+13
219.56,1.438e+13
219.93,-1.1564e+13
220.31,6.8095e+12
220.69,6.8095e+12
221.06,6.8095e+12
221.44,1.9578e+13
221.81,2.1855e+13
222.19,2.1855e+13
222.56,2.4414e+13
222.94,2.4414e+13
223.32,9.8757e+12
223.69,1.001e+13
224.07,9.1595e+12
224.44,8.9296e+12
224.82,8.9296e+12
225.19,8.9296e+12
225.57,2.3825e+12
225.94,-4.2845e+12
226.32,-1.213e+13
226.69,-2.2956e+13
227.07,-3.1258e+13
227.44,-3.1258e+13
227.82,-3.9648e+13
228.19,-3.9648e+13
228.57,-3.9648e+13
228.94,-3.6599e+13
229.32,-3.6599e+13
229.69,-3.116e+13
230.07,-2.2755e+13
230.44,-1.248e+13
230.82,-1.1465e+12
231.19,6.6474e+12
231.57,6.6474e+12
231.94,7.6629e+12
232.32,1.6221e+12
232.69,7.6629e+12
233.07,7.6629e+12
233.44,7.6629e+12
233.82,3.9866e+12
234.19,3.9866e+12
234.57,3.9866e+12
234.94,2.0067e+12
235.31,2.0067e+12
235.69,2.0067e+12
236.06,2.0067e+12
