wavelength,intensity
178.76,-13.652
179.14,-13.652
179.52,-13.652
179.9,-1.56
180.28,-0.0033333
180.66,-6.635
181.04,-58.515
181.42,-45.64
181.8,-17.557
182.18,-28.867
182.55,-14.433
182.93,-102.59
183.31,25.747
183.69,-0.78333
184.07,-19.893
184.45,7.4117
184.83,15.995
185.21,95.96
185.59,-66.317
185.97,11.315
186.35,-69.437
186.72,-81.138
187.1,-6.24
187.48,-37.448
187.86,58.51
188.24,-80.745
188.62,-7.02
189,-4.6817
189.38,-2.3383
189.75,15.213
190.13,-75.678
190.51,-64.757
190.89,-181
191.27,-53.835
191.65,42.128
192.03,15.212
192.4,28.085
192.78,15.995
193.16,-15.215
193.54,-83.09
193.92,-33.94
194.3,3.12
194.67,-86.598
195.05,27.308
195.43,14.433
195.81,41.35
196.19,-33.548
196.56,8.9733
196.94,30.427
197.32,-34.327
197.7,20.673
198.08,58.908
198.45,5.46
198.83,65.537
199.21,12.092
199.59,113.9
199.97,40.57
200.34,34.722
200.72,-2.34
201.1,-41.742
201.48,-23.403
201.85,-44.077
202.23,2.34
202.61,-95.572
202.99,33.158
203.36,5.8533
203.74,-33.157
204.12,20.28
204.49,0.78
204.87,-24.968
205.25,-7.02
205.63,-60.855
206,-54.617
206.38,-37.058
206.76,14.825
207.14,-13.653
207.51,-77.237
207.89,-14.043
208.27,-21.065
208.64,6.2433
209.02,35.11
209.4,46.42
209.77,43.3
210.15,708.01
210.53,15.993
210.9,83.09
211.28,-3.9
211.66,-69.827
212.03,95.962
212.41,-33.94
212.79,-8.195
213.16,21.457
213.54,-45.252
213.92,-35.108
214.29,32.767
214.67,41.738
215.05,45.252
215.42,-67.483
215.8,-58.122
216.17,19.503
216.55,0.39167
216.93,25.743
217.3,-22.625
217.68,27.697
218.05,-2.7283
218.43,88.55
218.81,-36.665
219.18,-60.852
219.56,-21.453
219.93,88.162
220.31,25.355
220.69,-15.215
221.06,39.01
221.44,-88.552
221.81,31.595
222.19,34.722
222.56,-62.027
222.94,5.8517
223.32,10.142
223.69,52.663
224.07,35.89
224.44,-3.9
224.82,8.5817
225.19,8.97
225.57,9.3617
225.94,-4.6817
226.32,-27.693
226.69,-47.983
227.07,-21.455
227.44,-60.462
227.82,-52.273
228.19,-49.932
228.57,-42.52
228.94,-23.407
229.32,-88.938
229.69,3.905
230.07,28.088
