wavelength,intensity
178.76,1768.7
179.14,1768.7
179.52,1768.7
179.9,1707
180.28,10915
180.66,9758.9
181.04,9567.7
181.42,7443.3
181.8,6282
182.18,10934
182.55,5863
182.93,7314.2
183.31,7135.9
183.69,7930.1
184.07,8225
184.45,7024.3
184.83,7350.8
185.21,6621.8
185.59,6762.6
185.97,16445
186.35,11932
186.72,7043.5
187.1,7299.7
187.48,11710
187.86,9085.2
188.24,6665.1
188.62,6272.6
189,10970
189.38,7949.6
189.75,7998.8
190.13,7978.5
190.51,6342.8
190.89,15029
191.27,21065
191.65,7066.9
192.03,7865.4
192.4,10383
192.78,7649.7
193.16,8849.2
193.54,12335
193.92,10863
194.3,6742.3
194.67,9559.1
195.05,8441.5
195.43,7356.7
195.81,7043.5
196.19,10735
196.56,7852.9
196.94,7374.2
197.32,11611
197.7,6598.4
198.08,8627.6
198.45,6740
198.83,7685.1
199.21,6842.2
199.59,12400
199.97,8162.2
200.34,5962.9
200.72,6652.2
201.1,14078
201.48,10000
201.85,6425.9
202.23,6937
202.61,6493
202.99,15978
203.36,6568.7
203.74,9052.8
204.12,7514.3
204.49,6550.4
204.87,8805.9
205.25,7201.1
205.63,5815.8
206,6429.4
206.38,7913
206.76,9659.8
207.14,6612.8
207.51,5880.6
207.89,10821
208.27,6394.7
208.64,5444.9
209.02,6683.8
209.4,7060.6
209.77,5739
210.15,15189
210.53,5935.2
210.9,11355
211.28,6239.9
211.66,12083
212.03,6697.8
212.41,5848.2
212.79,7153.8
213.16,6039
213.54,7778.8
213.92,7928.6
214.29,5644.6
214.67,6669.4
215.05,6896.8
215.42,9352
215.8,6814.1
216.17,6790.7
216.55,7837.3
216.93,5881.4
217.3,8965.4
217.68,6418.9
218.05,6753.2
218.43,6619.8
218.81,6819.9
219.18,11169
219.56,6726.7
219.93,6675.6
220.31,6615.5
220.69,5955.9
221.06,6220
221.44,7728.1
221.81,6283.2
222.19,5753
222.56,6139.6
222.94,6867.1
223.32,7671.1
223.69,6379.5
224.07,8955.3
224.44,9955.1
