wavelength,intensity
200.34,0
200.72,0
201.1,0
201.48,0
201.85,0
202.23,0
202.61,-0
202.99,-0
203.36,-0
203.74,-0
204.12,-0
204.49,-0
204.87,-0
205.25,-0
205.63,-0
206,-0
206.38,-0
206.76,-0
207.14,0
207.51,-0
207.89,-0
208.27,-0
208.64,-0
209.02,0
209.4,-0
209.77,-0
210.15,-4.7187e+12
210.53,-2.1288e+13
210.9,-4.7771e+13
211.28,-4.7771e+13
211.66,-6.4948e+13
212.03,-1.0446e+14
212.41,-6.4948e+13
212.79,-6.4948e+13
213.16,-6.4948e+13
213.54,-5.0315e+13
213.92,-4.4672e+13
214.29,-5.2338e+13
214.67,-3.1978e+13
215.05,-3.7622e+13
215.42,-2.1131e+13
215.8,-2.1131e+13
216.17,-1.9385e+13
216.55,-1.9385e+13
216.93,-1.9385e+13
217.3,-1.9385e+13
217.68,-1.9385e+13
218.05,-4.1877e+12
218.43,-4.1877e+12
218.81,1.7207e+13
219.18,3.4628e+13
219.56,5.6301e+13
219.93,7.6973e+13
220.31,7.6541e+13
220.69,8.1017e+13
221.06,8.6292e+13
221.44,1.0179e+14
221.81,1.0329e+14
222.19,1.2607e+14
222.56,1.2607e+14
222.94,1.2076e+14
223.32,1.4252e+14
223.69,1.6327e+14
224.07,1.6327e+14
224.44,1.699e+14
224.82,1.699e+14
225.19,1.699e+14
225.57,1.699e+14
225.94,1.699e+14
226.32,1.8348e+14
226.69,2.1007e+14
227.07,2.3858e+14
227.44,2.6382e+14
227.82,2.7459e+14
228.19,2.7921e+14
228.57,2.8443e+14
228.94,2.9342e+14
229.32,2.9757e+14
229.69,3.0241e+14
230.07,3.1193e+14
230.44,3.3549e+14
230.82,3.4084e+14
231.19,3.83e+14
231.57,3.9506e+14
231.94,3.972e+14
232.32,4.0281e+14
232.69,4.1742e+14
233.07,4.4157e+14
233.44,4.5943e+14
233.82,4.6724e+14
234.19,4.7099e+14
234.57,4.8113e+14
234.94,4.906e+14
