wavelength,intensity
178.76,1913
179.14,1913
179.52,1913
179.9,1861.1
180.28,9558.4
180.66,8748.5
181.04,8597.2
181.42,6767.7
181.8,5846.7
182.18,9740.5
182.55,5449.9
182.93,6790.7
183.31,6450.9
183.69,7167.9
184.07,7458.9
184.45,6427.1
184.83,6686.5
185.21,6066.7
185.59,6274.2
185.97,14250
186.35,10610
186.72,6519.6
187.1,6653.8
187.48,10318
187.86,8179
188.24,6181
188.62,5807.6
189,9645.7
189.38,7229.1
189.75,7268.9
190.13,7302.1
190.51,5917.3
190.89,13201
191.27,18516
191.65,6502.4
192.03,7124.6
192.4,9233
192.78,7012.6
193.16,7899.3
193.54,10832
193.92,9673.4
194.3,6238.3
194.67,8658
195.05,7659.4
195.43,6729.8
195.81,6474.3
196.19,9532.2
196.56,7125.4
196.94,6815.6
197.32,10348
197.7,6177.1
198.08,7833
198.45,6277.3
198.83,6969.7
199.21,6263.3
199.59,10889
199.97,7460.9
200.34,5568.9
200.72,6253.5
201.1,12467
201.48,8968.9
201.85,5949.6
202.23,6381.5
202.61,6083.8
202.99,14016
203.36,6117
203.74,8158.3
204.12,6875.7
204.49,6065.5
204.87,7974.2
205.25,6585.9
205.63,5519.8
206,5979.7
206.38,7279.8
206.76,8578.8
207.14,6090.1
207.51,5591.5
207.89,9644.2
208.27,5946.1
208.64,5153.9
209.02,6137.7
209.4,6488
209.77,5355.1
210.15,13595
210.53,5570.1
210.9,10297
211.28,5827.9
211.66,10817
212.03,6093.2
212.41,5490.9
212.79,6544.1
213.16,5625.9
213.54,7068.8
213.92,7228
214.29,5232.3
214.67,6155.2
215.05,6288.2
215.42,8394.3
215.8,6315.5
216.17,6246.5
216.55,7178
216.93,5551
217.3,8098.6
217.68,5911
218.05,6196.2
218.43,6064.7
218.81,6280
219.18,9886.4
219.56,6213
219.93,6079.5
220.31,6042.5
220.69,5518.2
221.06,5765.5
221.44,7045.8
221.81,5826
222.19,5359.4
222.56,5703.5
222.94,6341.3
223.32,6974.4
223.69,5870.1
224.07,7981.6
224.44,8963.9
224.82,6936.6
225.19,7671.5
225.57,6951.4
225.94,6195.4
226.32,6714.2
226.69,10948
227.07,10758
227.44,6285.1
227.82,7221.3
