wavelength,intensity
178.76,1980.5
179.14,1980.5
179.52,1980.5
179.9,1949.3
180.28,9182.3
180.66,8337.4
181.04,8253.9
181.42,6568.7
181.8,5671.5
182.18,9216.2
182.55,5316.5
182.93,6413.1
183.31,6285.1
183.69,6906.5
184.07,7126.9
184.45,6189.5
184.83,6475.5
185.21,5918
185.59,5999.6
185.97,13409
186.35,10108
186.72,6286.3
187.1,6489.1
187.48,9935.2
187.86,7924.7
188.24,6041.7
188.62,5652.4
189,9300.9
189.38,6953.7
189.75,7059.8
190.13,7042.7
190.51,5804.1
190.89,12469
191.27,17407
191.65,6342.9
192.03,6906.9
192.4,8825.4
192.78,6812.9
193.16,7622.7
193.54,10328
193.92,9380.5
194.3,6080.7
194.67,8332.3
195.05,7340.3
195.43,6560.1
195.81,6299.2
196.19,9078.2
196.56,6887
196.94,6543.7
197.32,9890.3
197.7,5982.4
198.08,7565.4
198.45,6113.9
198.83,6740.4
199.21,6186
199.59,10417
199.97,7134.3
200.34,5441
200.72,6054.6
201.1,11754
201.48,8609.7
201.85,5793.2
202.23,6193.8
202.61,5897.8
202.99,13175
203.36,5976.2
203.74,7884.1
204.12,6617.5
204.49,5950
204.87,7710.5
205.25,6429.1
205.63,5309.9
206,5812.7
206.38,6937.7
206.76,8325.7
207.14,6014
207.51,5445.6
207.89,9201.4
208.27,5837.3
208.64,5097.7
209.02,6044
209.4,6318.7
209.77,5292.3
210.15,12353
210.53,5455.4
210.9,9780.3
211.28,5672.7
211.66,10280
212.03,5909.1
212.41,5414.8
212.79,6383
213.16,5437.5
213.54,6858.2
213.92,7071.9
214.29,5187.8
214.67,5994.9
215.05,6223.1
215.42,8085.8
215.8,6134.9
216.17,6107.6
216.55,7032.1
216.93,5450.3
217.3,7825.2
217.68,5838.9
218.05,6135.7
218.43,5959
218.81,6181
219.18,9513.9
219.56,6172
219.93,6069.4
220.31,6037
220.69,5549
221.06,5730
221.44,6957.2
221.81,5867.7
222.19,5458.1
222.56,5810.8
222.94,6390.1
223.32,6949.1
223.69,5968.8
224.07,8062
224.44,8846.4
224.82,6951.8
225.19,7746
225.57,7003.3
225.94,6375.2
226.32,6862.1
226.69,10687
227.07,10671
227.44,6583.1
227.82,7498.3
228.19,6828.1
228.57,8107.2
228.94,10324
229.32,8957.2
229.69,8434.9
230.07,6706.8
230.44,6253.5
230.82,9976.5
231.19,8941.2
231.57,5872.4
231.94,6053
232.32,13374
232.69,7319.6
233.07,7544.3
233.44,7016.9
233.82,7123.4
234.19,7483.5
234.57,9636.8
234.94,6786.4
235.31,7079.3
235.69,7435.5
236.06,7687.1
236.44,8576.9
236.81,6518
237.19,8056.5
237.56,11019
237.93,6934.2
238.31,7931.3
238.68,7355.9
239.06,7865.8
239.43,8865.9
239.81,8346.7
240.18,6705.6
240.55,6860.5
240.93,12053
241.3,8124.4
241.67,7617.7
242.05,8763.4
242.42,9566.5
242.8,6623.7
243.17,8097.5
243.54,8131.8
243.92,9356.3
244.29,7566.6
244.66,8029.2
245.04,10085
245.41,14872
245.78,6743.5
246.16,7344.2
246.53,8955.3
246.9,7626.6
247.28,12375
247.65,7535
248.02,7659
248.4,9896.6
248.77,7960.6
249.14,8658.8
249.52,7443.3
249.89,8701.7
250.26,6935.4
250.64,7811.5
251.01,14254
251.38,6550
251.75,7809.6
252.13,7295.8
252.5,9122.2
252.87,12557
253.25,6643.6
253.62,8167.7
253.99,6529.3
254.36,9334.4
254.74,7137.9
255.11,6727.5
255.48,6346.4
255.85,13098
256.23,6451.7
256.6,6232.1
256.97,7394.9
257.34,8451.3
257.71,7993.3
258.09,7474.1
258.46,8034.3
258.83,10938
259.2,9641.1
259.58,7537.3
259.95,7756.1
260.32,9386.7
260.69,6723.6
261.06,10832
261.44,7033.3
261.81,12495
262.18,8378.7
262.55,7222.9
262.92,7879
263.29,7402.3
263.67,6779.8
264.04,7460.5
264.41,7729.6
